# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.210
metadata : {}


# id : NWRW1800000028.210.1.1
일본 새 내각 ‘소비세 인상’ 역풍 맞나

일본	일본/NNP
새	새/MMA
내각	내각/NNG
‘소비세	‘/SS+소비세/NNG
인상’	인상/NNG+’/SS
역풍	역풍/NNG
맞나	맞/VV+나/EF


# id : NWRW1800000028.210.2.1
세금 인상이 정치권력을 무덤으로 보낸 사례는 무수히 많다.

세금	세금/NNG
인상이	인상/NNG+이/JKS
정치권력을	정치권력/NNG+을/JKO
무덤으로	무덤/NNG+으로/JKB
보낸	보내/VV+ㄴ/ETM
사례는	사례/NNG+는/JX
무수히	무수히/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000028.210.2.2
일본에선 특히 ‘소비세’가 정치가들의 발목을 잡는 세금으로 악명을 떨쳐왔다.

일본에선	일본/NNP+에서/JKB+ㄴ/JX
특히	특히/MAG
‘소비세’가	‘/SS+소비세/NNG+’/SS+가/JKS
정치가들의	정치가/NNG+들/XSN+의/JKG
발목을	발목/NNG+을/JKO
잡는	잡/VV+는/ETM
세금으로	세금/NNG+으로/JKB
악명을	악명/NNG+을/JKO
떨쳐왔다.	떨치/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.210.2.3
1979년 추진에서부터 도입되는 데만 10년의 세월이 걸린 소비세는 지금까지 3명의 총리를 자리에서 끌어내렸다.

1979년	1979/SN+년/NNB
추진에서부터	추진/NNG+에서부터/JKB
도입되는	도입/NNG+되/XSV+는/ETM
데만	데/NNB+만/JX
10년의	10/SN+년/NNB+의/JKG
세월이	세월/NNG+이/JKS
걸린	걸리/VV+ㄴ/ETM
소비세는	소비세/NNG+는/JX
지금까지	지금/NNG+까지/JX
3명의	3/SN+명/NNB+의/JKG
총리를	총리/NNG+를/JKO
자리에서	자리/NNG+에서/JKB
끌어내렸다.	끌어내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.210.2.4
현행 5%인 소비세 세율을 마침내 인상하겠다고 공언한 간 나오토 총리는 과연 무사할 것인가?

현행	현행/NNG
5%인	5/SN+%/SW+이/VCP+ㄴ/ETM
소비세	소비세/NNG
세율을	세율/NNG+을/JKO
마침내	마침내/MAG
인상하겠다고	인상/NNG+하/XSV+겠/EP+다고/EC
공언한	공언/NNG+하/XSV+ㄴ/ETM
간	간/NNP
나오토	나오토/NNP
총리는	총리/NNG+는/JX
과연	과연/MAG
무사할	무사/NNG+하/XSA+ㄹ/ETM
것인가?	것/NNB+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000028.210.3.1
간 총리는 지난 17일 “자민당이 제안한 세율 10%를 참고로 하여 (소비세) 증세안을 마련하겠다”고 밝혔다.

간	간/NNP
총리는	총리/NNG+는/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
“자민당이	“/SS+자민당/NNP+이/JKS
제안한	제안/NNG+하/XSV+ㄴ/ETM
세율	세율/NNG
10%를	10/SN+%/SW+를/JKO
참고로	참고/NNG+로/JKB
하여	하/VV+아/EC
(소비세)	(/SS+소비세/NNG+)/SS
증세안을	증세안/NNG+을/JKO
마련하겠다”고	마련/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.210.3.2
이는 재정 건전화를 위해 소비세율을 인상하겠다고 사실상 공식화한 것이다.

이는	이/NP+는/JX
재정	재정/NNG
건전화를	건전/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
소비세율을	소비세/NNG+율/XSN+을/JKO
인상하겠다고	인상/NNG+하/XSV+겠/EP+다고/EC
사실상	사실/NNG+상/XSN
공식화한	공식/NNG+화/XSN+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.210.4.1
민주당은 소비세를 포함한 포괄적인 세제 개편안을 올해 안으로 마련할 계획이다.

민주당은	민주당/NNP+은/JX
소비세를	소비세/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
포괄적인	포괄/NNG+적/XSN+이/VCP+ㄴ/ETM
세제	세제/NNG
개편안을	개편안/NNG+을/JKO
올해	올해/NNG
안으로	안/NNG+으로/JKB
마련할	마련/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.210.4.2
물론 소비세율을 올릴 경우 반드시 중의원 선거를 통해 국민의 뜻을 물은 뒤 시행하겠다고 밝혔지만, 소비세 문제는 이미 7월 참의원 선거에서 핵심 쟁점으로 떠올랐다.

물론	물론/MAG
소비세율을	소비세/NNG+율/XSN+을/JKO
올릴	올리/VV+ㄹ/ETM
경우	경우/NNG
반드시	반드시/MAG
중의원	중의원/NNG
선거를	선거/NNG+를/JKO
통해	통하/VV+아/EC
국민의	국민/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
물은	묻/VV+은/ETM
뒤	뒤/NNG
