# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.40
metadata : {}


# id : NWRW1800000033.40.1.1
[Global Economy]글로벌 금융시장 ‘격동의 가을’

[Global	[/SS+Global/SL
Economy]글로벌	Economy/SL+]/SS+글로벌/NNG
금융시장	금융/NNG+시장/NNG
‘격동의	‘/SS+격동/NNG+의/JKG
가을’	가을/NNG+’/SS


# id : NWRW1800000033.40.2.1
유로존 위기대책 논의할 ECB 정책회의 내일 시작

유로존	유로존/NNG
위기대책	위기/NNG+대책/NNG
논의할	논의/NNG+하/XSV+ㄹ/ETM
ECB	ECB/SL
정책회의	정책/NNG+회의/NNG
내일	내일/NNG
시작	시작/NNG


# id : NWRW1800000033.40.3.1
ESM 관련 獨 헌재 결정과 중국-미국 권력교체 등… 대형 일정 줄줄이 이어져

ESM	ESM/SL
관련	관련/NNG
獨	獨/SH
헌재	헌재/NNG
결정과	결정/NNG+과/JC
중국-미국	중국/NNP+-/SO+미국/NNP
권력교체	권력/NNG+교체/NNG
등…	등/NNB+…/SE
대형	대형/NNG
일정	일정/NNG
줄줄이	줄줄이/MAG
이어져	이어지/VV+어/EF


# id : NWRW1800000033.40.4.1
놀라우리만큼 조용한 8월을 보냈던 글로벌 금융시장이 9월의 빅 이벤트를 앞두고 긴장 모드로 접어들고 있다.

놀라우리만큼	놀랍/VA+으리만큼/EC
조용한	조용하/VA+ㄴ/ETM
8월을	8/SN+월/NNB+을/JKO
보냈던	보내/VV+었/EP+던/ETM
글로벌	글로벌/NNG
금융시장이	금융/NNG+시장/NNG+이/JKS
9월의	9/SN+월/NNB+의/JKG
빅	빅/NNG
이벤트를	이벤트/NNG+를/JKO
앞두고	앞두/VV+고/EC
긴장	긴장/NNG
모드로	모드/NNG+로/JKB
접어들고	접어들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.40.5.1
3일 월스트리트저널(WSJ) 등 주요 외신에 따르면 유로존 위기 대책을 논의할 6일 유럽중앙은행(ECB) 통화정책결정회의를 시작으로 이번 가을은 어느 해보다 격동의 계절이 될 것으로 전망된다.

3일	3/SN+일/NNB
월스트리트저널(WSJ)	월스트리트저널/NNP+(/SS+WSJ/SL+)/SS
등	등/NNB
주요	주요/NNG
외신에	외신/NNG+에/JKB
따르면	따르/VV+면/EC
유로존	유로존/NNG
위기	위기/NNG
대책을	대책/NNG+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
6일	6/SN+일/NNB
유럽중앙은행(ECB)	유럽중앙은행/NNP+(/SS+ECB/SL+)/SS
통화정책결정회의를	통화/NNG+정책/NNG+결정/NNG+회의/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
이번	이번/NNG
가을은	가을/NNG+은/JX
어느	어느/MMD
해보다	해/NNG+보다/JKB
격동의	격동/NNG+의/JKG
계절이	계절/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.40.5.2
주요국 정책결정자들이 내놓을 대책의 강도는 물론이고 주요 2개국(G2)인 미국과 중국의 국가리더십 교체 등 대형 정치일정도 세계 경제에 상당한 영향을 미칠 것으로 보인다.

주요국	주요국/NNG
정책결정자들이	정책/NNG+결정자/NNG+들/XSN+이/JKS
내놓을	내놓/VV+을/ETM
대책의	대책/NNG+의/JKG
강도는	강도/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
주요	주요/NNG
2개국(G2)인	2/SN+개국/NNB+(/SS+G/SL+2/SN+)/SS+이/VCP+ㄴ/ETM
미국과	미국/NNP+과/JC
중국의	중국/NNP+의/JKG
국가리더십	국가/NNG+리더십/NNG
교체	교체/NNG
등	등/NNB
대형	대형/NNG
정치일정도	정치/NNG+일정/NNG+도/JX
세계	세계/NNG
경제에	경제/NNG+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
