# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.330
metadata : {}


# id : NWRW1800000033.330.1.1
中 군부 최고실세 궈보슝 부주석 방한 무산

中	中/SH
군부	군부/NNG
최고실세	최고/NNG+실세/NNG
궈보슝	궈보슝/NNP
부주석	부주석/NNG
방한	방한/NNG
무산	무산/NNG


# id : NWRW1800000033.330.2.1
도쿄 ‘위구르회의’ 문제삼아 방일 취소하며 방한도 취소

도쿄	도쿄/NNP
‘위구르회의’	‘/SS+위구르/NNP+회의/NNG+’/SS
문제삼아	문제/NNG+삼/VV+아/EC
방일	방일/NNG
취소하며	취소/NNG+하/XSV+며/EC
방한도	방한/NNG+도/JX
취소	취소/NNG


# id : NWRW1800000033.330.3.1
정부 “2년 공들였는데… ”

정부	정부/NNG
“2년	“/SS+2/SN+년/NNB
공들였는데…	공들이/VV+었/EP+는데/EC+…/SE
”	”/SS


# id : NWRW1800000033.330.4.1
중국 군부의 고위 실세인 궈보슝(郭伯雄·사진) 중앙군사위원회 부주석의 첫 한국 방문이 지난달 말 성사 직전에 무산된 것으로 6일 확인됐다.

중국	중국/NNP
군부의	군부/NNG+의/JKG
고위	고위/NNG
실세인	실세/NNG+이/VCP+ㄴ/ETM
궈보슝(郭伯雄·사진)	궈보슝/NNP+(/SS+郭伯雄/SH+·/SP+사진/NNG+)/SS
중앙군사위원회	중앙군사위원회/NNP
부주석의	부주석/NNG+의/JKG
첫	첫/MMN
한국	한국/NNP
방문이	방문/NNG+이/JKS
지난달	지난달/NNG
말	말/NNB
성사	성사/NNG
직전에	직전/NNG+에/JKB
무산된	무산/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
6일	6/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.330.4.2
중국은 일본과의 갈등을 이유로 그의 방한을 취소해 정부를 당혹스럽게 만든 것으로 알려졌다.

중국은	중국/NNP+은/JX
일본과의	일본/NNP+과/JKB+의/JKG
갈등을	갈등/NNG+을/JKO
이유로	이유/NNG+로/JKB
그의	그/NP+의/JKG
방한을	방한/NNG+을/JKO
취소해	취소/NNG+하/XSV+아/EC
정부를	정부/NNG+를/JKO
당혹스럽게	당혹/NNG+스럽/XSA+게/EC
만든	만들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.330.5.1
정부 당국자들에 따르면 중국 측은 5월 말 한국과 일본의 순방 일정을 잡았던 궈 부주석이 방일 계획을 취소함에 따라 한국 일정도 진행하기 어렵게 됐다고 정부에 통보했다.

정부	정부/NNG
