# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.134
metadata : {}


# id : NWRW1800000021.134.1.1
[기자의 눈]공인의 잘못에 엄격한 日 ‘알몸소동 처리’

[기자의	[/SS+기자/NNG+의/JKG
눈]공인의	눈/NNG+]/SS+공인/NNG+의/JKG
잘못에	잘못/NNG+에/JKB
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
日	日/SH
‘알몸소동	‘/SS+알몸/NNG+소동/NNG
처리’	처리/NNG+’/SS


# id : NWRW1800000021.134.2.1
일본은 요즘 한 인기 연예인의 알몸 소동이 화제다.

일본은	일본/NNP+은/JX
요즘	요즘/NNG
한	한/MMN
인기	인기/NNG
연예인의	연예인/NNG+의/JKG
알몸	알몸/NNG
소동이	소동/NNG+이/JKS
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.134.2.2
‘초난강’이란 이름으로 국내에도 잘 알려진 구사나기 쓰요시가 23일 새벽 도쿄의 한 공원에서 술에 취해 알몸으로 소란을 피운 혐의로 경찰에 체포된 사건이다.

‘초난강’이란	‘/SS+초난강/NNP+’/SS+이/VCP+란/ETM
이름으로	이름/NNG+으로/JKB
국내에도	국내/NNG+에/JKB+도/JX
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
구사나기	구사나기/NNP
쓰요시가	쓰요시/NNP+가/JKS
23일	23/SN+일/NNB
새벽	새벽/NNG
도쿄의	도쿄/NNP+의/JKG
한	한/MMN
공원에서	공원/NNG+에서/JKB
술에	술/NNG+에/JKB
취해	취하/VV+아/EC
알몸으로	알몸/NNG+으로/JKB
소란을	소란/NNG+을/JKO
피운	피우/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
체포된	체포/NNG+되/XSV+ㄴ/ETM
사건이다.	사건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.134.2.3
TV는 경찰의 조사 상황을 생중계하고 신문은 대문짝만 하게 전후 사정을 보도했다.

TV는	TV/SL+는/JX
경찰의	경찰/NNG+의/JKG
조사	조사/NNG
상황을	상황/NNG+을/JKO
생중계하고	생/XPN+중계/NNG+하/XSV+고/EC
신문은	신문/NNG+은/JX
대문짝만	대문짝/NNG+만/JX
하게	하/VV+게/EC
전후	전후/NNG
사정을	사정/NNG+을/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.134.2.4
아무리 대중에게 잘 알려진 연예인이라 해도 개인의 ‘실수’를 갖고 그렇게까지 창피를 줘도 되나 싶을 정도로 과민함이 느껴졌다.

아무리	아무리/MAG
대중에게	대중/NNG+에게/JKB
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
연예인이라	연예인/NNG+이/VCP+라/EC
해도	하/VV+아도/EC
개인의	개인/NNG+의/JKG
‘실수’를	‘/SS+실수/NNG+’/SS+를/JKO
갖고	갖/VV+고/EC
그렇게까지	그렇/VA+게/EC+까지/JX
창피를	창피/NNG+를/JKO
줘도	주/VV+어도/EC
되나	되/VV+나/EF
싶을	싶/VX+을/ETM
정도로	정도/NNG+로/JKB
과민함이	과민/NNG+하/XSA+ㅁ/ETN+이/JKS
느껴졌다.	느끼/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.134.3.1
경찰의 대응도 강했다.

경찰의	경찰/NNG+의/JKG
대응도	대응/NNG+도/JX
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.134.3.2
경찰은 소변검사에 이어 가택수색까지 일사천리로 진행했다.

경찰은	경찰/NNG+은/JX
소변검사에	소변/NNG+검사/NNG+에/JKB
이어	잇/VV+어/EC
가택수색까지	가택/NNG+수색/NNG+까지/JX
일사천리로	일사천리/NNG+로/JKB
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.134.3.3
연예인이 마약을 하는 경우가 더러 있기 때문에 더 철저하게 조사해야 한다는 게 경찰의 설명이었다.

연예인이	연예인/NNG+이/JKS
마약을	마약/NNG+을/JKO
하는	하/VV+는/ETM
경우가	경우/NNG+가/JKS
더러	더러/MAG
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
더	더/MAG
철저하게	철저/NNG+하/XSA+게/EC
조사해야	조사/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
경찰의	경찰/NNG+의/JKG
설명이었다.	설명/NNG+이/VCP+었/EP+다/EF+./SF


