# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.343
metadata : {}


# id : NWRW1800000029.343.1.1
[美, 대북 식량지원 재개 검토]“北 UEP, 6者서 다루면 회담 좌초될 수도”

[美,	[/SS+美/SH+,/SP
대북	대북/NNG
식량지원	식량/NNG+지원/NNG
재개	재개/NNG
검토]“北	검토/NNG+]/SS+“/SS+北/SH
UEP,	UEP/SL+,/SP
6者서	6/SN+者/SH+서/JKB
다루면	다루/VV+면/EC
회담	회담/NNG
좌초될	좌초/NNG+되/XSV+ㄹ/ETM
수도”	수/NNB+도/JX+”/SS


# id : NWRW1800000029.343.2.1
정부 당국자들은 26일 제임스 스타인버그 미국 국무부 부장관에게 북한의 우라늄농축프로그램(UEP) 문제를 유엔 안전보장이사회에서 논의해야 한다고 거듭 강조했다.

정부	정부/NNG
당국자들은	당국자/NNG+들/XSN+은/JX
26일	26/SN+일/NNB
제임스	제임스/NNP
스타인버그	스타인버그/NNP
미국	미국/NNP
국무부	국무부/NNG
부장관에게	부장관/NNG+에게/JKB
북한의	북한/NNP+의/JKG
우라늄농축프로그램(UEP)	우라늄/NNG+농축/NNG+프로그램/NNG+(/SS+UEP/SL+)/SS
문제를	문제/NNG+를/JKO
유엔	유엔/NNP
안전보장이사회에서	안전/NNG+보장/NNG+이사회/NNG+에서/JKB
논의해야	논의/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
거듭	거듭/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.343.2.2
안보리를 거치지 않은 채 6자회담에 가면 UEP 문제가 발목을 잡을 것이라는 판단에서다.

안보리를	안보리/NNG+를/JKO
거치지	거치/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
6자회담에	6/SN+자/NNB+회담/NNG+에/JKB
가면	가/VV+면/EC
UEP	UEP/SL
문제가	문제/NNG+가/JKS
발목을	발목/NNG+을/JKO
잡을	잡/VV+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
판단에서다.	판단/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000029.343.3.1
정부의 UEP 안보리 논의에 대한 의지는 강력하다.

정부의	정부/NNG+의/JKG
UEP	UEP/SL
안보리	안보리/NNG
