# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.233
metadata : {}


# id : NWRW1800000022.233.1.1
[눈에 띄는 신상품] '투기등급' 회사채에 집중적으로 투자… '고위험 고수익' 펀드;프랭클린템플턴투신서 출시

[눈에	[/SS+눈/NNG+에/JKB
띄는	띄/VV+는/ETM
신상품]	신/XPN+상품/NNG+]/SS
'투기등급'	'/SS+투기/NNG+등급/NNG+'/SS
회사채에	회사채/NNG+에/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
투자…	투자/NNG+…/SE
'고위험	'/SS+고/XPN+위험/NNG
고수익'	고/XPN+수익/NNG+'/SS
펀드;프랭클린템플턴투신서	펀드/NNG+;/SW+프랭클린템플턴투신/NNP+서/JKB
출시	출시/NNG


# id : NWRW1800000022.233.2.1
채권펀드는 투자 위험이 낮은 대신 수익률 또한 낮은 상품으로 알려졌다.

채권펀드는	채권/NNG+펀드/NNG+는/JX
투자	투자/NNG
위험이	위험/NNG+이/JKS
낮은	낮/VA+은/ETM
대신	대신/NNG
수익률	수익/NNG+률/XSN
또한	또한/MAG
상품으로	상품/NNG+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.233.2.2
일반적인 채권 수익률이 대부분 한 자릿수 수준이기 때문이다.

일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
채권	채권/NNG
수익률이	수익/NNG+률/XSN+이/JKS
대부분	대/XPN+부분/NNG
한	한/MMN
자릿수	자릿수/NNG
수준이기	수준/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.233.2.3
하지만 IMF 외환위기 당시 일부 회사채 금리가 수십%까지 치솟았던 점을 감안하면, 이런 채권에 투자할 경우 고위험을 감수하는 대신 높은 수익을 올리는 것도 가능하다.

하지만	하지만/MAJ
IMF	IMF/SL
외환위기	외환/NNG+위기/NNG
당시	당시/NNG
일부	일부/NNG
회사채	회사채/NNG
금리가	금리/NNG+가/JKS
수십%까지	수십/NR+%/SW+까지/JX
치솟았던	치솟/VV+았/EP+던/ETM
점을	점/NNG+을/JKO
감안하면,	감안/NNG+하/XSV+면/EC+,/SP
이런	이런/MMD
채권에	채권/NNG+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
고위험을	고/XPN+위험/NNG+을/JKO
감수하는	감수/NNG+하/XSV+는/ETM
대신	대신/NNG
높은	높/VA+은/ETM
수익을	수익/NNG+을/JKO
올리는	올리/VV+는/ETM
것도	것/NNB+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.233.3.1
프랭클린템플턴투신운용은 30일 "해외 하이일드(고위험-고수익) 채권에 투자하는 '프랭클린 하이일드 증권투자신탁(채권-재간접형)'을 오는 6일부터 하나은행 골드클럽, 유진투자증권 등을 통해 판매하며, 7월 중에 판매처를 SC제일은행 등으로 확대할 것"이라고 밝혔다.

프랭클린템플턴투신운용은	프랭클린템플턴투신운용/NNP+은/JX
30일	30/SN+일/NNB
"해외	"/SS+해외/NNG
하이일드(고위험-고수익)	하이일드/NNG+(/SS+고/XPN+위험/NNG+-/SO+고/XPN+수익/NNG+)/SS
채권에	채권/NNG+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
'프랭클린	'/SS+프랭클린/NNP
하이일드	하이일드/NNG
증권투자신탁(채권-재간접형)'을	증권/NNG+투자/NNG+신탁/NNG+(/SS+채권/NNG+-/SO+재/XPN+간접/NNG+형/XSN+)/SS+'/SS+을/JKO
