# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.272
metadata : {}


# id : NWRW1800000049.272.1.1
[허문명의 프리킥]대한민국 모욕한 이우환 화백

[허문명의	[/SS+허문명/NNP+의/JKG
프리킥]대한민국	프리킥/NNG+]/SS+대한민국/NNP
모욕한	모욕/NNG+하/XSV+ㄴ/ETM
이우환	이우환/NNP
화백	화백/NNG


# id : NWRW1800000049.272.2.1
최명윤 선생(69·명지대 미술사학과 객원교수)을 다시 만난 건 10년 만이었다.

최명윤	최명윤/NNP
선생(69·명지대	선생/NNG+(/SS+69/SN+·/SP+명지대/NNP
미술사학과	미술사학과/NNG
객원교수)을	객원/NNG+교수/NNG+)/SS+을/JKO
다시	다시/MAG
만난	만나/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
10년	10/SN+년/NNB
만이었다.	만/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.272.2.2
첫 만남은 미술기자로 일하던 2005년 서울옥션 경매에 나온 이중섭 작품 4점을 두고 위작 시비가 일었을 때였다.

첫	첫/MMN
만남은	만남/NNG+은/JX
미술기자로	미술/NNG+기자/NNG+로/JKB
일하던	일/NNG+하/XSV+던/ETM
2005년	2005/SN+년/NNB
서울옥션	서울옥션/NNP
경매에	경매/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
이중섭	이중섭/NNP
작품	작품/NNG
4점을	4/SN+점/NNB+을/JKO
두고	두/VV+고/EC
위작	위작/NNG
시비가	시비/NNG+가/JKS
일었을	일/VV+었/EP+을/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.272.2.3
현재 대법원 심리 중인 이 사건에 대해 1, 2심 법원이 모두 위작 판정을 내리기까지 선생은 처음부터 위작임을 끈질기게 주장했었다.

현재	현재/MAG
대법원	대/XPN+법원/NNG
심리	심리/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이	이/MMD
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
1,	1/SN+,/SP
2심	2심/NNG
법원이	법원/NNG+이/JKS
모두	모두/MAG
위작	위작/NNG
판정을	판정/NNG+을/JKO
내리기까지	내리/VV+기/ETN+까지/JX
선생은	선생/NNG+은/JX
처음부터	처음/NNG+부터/JX
위작임을	위작/NNG+이/VCP+ㅁ/ETN+을/JKO
끈질기게	끈질기/VA+게/EC
주장했었다.	주장/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000049.272.2.4
당시 ‘진품’임을 주장했던 대형 화랑의 집중 포화에도 아랑곳없이 신념을 굽히지 않았다.

당시	당시/NNG
‘진품’임을	‘/SS+진품/NNG+’/SS+이/VCP+ㅁ/ETN+을/JKO
주장했던	주장/NNG+하/XSV+았/EP+던/ETM
대형	대형/NNG
화랑의	화랑/NNG+의/JKG
집중	집중/NNG
포화에도	포화/NNG+에/JKB+도/JX
아랑곳없이	아랑곳없이/MAG
신념을	신념/NNG+을/JKO
굽히지	굽히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.272.3.1
어제 재회는 이우환 화백 때문이었다.

어제	어제/NNG
재회는	재회/NNG+는/JX
이우환	이우환/NNP
화백	화백/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.272.3.2
최 선생은 이번에 경찰 의뢰로 감정에 참여해 경찰이 압수한 13점에 모두 ‘위작’ 감정을 내려 국립과학수사연구원 감정과 경찰 수사에 결정적 기준을 제시했다.

최	최/NNP
선생은	선생/NNG+은/JX
이번에	이번/NNG+에/JKB
경찰	경찰/NNG
의뢰로	의뢰/NNG+로/JKB
감정에	감정/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
경찰이	경찰/NNG+이/JKS
압수한	압수/NNG+하/XSV+ㄴ/ETM
13점에	13/SN+점/NNB+에/JKB
모두	모두/MAG
‘위작’	‘/SS+위작/NNG+’/SS
감정을	감정/NNG+을/JKO
내려	내리/VV+어/EC
국립과학수사연구원	국립과학수사연구원/NNP
감정과	감정/NNG+과/JC
수사에	수사/NNG+에/JKB
결정적	결정/NNG+적/XSN
기준을	기준/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.272.3.3
그는 “이번엔 정말 감정에 참여하고 싶지 않았다”고 했다.

그는	그/NP+는/JX
“이번엔	“/SS+이번/NNG+에/JKB+ㄴ/JX
정말	정말/MAG
감정에	감정/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
싶지	싶/VX+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.272.3.4
이중섭 시비 때처럼 힘든 싸움을, 그것도 생존 거장의 작품을 겨냥하는 일을 해봐야 몸과 마음만 상한다는 생각 때문이었다.

이중섭	이중섭/NNP
시비	시비/NNG
때처럼	때/NNG+처럼/JKB
힘든	힘들/VA+ㄴ/ETM
