# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.403
metadata : {}


# id : NWRW1800000022.403.1.1
"법원 판결이 法 위반… 정정해달라";검찰, 2년만에 대법원에 비상上告

"법원	"/SS+법원/NNG
판결이	판결/NNG+이/JKS
法	法/SH
위반…	위반/NNG+…/SE
정정해달라";검찰,	정정/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+;/SW+검찰/NNG+,/SP
2년만에	2/SN+년/NNB+만/NNB+에/JKB
대법원에	대/XPN+법원/NNG+에/JKB
비상上告	비상/NNG+上告/SH


# id : NWRW1800000022.403.2.1
검찰이 재판에서 벌금형이 확정된 사건에 대해 "법원이 법령을 위반해 판결을 잘못했다"면서 대법원에 비상상고(非常上告)를 한 것으로 19일 확인됐다.

검찰이	검찰/NNG+이/JKS
재판에서	재판/NNG+에서/JKB
벌금형이	벌금형/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
"법원이	"/SS+법원/NNG+이/JKS
법령을	법령/NNG+을/JKO
위반해	위반/NNG+하/XSV+아/EC
판결을	판결/NNG+을/JKO
잘못했다"면서	잘못/MAG+하/XSV+았/EP+다/EF+"/SS+면서/EC
대법원에	대/XPN+법원/NNG+에/JKB
비상상고(非常上告)를	비상/NNG+상고/NNG+(/SS+非常上告/SH+)/SS+를/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
19일	19/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.403.2.2
비상상고는 판결이 확정돼 재판이 일단 끝난 사안에 대해 검찰이 법원의 법령 적용 위반을 바로잡아 달라고 하는 비상구제절차로, 검찰을 대표해 검찰총장이 대법원에 제기하게 돼 있다.

비상상고는	비상/NNG+상고/NNG+는/JX
판결이	판결/NNG+이/JKS
확정돼	확정/NNG+되/XSV+어/EC
재판이	재판/NNG+이/JKS
일단	일단/MAG
끝난	끝나/VV+ㄴ/ETM
사안에	사안/NNG+에/JKB
대해	대하/VV+아/EC
검찰이	검찰/NNG+이/JKS
법원의	법원/NNG+의/JKG
법령	법령/NNG
적용	적용/NNG
위반을	위반/NNG+을/JKO
바로잡아	바로잡/VV+아/EC
달라고	달/VX+라고/EC
하는	하/VV+는/ETM
비상구제절차로,	비상/NNG+구제/NNG+절차/NNG+로/JKB+,/SP
검찰을	검찰/NNG+을/JKO
대표해	대표/NNG+하/XSV+아/EC
검찰총장이	검찰/NNG+총장/NNG+이/JKS
대법원에	대/XPN+법원/NNG+에/JKB
제기하게	제기/NNG+하/XSV+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.403.3.1
확정 판결이 문제가 된다는 점에서 '3심제'에 따른 상소(上訴·항소나 상고)절차의 예외에 해당하고, 판결 확정 후 새 증거가 발견되는 등 주로 사실관계가 바뀌었을 때 활용되는 재심(再審)과도 구별된다.

확정	확정/NNG
판결이	판결/NNG+이/JKS
문제가	문제/NNG+가/JKC
된다는	되/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
'3심제'에	'/SS+3심/NNG+제/XSN+'/SS+에/JKB
따른	따르/VV+ㄴ/ETM
상소(上訴·항소나	상소/NNG+(/SS+上訴/SH+·/SP+항소/NNG+나/JC
상고)절차의	상고/NNG+)/SS+절차/NNG+의/JKG
예외에	예외/NNG+에/JKB
해당하고,	해당/NNG+하/XSV+고/EC+,/SP
판결	판결/NNG
후	후/NNG
새	새/MMA
증거가	증거/NNG+가/JKS
발견되는	발견/NNG+되/XSV+는/ETM
등	등/NNB
주로	주로/MAG
사실관계가	사실/NNG+관계/NNG+가/JKS
바뀌었을	바뀌/VV+었/EP+을/ETM
때	때/NNG
활용되는	활용/NNG+되/XSV+는/ETM
재심(再審)과도	재심/NNG+(/SS+再審/SH+)/SS+과/JKB+도/JX
구별된다.	구별/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.403.4.1
대검찰청에 따르면 김준규 검찰총장은 휴대전화로 협박메시지를 보낸 혐의와 상해 혐의로 벌금 100만원이 확정된 L(여·28)씨 사건에 대해, "재판과정에서 피해자가 고소를 취하했기 때문에 협박메시지 발송 부분은 공소기각 판결을 해야만 법에 맞는데 수원지법이 이를 간과하고 유죄를 인정한 위법이 있다"며 지난 9월초 대법원에 비상상고했다.

대검찰청에	대/XPN+검찰청/NNG+에/JKB
따르면	따르/VV+면/EC
김준규	김준규/NNP
검찰총장은	검찰/NNG+총장/NNG+은/JX
