# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.354
metadata : {}


# id : NWRW1800000036.354.1.1
[유레카] 슈퍼컴 ‘천둥’ / 이근영

[유레카]	[/SS+유레카/NNG+]/SS
슈퍼컴	슈퍼컴/NNG
‘천둥’	‘/SS+천둥/NNP+’/SS
/	//SP
이근영	이근영/NNP


# id : NWRW1800000036.354.2.1
[한겨레] 주소를 넣으면 해당 지역에서 앞으로 일어날 가능성이 있는 범죄를 알려주는 범죄지도(크라임 맵) 서비스는 미래의 일이 아니다.

[한겨레]	[/SS+한겨레/NNP+]/SS
주소를	주소/NNG+를/JKO
넣으면	넣/VV+으면/EC
해당	해당/NNG
지역에서	지역/NNG+에서/JKB
앞으로	앞/NNG+으로/JKB
일어날	일어나/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
범죄를	범죄/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
범죄지도(크라임	범죄/NNG+지도/NNG+(/SS+크라임/NNG
맵)	맵/NNG+)/SS
서비스는	서비스/NNG+는/JX
미래의	미래/NNG+의/JKG
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000036.354.2.2
미국 로스앤젤레스 등 일부 지역 경찰은 지난 수년간의 범죄 데이터를 바탕으로 슈퍼컴퓨터에서 예측모델을 돌려 마치 지진 예보를 하듯 범죄예방 정보를 제공하고 있다.

미국	미국/NNP
로스앤젤레스	로스앤젤레스/NNP
등	등/NNB
일부	일부/NNG
지역	지역/NNG
경찰은	경찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
수년간의	수년/NNG+간/XSN+의/JKG
범죄	범죄/NNG
데이터를	데이터/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
슈퍼컴퓨터에서	슈퍼컴퓨터/NNG+에서/JKB
예측모델을	예측/NNG+모델/NNG+을/JKO
돌려	돌리/VV+어/EC
마치	마치/MAG
지진	지진/NNG
예보를	예보/NNG+를/JKO
하듯	하/VV+듯/EC
범죄예방	범죄/NNG+예방/NNG
정보를	정보/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.354.2.3
영화 <마이너리티 리포트>에서 범죄자를 예지하는 ‘프리크라임’이 상상이 아닐 날도 멀지 않은 듯싶다.

