# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.105
metadata : {}


# id : NWRW1800000026.105.1.1
인조이族 잡아라 유통업체 新전쟁

인조이族	인조이/NNG+族/SH
잡아라	잡/VV+아라/EF
유통업체	유통업체/NNG
新전쟁	新/SH+전쟁/NNG


# id : NWRW1800000026.105.2.1
유통업체들이 '인조이(injoy)족'을 주목하고 있다.

유통업체들이	유통업체/NNG+들/XSN+이/JKS
'인조이(injoy)족'을	'/SS+인조이/NNG+(/SS+injoy/SL+)/SS+족/NA+'/SS+을/JKO
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.105.2.2
'인조이'는 '안에서(In)'와 '즐기다(Enjoy)'가 합쳐진 신조어.

'인조이'는	'/SS+인조이/NNG+'/SS+는/JX
'안에서(In)'와	'/SS+안/NNG+에서/JKB+(/SS+In/SL+)/SS+'/SS+와/JC
'즐기다(Enjoy)'가	'/SS+즐기/VV+다/EF+(/SS+Enjoy/SL+)/SS+'/SS+가/JKS
합쳐진	합치/VV+어/EC+지/VX+ㄴ/ETM
신조어.	신조어/NNG+./SF


# id : NWRW1800000026.105.2.3
이들 인조이족은 밖에서 즐기던 것을 집에서도 똑같이 즐기고자 하는 사람들을 말한다.

이들	이/NP+들/XSN
인조이족은	인조이족/NNG+은/JX
밖에서	밖/NNG+에서/JKB
즐기던	즐기/VV+던/ETM
것을	것/NNB+을/JKO
집에서도	집/NNG+에서/JKB+도/JX
똑같이	똑같이/MAG
즐기고자	즐기/VV+고자/EC
하는	하/VX+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.105.3.1
인조이족은 경기 침체 여파로 부득이하게 소비를 줄여야 하는 상황 속에 삶의 질을 낮추는 대신, 밖에서 발생하는 불필요한 소비를 줄이고 집에서 비슷한 수준의 여가를 즐기려는 '실속형 가치 소비문화'가 자리를 잡으면서 생겨났다.

인조이족은	인조이족/NNG+은/JX
경기	경기/NNG
침체	침체/NNG
여파로	여파/NNG+로/JKB
부득이하게	부득이/MAG+하/XSA+게/EC
소비를	소비/NNG+를/JKO
줄여야	줄이/VV+어야/EC
하는	하/VX+는/ETM
상황	상황/NNG
속에	속/NNG+에/JKB
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
낮추는	낮추/VV+는/ETM
대신,	대신/NNG+,/SP
밖에서	밖/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
줄이고	줄이/VV+고/EC
집에서	집/NNG+에서/JKB
비슷한	비슷하/VA+ㄴ/ETM
수준의	수준/NNG+의/JKG
여가를	여가/NNG+를/JKO
즐기려는	즐기/VV+려는/ETM
'실속형	'/SS+실속/NNG+형/XSN
가치	가치/NNG
소비문화'가	소비문화/NNG+'/SS+가/JKS
자리를	자리/NNG+를/JKO
잡으면서	잡/VV+으면서/EC
생겨났다.	생겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.105.4.1
식품업체를 비롯한 유통업체들은 인조이족을 잡기 위해 다양한 제품을 내놓고 있다.

식품업체를	식품업체/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
유통업체들은	유통업체/NNG+들/XSN+은/JX
인조이족을	인조이족/NNG+을/JKO
잡기	잡/VV+기/ETN
위해	위하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
제품을	제품/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.105.4.2
CJ제일제당 백설은 '우리밀 핫케익믹스'와 '쵸코칩 핫케익믹스'를 내놓았다.

CJ제일제당	CJ제일제당/NNP
백설은	백설/NNP+은/JX
'우리밀	'/SS+우리/NP+밀/NNG
핫케익믹스'와	핫케익/NNG+믹스/NNG+'/SS+와/JC
'쵸코칩	'/SS+쵸코칩/NNG
핫케익믹스'를	핫케익/NNG+믹스/NNG+'/SS+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.105.4.3
누구나 쉽게 집에서 조리해서 먹을 수 있도록 만든 '홈메이드용' 제품이다.

누구나	누구/NP+나/JX
쉽게	쉽/VA+게/EC
집에서	집/NNG+에서/JKB
조리해서	조리/NNG+하/XSV+아서/EC
먹을	먹/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
만든	만들/VV+ㄴ/ETM
'홈메이드용'	'/SS+홈메이드/NNG+용/XSN+'/SS
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.105.4.4
우리밀 핫케익믹스의 경우 주요 원재료인 밀가루는 100% 1등급 밀가루만 사용해 건강함을 더한 프리미엄 제품으로 만들었다.

우리밀	우리/NP+밀/NNG
핫케익믹스의	핫케익/NNG+믹스/NNG+의/JKG
경우	경우/NNG
주요	주요/NNG
원재료인	원재료/NNG+이/VCP+ㄴ/ETM
밀가루는	밀가루/NNG+는/JX
100%	100/SN+%/SW
1등급	1/SN+등급/NNG
밀가루만	밀가루/NNG+만/JX
사용해	사용/NNG+하/XSV+아/EC
건강함을	건강/NNG+하/XSA+ㅁ/ETN+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
프리미엄	프리미엄/NNG
제품으로	제품/NNG+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.105.5.1
매장에 찾아가지 않아도 건강과 외모 관리를 간편하게 할 수 있는 제품과 집에서 편함을 추구하면서도 디자인을 생각한 홈웨어와 트레이닝복도 나왔다.

매장에	매장/NNG+에/JKB
찾아가지	찾아가/VV+지/EC
않아도	않/VX+아도/EC
건강과	건강/NNG+과/JC
외모	외모/NNG
관리를	관리/NNG+를/JKO
간편하게	간편하/VA+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제품과	제품/NNG+과/JC
집에서	집/NNG+에서/JKB
편함을	편하/VA+ㅁ/ETN+을/JKO
추구하면서도	추구/NNG+하/XSV+면서/EC+도/JX
디자인을	디자인/NNG+을/JKO
생각한	생각/NNG+하/XSV+ㄴ/ETM
홈웨어와	홈웨어/NNG+와/JC
트레이닝복도	트레이닝복/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.105.6.1
C7

C7	C/SL+7/SN


