# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.347
metadata : {}


# id : NWRW1800000041.347.1.1
[혼돈의 새정치聯]“文, 분란 일으키고 결정적일땐 발빼”

[혼돈의	[/SS+혼돈/NNG+의/JKG
새정치聯]“文,	새정치/NNP+聯/SH+]/SS+“/SS+文/SH+,/SP
분란	분란/NNG
일으키고	일으키/VV+고/EC
결정적일땐	결정/NNG+적/XSN+이/VCP+ㄹ/ETM+때/NNG+ㄴ/JX
발빼”	발/NNG+빼/VV+어/EF+”/SS


# id : NWRW1800000041.347.2.1
봇물 터진 ‘문재인 책임론’

봇물	봇물/NNG
터진	터지/VV+ㄴ/ETM
‘문재인	‘/SS+문재인/NNP
책임론’	책임/NNG+론/XSN+’/SS


# id : NWRW1800000041.347.3.1
새정치민주연합 문재인 의원이 이상돈 중앙대 명예교수의 영입 파동에 휩쓸리면서 리더십이 흔들리고 있다.

새정치민주연합	새정치민주연합/NNP
문재인	문재인/NNP
의원이	의원/NNG+이/JKS
이상돈	이상돈/NNP
중앙대	중앙대/NNP
명예교수의	명예/NNG+교수/NNG+의/JKG
영입	영입/NNG
파동에	파동/NNG+에/JKB
휩쓸리면서	휩쓸리/VV+면서/EC
리더십이	리더십/NNG+이/JKS
흔들리고	흔들리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.347.3.2
대선후보를 지냈고, 당내 최대 계파인 친노(친노무현)계의 수장이면서도 이 교수 영입을 사전에 조율했는지를 둘러싸고 박영선 원내대표와 진실 공방을 벌이는 듯한 모습을 보이면서 정치적 상처를 크게 입었다는 지적이다.

대선후보를	대선/NNG+후보/NNG+를/JKO
지냈고,	지내/VV+었/EP+고/EC+,/SP
당내	당내/NNG
최대	최대/NNG
계파인	계파/NNG+이/VCP+ㄴ/ETM
친노(친노무현)계의	친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS+계/XSN+의/JKG
수장이면서도	수장/NNG+이/VCP+면서/EC+도/JX
이	이/NNP
교수	교수/NNG
영입을	영입/NNG+을/JKO
사전에	사전/NNG+에/JKB
조율했는지를	조율/NNG+하/XSV+았/EP+는지/EC+를/JKO
둘러싸고	둘러싸/VV+고/EC
박영선	박영선/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
진실	진실/NNG
공방을	공방/NNG+을/JKO
벌이는	벌이/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이면서	보이/VV+면서/EC
정치적	정치/NNG+적/XSN
상처를	상처/NNG+를/JKO
크게	크/VA+게/EC
입었다는	입/VV+었/EP+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.347.4.1
한 재선 의원은 “정치 현안에 대해 지도부와 다른 행보를 해 지도부를 곤경에 빠뜨리거나, 결정적일 때 발을 뺀다는 비판이 나온다”고 했다.

한	한/MMN
재선	재선/NNG
의원은	의원/NNG+은/JX
“정치	“/SS+정치/NNG
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
지도부와	지도부/NNG+와/JKB
다른	다르/VA+ㄴ/ETM
행보를	행보/NNG+를/JKO
해	하/VV+아/EC
지도부를	지도부/NNG+를/JKO
곤경에	곤경/NNG+에/JKB
빠뜨리거나,	빠뜨리/VV+거나/EC+,/SP
결정적일	결정/NNG+적/XSN+이/VCP+ㄹ/ETM
때	때/NNG
발을	발/NNG+을/JKO
뺀다는	빼/VV+ㄴ다는/ETM
비판이	비판/NNG+이/JKS
나온다”고	나오/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.5.1
○ 고비마다 지도부와 다른 행보

○	○/SW
고비마다	고비/NNG+마다/JX
지도부와	지도부/NNG+와/JC
다른	다른/MMD
행보	행보/NNG


# id : NWRW1800000041.347.6.1
세월호 특별법 재합의안 추인 여부를 결정하기 위해 소집된 지난달 19일 새정치연합 의원총회.

세월호	세월호/NNP
특별법	특별법/NNG
재합의안	재/XPN+합의안/NNG
추인	추인/NNG
여부를	여부/NNG+를/JKO
결정하기	결정/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
소집된	소집/NNG+되/XSV+ㄴ/ETM
지난달	지난달/NNG
19일	19/SN+일/NNB
새정치연합	새정치연합/NNP
의원총회.	의원/NNG+총회/NNG+./SF


# id : NWRW1800000041.347.6.2
문 의원은 이날 의원총회에 참석하지 않고 광화문광장으로 나갔다.

문	문/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
의원총회에	의원/NNG+총회/NNG+에/JKB
참석하지	참석/NNG+하/XSV+지/EC
않고	않/VX+고/EC
광화문광장으로	광화문광장/NNP+으로/JKB
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.6.3
‘유가족이 요구하는 세월호 특별법 제정’을 요구하며 단식 농성 중이던 김영오 씨 옆에서 ‘동조 단식’을 시작했다.

‘유가족이	‘/SS+유가족/NNG+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
세월호	세월호/NNP
특별법	특별법/NNG
제정’을	제정/NNG+’/SS+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
단식	단식/NNG
농성	농성/NNG
중이던	중/NNB+이/VCP+던/ETM
김영오	김영오/NNP
씨	씨/NNB
옆에서	옆/NNG+에서/JKB
‘동조	‘/SS+동조/NNG
단식’을	단식/NNG+’/SS+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.6.4
이후 여야 협상은 결렬됐고, 박 원내대표는 강경파 의견을 수용해 거리로 나갔다.

이후	이후/NNG
여야	여야/NNG
협상은	협상/NNG+은/JX
결렬됐고,	결렬/NNG+되/XSV+었/EP+고/EC+,/SP
박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
강경파	강경파/NNG
의견을	의견/NNG+을/JKO
수용해	수용/NNG+하/XSV+아/EC
거리로	거리/NNG+로/JKB
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.7.1
지난해 6월 남북정상회담 회의록 유출 사태 때 김한길 당시 민주당(새정치연합 전신) 대표는 국가정보원의 회의록 유출을 비판했다.

지난해	지난해/NNG
6월	6/SN+월/NNB
남북정상회담	남북/NNP+정상/NNG+회담/NNG
회의록	회의록/NNG
유출	유출/NNG
사태	사태/NNG
때	때/NNG
김한길	김한길/NNP
당시	당시/NNG
민주당(새정치연합	민주당/NNP+(/SS+새정치연합/NNP
전신)	전신/NNG+)/SS
대표는	대표/NNG+는/JX
국가정보원의	국가/NNG+정보원/NNG+의/JKG
유출을	유출/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.7.2
당시 문 의원은 긴급 성명을 내고 “정상회담 회의록과 녹음테이프 등 녹취자료뿐만 아니라 서해 북방한계선(NLL)에 관한 준비회의 회의록 등 회담 전의 준비 자료, 회담 이후의 각종 보고 자료까지 함께 공개하자”고 주장했다.

당시	당시/NNG
문	문/NNP
의원은	의원/NNG+은/JX
긴급	긴급/NNG
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
“정상회담	“/SS+정상/NNG+회담/NNG
회의록과	회의록/NNG+과/JC
녹음테이프	녹음테이프/NNG
등	등/NNB
녹취자료뿐만	녹취/NNG+자료/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
서해	서해/NNP
북방한계선(NLL)에	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS+에/JKB
관한	관하/VV+ㄴ/ETM
준비회의	준비/NNG+회의/NNG
회의록	회의록/NNG
회담	회담/NNG
전의	전/NNG+의/JKG
준비	준비/NNG
자료,	자료/NNG+,/SP
이후의	이후/NNG+의/JKG
각종	각종/NNG
보고	보고/NNG
자료까지	자료/NNG+까지/JX
함께	함께/MAG
공개하자”고	공개/NNG+하/XSV+자/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.347.7.3
김 전 대표는 2007년 남북정상회담 당시 정상회담준비위원장 등을 지낸 문 의원을 믿고 강공 드라이브를 걸었지만 회의록 원본은 유실된 것으로 확인됐다.

김	김/NNP
전	전/MMD
대표는	대표/NNG+는/JX
2007년	2007/SN+년/NNB
남북정상회담	남북/NNP+정상/NNG+회담/NNG
당시	당시/NNG
정상회담준비위원장	정상/NNG+회담/NNG+준비/NNG+위원장/NNG
등을	등/NNB+을/JKO
지낸	지내/VV+ㄴ/ETM
문	문/NNP
의원을	의원/NNG+을/JKO
믿고	믿/VV+고/EC
강공	강공/NNG
드라이브를	드라이브/NNG+를/JKO
걸었지만	걸/VV+었/EP+지만/EC
회의록	회의록/NNG
원본은	원본/NNG+은/JX
유실된	유실/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.347.7.4
문 의원은 “논쟁을 끝내자”는 보도자료를 배포했지만 공식 사과는 없었다.

문	문/NNP
의원은	의원/NNG+은/JX
“논쟁을	“/SS+논쟁/NNG+을/JKO
끝내자”는	끝내/VV+자/EF+”/SS+는/JX
보도자료를	보도/NNG+자료/NNG+를/JKO
배포했지만	배포/NNG+하/XSV+았/EP+지만/EC
공식	공식/NNG
사과는	사과/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.347.8.1
올 3월 민주당과 안철수신당 합당 때도 비슷한 일이 있었다.

올	올/NNG
3월	3/SN+월/NNB
민주당과	민주당/NNP+과/JC
안철수신당	안철수/NNP+신당/NNG
합당	합당/NNG
때도	때/NNG+도/JX
비슷한	비슷하/VA+ㄴ/ETM
일이	일/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.347.8.2
김한길 안철수 두 전직 공동대표가 ‘기초선거 공천 폐지’를 고리로 통합을 선언하자 문 의원이 “의원들을 상대로 의견을 묻는 절차가 필요하다”며 이견을 제시했다.

김한길	김한길/NNP
안철수	안철수/NNP
두	두/MMN
전직	전직/NNG
공동대표가	공동/NNG+대표/NNG+가/JKS
‘기초선거	‘/SS+기초/NNG+선거/NNG
공천	공천/NNG
폐지’를	폐지/NNG+’/SS+를/JKO
고리로	고리/NNG+로/JKB
통합을	통합/NNG+을/JKO
선언하자	선언/NNG+하/XSV+자/EC
문	문/NNP
의원이	의원/NNG+이/JKS
