# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.354
metadata : {}


# id : NWRW1800000054.354.1.1
非文의 반격… "안희정은 싸가지 있는 진보" 공개 지지

非文의	非文/SH+의/JKG
반격…	반격/NNG+…/SE
"안희정은	"/SS+안희정/NNP+은/JX
싸가지	싸가지/NNG
있는	있/VA+는/ETM
진보"	진보/NNG+"/SS
공개	공개/NNG
지지	지지/NNG


# id : NWRW1800000054.354.2.1
親文네티즌에 '문자 폭탄' 받은 개헌파는 자체 개헌안 착수

親文네티즌에	親文/SH+네티즌/NNG+에/JKB
'문자	'/SS+문자/NNG
폭탄'	폭탄/NNG+'/SS
받은	받/VV+은/ETM
개헌파는	개헌/NNG+파/NNG+는/JX
자체	자체/NNG
개헌안	개헌안/NNG
착수	착수/NNG


# id : NWRW1800000054.354.3.1
더불어민주당 비주류들이 대통령 탄핵 결정 날짜가 다가오면서 조기 대선에 대비해 세력화에 나섰다.

더불어민주당	더불어민주당/NNP
비주류들이	비/XPN+주류/NNG+들/XSN+이/JKS
대통령	대통령/NNG
탄핵	탄핵/NNG
결정	결정/NNG
날짜가	날짜/NNG+가/JKS
다가오면서	다가오/VV+면서/EC
조기	조기/NNG
대선에	대선/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
세력화에	세력/NNG+화/XSN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.354.3.2
일부 비문(非文) 의원은 공개적으로 안희정 후보를 지지했고, 개헌파들은 자체 개헌안을 준비하고 있다.

일부	일부/NNG
비문(非文)	비/XPN+문/NNP+(/SS+非文/SH+)/SS
의원은	의원/NNG+은/JX
공개적으로	공개/NNG+적/XSN+으로/JKB
안희정	안희정/NNP
후보를	후보/NNG+를/JKO
지지했고,	지지/NNG+하/XSV+았/EP+고/EC+,/SP
개헌파들은	개헌/NNG+파/NNG+들/XSN+은/JX
자체	자체/NNG
개헌안을	개헌안/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.354.3.3
그러나 주류(主流) 측은 "당내 경선이나 개헌 모두에서 대세에 영향을 주진 못할 것"이라고 하고 있다.

그러나	그러나/MAJ
주류(主流)	주류/NNG+(/SS+主流/SH+)/SS
측은	측/NNB+은/JX
"당내	"/SS+당내/NNG
경선이나	경선/NNG+이나/JC
개헌	개헌/NNG
모두에서	모두/NNG+에서/JKB
대세에	대세/NNG+에/JKB
영향을	영향/NNG+을/JKO
주진	주/VV+지/EC+ㄴ/JX
못할	못하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.354.4.1
비문 성향 86그룹(80년대 학번, 1960년대 생)인 기동민·어기구·이철희 의원은 5일 안희정 후보 지지를 공개 선언했다.

비문	비/XPN+문/NNP
성향	성향/NNG
86그룹(80년대	86/SN+그룹/NNG+(/SS+80/SN+년대/NNB
학번,	학번/NNG+,/SP
1960년대	1960/SN+년대/NNB
생)인	생/XSN+)/SS+이/VCP+ㄴ/ETM
기동민·어기구·이철희	기동민/NNP+·/SP+어기구/NNP+·/SP+이철희/NNP
의원은	의원/NNG+은/JX
5일	5/SN+일/NNB
안희정	안희정/NNP
후보	후보/NNG
지지를	지지/NNG+를/JKO
공개	공개/NNG
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.354.4.2
세 의원은 국회에서 기자회견을 갖고 "꿈 없는 보수도 수구이지만 품 없는 진보 역시 수구"라며 "안 후보는 품이 넓고 싸가지가 있는 진보이기 때문에 지지한다"고 했다.

세	세/MMN
의원은	의원/NNG+은/JX
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
갖고	갖/VV+고/EC
