# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.292
metadata : {}


# id : NWRW1800000021.292.1.1
北인권 전문가들 서울로 총집결

北인권	北/SH+인권/NNG
전문가들	전문가/NNG+들/XSN
서울로	서울/NNP+로/JKB
총집결	총집결/NNG


# id : NWRW1800000021.292.2.1
북한민주화네트워크와 북한인권청년학생연대가 24, 25일 서울 중구 태평로 한국프레스센터에서 ‘북한인권운동의 국제연대와 협력방안’을 주제로 2009년 북한인권 국제회의를 연다.

북한민주화네트워크와	북한민주화네트워크/NNP+와/JC
북한인권청년학생연대가	북한인권청년학생연대/NNP+가/JKS
24,	24/SN+,/SP
25일	25/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
태평로	태평로/NNP
한국프레스센터에서	한국프레스센터/NNP+에서/JKB
‘북한인권운동의	‘/SS+북한/NNP+인권/NNG+운동/NNG+의/JKG
국제연대와	국제/NNG+연대/NNG+와/JC
협력방안’을	협력/NNG+방안/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
2009년	2009/SN+년/NNB
북한인권	북한/NNP+인권/NNG
국제회의를	국제회의/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.292.2.2
동아일보와 행전안전부가 후원하는 이번 국제회의에는 전 세계의 북한인권 전문가 10여 명을 비롯해 국내외 북한인권단체 관계자와 전문가 40여 명이 참석한다.

동아일보와	동아일보/NNP+와/JC
행전안전부가	행전/NNG+안전부/NNG+가/JKS
후원하는	후원/NNG+하/XSV+는/ETM
이번	이번/NNG
국제회의에는	국제회의/NNG+에/JKB+는/JX
전	전/MMN
세계의	세계/NNG+의/JKG
북한인권	북한/NNP+인권/NNG
전문가	전문가/NNG
10여	10/SN+여/XSN
명을	명/NNB+을/JKO
비롯해	비롯하/VV+아/EC
국내외	국내외/NNG
북한인권단체	북한/NNP+인권/NNG+단체/NNG
관계자와	관계자/NNG+와/JC
40여	40/SN+여/XSN
명이	명/NNB+이/JKS
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.292.3.1
25일 오전 9시에 열리는 국제회의에는 △북한인권 문제 해결을 위한 국제사회의 역할과 협력방안 △포스트 김정일 시대와 한반도의 미래를 주제로 9개 논문이 발표된다.

25일	25/SN+일/NNB
오전	오전/NNG
9시에	9/SN+시/NNB+에/JKB
열리는	열리/VV+는/ETM
국제회의에는	국제회의/NNG+에/JKB+는/JX
△북한인권	△/SW+북한/NNP+인권/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
역할과	역할/NNG+과/JC
협력방안	협력/NNG+방안/NNG
△포스트	△/SW+포스트/NNG
김정일	김정일/NNP
시대와	시대/NNG+와/JC
한반도의	한반도/NNP+의/JKG
미래를	미래/NNG+를/JKO
주제로	주제/NNG+로/JKB
9개	9/SN+개/NNB
논문이	논문/NNG+이/JKS
발표된다.	발표/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.292.3.2
북한 소식지 ‘림진강’을 발행하는 대북 전문가 이시마루 지로(石丸次郞) 일본 아시아프레스 대표가 토론에 참여하는 것을 비롯해 척 다운스 미국 북한인권위원회 사무총장, 라지브 나라얀 국제사면위원회 동북아시아 조사관 등이 참석한다.

북한	북한/NNP
소식지	소식지/NNG
‘림진강’을	‘/SS+림진강/NNP+’/SS+을/JKO
발행하는	발행/NNG+하/XSV+는/ETM
대북	대북/NNG
전문가	전문가/NNG
이시마루	이시마루/NNP
지로(石丸次郞)	지로/NNP+(/SS+石丸次郞/SH+)/SS
일본	일본/NNP
아시아프레스	아시아프레스/NNP
대표가	대표/NNG+가/JKS
토론에	토론/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
척	척/NNP
다운스	다운스/NNP
미국	미국/NNP
북한인권위원회	북한/NNP+인권/NNG+위원회/NNG
사무총장,	사무총장/NNG+,/SP
