# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.294
metadata : {}


# id : NWRW1800000048.294.1.1
학교 폭력 통계, 유리한 것만 발표한 교육당국

학교	학교/NNG
폭력	폭력/NNG
통계,	통계/NNG+,/SP
유리한	유리/NNG+하/XSA+ㄴ/ETM
것만	것/NNB+만/JX
발표한	발표/NNG+하/XSV+ㄴ/ETM
교육당국	교육/NNG+당국/NNG


# id : NWRW1800000048.294.2.1
울산·경북·경기 교육청

울산·경북·경기	울산/NNP+·/SP+경북/NNP+·/SP+경기/NNP
교육청	교육청/NNG


# id : NWRW1800000048.294.3.1
“피해 응답률 감소” 밝혀

“피해	“/SS+피해/NNG
응답률	응답/NNG+률/XSN
감소”	감소/NNG+”/SS
밝혀	밝히/VV+어/EF


# id : NWRW1800000048.294.4.1
실제 학교폭력 공식집계선

실제	실제/NNG
학교폭력	학교/NNG+폭력/NNG
공식집계선	공식/NNG+집계/NNG+서/JKB+ㄴ/JX


# id : NWRW1800000048.294.5.1
가해학생·심의건수 등 늘어

가해학생·심의건수	가해/NNG+학생/NNG+·/SP+심의/NNG+건수/NNG
등	등/NNB
늘어	늘/VV+어/EF


# id : NWRW1800000048.294.6.1
교육당국이 유리한 학교폭력 통계만 발표하고 불리한 자료는 감춰 실태를 왜곡하고 있다는 지적이 나왔다.

교육당국이	교육/NNG+당국/NNG+이/JKS
유리한	유리/NNG+하/XSA+ㄴ/ETM
학교폭력	학교/NNG+폭력/NNG
통계만	통계/NNG+만/JX
발표하고	발표/NNG+하/XSV+고/EC
불리한	불리/NNG+하/XSA+ㄴ/ETM
자료는	자료/NNG+는/JX
감춰	감추/VV+어/EC
실태를	실태/NNG+를/JKO
왜곡하고	왜곡/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.294.7.1
