# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.98
metadata : {}


# id : NWRW1800000046.98.1.1
"온난화가 파미르 고원까지 덮쳤어요"

"온난화가	"/SS+온난/NNG+화/XSN+가/JKS
파미르	파미르/NNP
고원까지	고원/NNG+까지/JX
덮쳤어요"	덮치/VV+었/EP+어요/EF+"/SS


# id : NWRW1800000046.98.2.1
첫 주한 타지키스탄 대사 살로히딘, 산사태 상영회… "모두 각성해야"

첫	첫/MMN
주한	주한/NNG
타지키스탄	타지키스탄/NNP
대사	대사/NNG
살로히딘,	살로히딘/NNP+,/SP
산사태	산사태/NNG
상영회…	상영회/NNG+…/SE
"모두	"/SS+모두/MAG
각성해야"	각성/NNG+하/XSV+아야/EC+"/SS


# id : NWRW1800000046.98.3.1
지난 12일 서울 광희동에서 열린 타지키스탄 독립 24주년 기념행사에서 파미르 고원의 산사태 장면을 담은 동영상이 상영됐다.

지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
서울	서울/NNP
광희동에서	광희동/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
타지키스탄	타지키스탄/NNP
독립	독립/NNG
24주년	24/SN+주년/NNB
기념행사에서	기념행사/NNG+에서/JKB
파미르	파미르/NNP
고원의	고원/NNG+의/JKG
산사태	산사태/NNG
장면을	장면/NNG+을/JKO
담은	담/VV+은/ETM
동영상이	동영상/NNG+이/JKS
상영됐다.	상영/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.98.3.2
이 행사를 마련한 키로모프 살로히딘 주한 타지키스탄 대사는 "한국인에게는 아직 낯선 타지키스탄이 '세계의 지붕' 파미르 고원을 품고 있는 나라라는 것, 그리고 지구온난화로 인해 파미르 고원이 아픔을 겪고 있다는 것을 알리고 싶었다"고 했다.

이	이/MMD
행사를	행사/NNG+를/JKO
마련한	마련/NNG+하/XSV+ㄴ/ETM
키로모프	키로모프/NNP
살로히딘	살로히딘/NNP
주한	주한/NNG
타지키스탄	타지키스탄/NNP
대사는	대사/NNG+는/JX
"한국인에게는	"/SS+한국인/NNG+에게/JKB+는/JX
아직	아직/MAG
낯선	낯설/VA+ㄴ/ETM
타지키스탄이	타지키스탄/NNP+이/JKS
'세계의	'/SS+세계/NNG+의/JKG
지붕'	지붕/NNG+'/SS
파미르	파미르/NNP
고원을	고원/NNG+을/JKO
품고	품/VV+고/EC
있는	있/VX+는/ETM
나라라는	나라/NNG+이/VCP+라는/ETM
것,	것/NNB+,/SP
그리고	그리고/MAJ
지구온난화로	지구/NNG+온난/NNG+화/XSN+로/JKB
인해	인/NNG+하/XSV+아/EC
고원이	고원/NNG+이/JKS
아픔을	아픔/NNG+을/JKO
겪고	겪/VV+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
알리고	알리/VV+고/EC
