# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.289
metadata : {}


# id : NWRW1800000036.289.1.1
동부, 4년만에 정규리그 정상 탈환

동부,	동부/NNP+,/SP
4년만에	4/SN+년/NNB+만/NNB+에/JKB
정규리그	정규/NNG+리그/NNG
정상	정상/NNG
탈환	탈환/NNG


# id : NWRW1800000036.289.2.1
[한겨레] 이광재 18점 맹활약…적지서 KT에 복수

[한겨레]	[/SS+한겨레/NNP+]/SS
이광재	이광재/NNP
18점	18/SN+점/NNB
맹활약…적지서	맹활약/NNG+…/SE+적지/NNG+서/JKB
KT에	KT/SL+에/JKB
복수	복수/NNG


# id : NWRW1800000036.289.3.1
40승7패…최소경기

40승7패…최소경기	40/SN+승/NNB+7/SN+패/NNB+…/SE+최소/NNG+경기/NNG


# id : NWRW1800000036.289.4.1
1년 만에 처지가 뒤바뀌었다.

1년	1/SN+년/NNB
만에	만/NNB+에/JKB
처지가	처지/NNG+가/JKS
뒤바뀌었다.	뒤바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.4.2
케이티(KT)는 지난해 3월13일 원주에서 동부를 87-67로 싱겁게 물리치고 적지에서 정규리그 우승 샴페인을 터뜨렸다.

케이티(KT)는	케이티/NNP+(/SS+KT/SL+)/SS+는/JX
지난해	지난해/NNG
3월13일	3/SN+월/NNB+13/SN+일/NNB
원주에서	원주/NNP+에서/JKB
동부를	동부/NNP+를/JKO
87-67로	87/SN+-/SO+67/SN+로/JKB
싱겁게	싱겁/VA+게/EC
물리치고	물리치/VV+고/EC
적지에서	적지/NNG+에서/JKB
정규리그	정규/NNG+리그/NNG
우승	우승/NNG
샴페인을	샴페인/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.289.5.1
그런데 동부가 정확히 11개월 만에 ‘복수’에 성공했다.

그런데	그런데/MAJ
동부가	동부/NNP+가/JKS
정확히	정확히/MAG
11개월	11/SN+개월/NNB
만에	만/NNB+에/JKB
‘복수’에	‘/SS+복수/NNG+’/SS+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.289.5.2
동부는 14일 부산 사직체육관에서 열린 케이비(KB)국민카드 2011~2012 프로농구에서 케이티를 73-60으로 물리치고 40승7패로 4년 만에 통산 4번째 정규리그 정상을 다시 맛봤다.

동부는	동부/NNP+는/JX
14일	14/SN+일/NNB
부산	부산/NNP
사직체육관에서	사직체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
케이비(KB)국민카드	케이비/NNP+(/SS+KB/SL+)/SS+국민카드/NNP
2011~2012	2011/SN+~/SO+2012/SN
프로농구에서	프로/NNG+농구/NNG+에서/JKB
케이티를	케이티/NNP+를/JKO
73-60으로	73/SN+-/SO+60/SN+으로/JKB
물리치고	물리치/VV+고/EC
40승7패로	40/SN+승/NNB+7/SN+패/NNB+로/JKB
4년	4/SN+년/NNB
만에	만/NNB+에/JKB
통산	통산/NNG
4번째	4/SN+번/NNB+째/XSN
정규리그	정규/NNG+리그/NNG
정상을	정상/NNG+을/JKO
다시	다시/MAG
맛봤다.	맛보/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.289.5.3
2007~2008 시즌 자신들이 세운 기록(135일·48경기)을 넘어서며 역대 최소 경기(47경기)와 최단 기간(123일) 우승 기록도 갈아치웠다.

2007~2008	2007/SN+~/SO+2008/SN
시즌	시즌/NNG
자신들이	자신/NNG+들/XSN+이/JKS
세운	세우/VV+ㄴ/ETM
기록(135일·48경기)을	기록/NNG+(/SS+135/SN+일/NNB+·/SP+48/SN+경기/NNG+)/SS+을/JKO
넘어서며	넘어서/VV+며/EC
역대	역대/NNG
최소	최소/NNG
경기(47경기)와	경기/NNG+(/SS+47/SN+경기/NNG+)/SS+와/JC
최단	최단/NNG
기간(123일)	기간/NNG+(/SS+123/SN+일/NNB+)/SS
우승	우승/NNG
기록도	기록/NNG+도/JX
갈아치웠다.	갈/VV+아/EC+치우/VX+었/EP+다/EF+./SF


