# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.262
metadata : {}


# id : NWRW1800000033.262.1.1
“미래 체육정책 선도할 싱크탱크 키울 것” 정동식 체육과학연구원장

“미래	“/SS+미래/NNG
체육정책	체육/NNG+정책/NNG
선도할	선도/NNG+하/XSV+ㄹ/ETM
싱크탱크	싱크탱크/NNG
키울	키우/VV+ㄹ/ETM
것”	것/NNB+”/SS
정동식	정동식/NNP
체육과학연구원장	체육/NNG+과학/NNG+연구원장/NNG


# id : NWRW1800000033.262.2.1
“어깨가 무겁습니다.”

“어깨가	“/SS+어깨/NNG+가/JKS
무겁습니다.”	무겁/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000033.262.3.1
정동식 신임 국민체육진흥공단 체육과학연구원장(54·사진)은 더이상 정치권에 휘둘리지 않기 위해서는 “더 열심히 하는 길밖에 없다”고 강조했다.

정동식	정동식/NNP
신임	신임/NNG
국민체육진흥공단	국민체육진흥공단/NNP
체육과학연구원장(54·사진)은	체육/NNG+과학/NNG+연구원장/NNG+(/SS+54/SN+·/SP+사진/NNG+)/SS+은/JX
더이상	더/MAG+이상/NNG
정치권에	정치/NNG+권/XSN+에/JKB
휘둘리지	휘둘리/VV+지/EC
않기	않/VX+기/ETN
위해서는	위하/VV+아서/EC+는/JX
“더	“/SS+더/MAG
열심히	열심히/MAG
하는	하/VV+는/ETM
길밖에	길/NNG+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.262.3.2
지난주 취임한 정 원장은 현 정부 들어 시작된 두 차례의 ‘낙하산’ 인사를 끝내고 연구원에서 잔뼈가 굵은 연구원 출신으로 낙점을 받았다.

지난주	지난주/NNG
취임한	취임/NNG+하/XSV+ㄴ/ETM
정	정/NNP
원장은	원장/NNG+은/JX
현	현/MMD
정부	정부/NNG
들어	들/VV+어/EC
시작된	시작/NNG+되/XSV+ㄴ/ETM
두	두/MMN
차례의	차례/NNG+의/JKG
‘낙하산’	‘/SS+낙하산/NNG+’/SS
인사를	인사/NNG+를/JKO
끝내고	끝내/VV+고/EC
연구원에서	연구원/NNG+에서/JKB
잔뼈가	잔뼈/NNG+가/JKS
굵은	굵/VA+은/ETM
연구원	연구원/NNG
출신으로	출신/NNG+으로/JKB
낙점을	낙점/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.262.3.3
아직 정부 임명직이지만 외부가 아닌 내부에서 연구원 생활과 연구원 처장 등을 역임한 ‘연구 통’이 발탁된 점에서 주목받고 있다.

아직	아직/MAG
정부	정부/NNG
임명직이지만	임명직/NNG+이/VCP+지만/EC
외부가	외부/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
내부에서	내부/NNG+에서/JKB
연구원	연구원/NNG
생활과	생활/NNG+과/JC
처장	처장/NNG
등을	등/NNB+을/JKO
역임한	역임/NNG+하/XSV+ㄴ/ETM
‘연구	‘/SS+연구/NNG
통’이	통/NA+’/SS+이/JKS
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
점에서	점/NNG+에서/JKB
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.262.4.1
정 원장은 “연구원의 정체성 확보가 급선무”라고 말했다.

정	정/NNP
원장은	원장/NNG+은/JX
“연구원의	“/SS+연구원/NNG+의/JKG
정체성	정체/NNG+성/XSN
확보가	확보/NNG+가/JKS
급선무”라고	급선무/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.262.4.2
“명실상부한 한국 최고의 스포츠 연구기관으로서 미래 체육정책을 선도하는 ‘싱크 탱크’로 키워야 한다”고 밝혔다.

“명실상부한	“/SS+명실상부/NNG+하/XSA+ㄴ/ETM
한국	한국/NNP
최고의	최고/NNG+의/JKG
스포츠	스포츠/NNG
연구기관으로서	연구/NNG+기관/NNG+으로서/JKB
미래	미래/NNG
체육정책을	체육/NNG+정책/NNG+을/JKO
선도하는	선도/NNG+하/XSV+는/ETM
‘싱크	‘/SS+싱크/NNG
탱크’로	탱크/NNG+’/SS+로/JKB
키워야	키우/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.262.4.3
그는 “그동안 성과를 강조하는 분위기 때문에 질보다 양에 치중하는 연구를 해 왔다.

그는	그/NP+는/JX
“그동안	“/SS+그동안/NNG
성과를	성과/NNG+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
분위기	분위기/NNG
때문에	때문/NNB+에/JKB
질보다	질/NNG+보다/JKB
양에	양/NNG+에/JKB
치중하는	치중/NNG+하/XSV+는/ETM
연구를	연구/NNG+를/JKO
해	하/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.262.4.4
이젠 양보다는 질을 높이는 연구를 하도록 하겠다.

이젠	이제/NNG+ㄴ/JX
양보다는	양/NNG+보다/JKB+는/JX
질을	질/NNG+을/JKO
높이는	높이/VV+는/ETM
연구를	연구/NNG+를/JKO
하도록	하/VV+도록/EC
하겠다.	하/VV+겠/EP+다/EF+./SF


# id : NWRW1800000033.262.4.5
그러기 위해 전문화가 필요하다”고 밝혔다.

그러기	그러/VV+기/ETN
위해	위하/VV+아/EC
전문화가	전문/NNG+화/XSN+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.262.4.6
정 원정은 “상위 기관인 공단 측에서도 연구에 집중할 수 있는 지원을 약속했다”고 덧붙였다.

정	정/NNP
원정은	원정/NNG+은/JX
“상위	“/SS+상위/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
공단	공단/NNG
측에서도	측/NNB+에서/JKB+도/JX
연구에	연구/NNG+에/JKB
집중할	집중/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지원을	지원/NNG+을/JKO
약속했다”고	약속/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.262.5.1
정 원장은 세부적으로 △대표팀 중심의 엘리트 스포츠 발전을 넘어 학교 체육 발전을 이끄는 연구 △수요자를 다변화하기 위한 생활체육 연구 및 지원 확대 △미래 지향적 체육정책 개발 등을 제시했다.

정	정/NNP
원장은	원장/NNG+은/JX
세부적으로	세부/NNG+적/XSN+으로/JKB
△대표팀	△/SW+대표/NNG+팀/NNG
중심의	중심/NNG+의/JKG
엘리트	엘리트/NNG
스포츠	스포츠/NNG
발전을	발전/NNG+을/JKO
넘어	넘/VV+어/EC
학교	학교/NNG
체육	체육/NNG
이끄는	이끌/VV+는/ETM
연구	연구/NNG
△수요자를	△/SW+수요자/NNG+를/JKO
다변화하기	다변/NNG+화/XSN+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
생활체육	생활/NNG+체육/NNG
및	및/MAG
지원	지원/NNG
확대	확대/NNG
△미래	△/SW+미래/NNG
지향적	지향/NNG+적/XSN
체육정책	체육/NNG+정책/NNG
개발	개발/NNG
등을	등/NNB+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.262.5.2
그는 연구원 출신 원장이 임기가 끝나면 연구원을 떠나야 하는 제도도 공단 측과 협의해 바꾸기로 했다.

그는	그/NP+는/JX
연구원	연구원/NNG
출신	출신/NNG
원장이	원장/NNG+이/JKS
임기가	임기/NNG+가/JKS
끝나면	끝나/VV+면/EC
연구원을	연구원/NNG+을/JKO
떠나야	떠나/VV+아야/EC
하는	하/VX+는/ETM
제도도	제도/NNG+도/JX
공단	공단/NNG
측과	측/NNB+과/JKB
협의해	협의/NNG+하/XSV+아/EC
바꾸기로	바꾸/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.262.5.3
다시 연구원으로 계속 일할 수 있는 제도를 도입한다.

다시	다시/MAG
연구원으로	연구원/NNG+으로/JKB
계속	계속/MAG
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제도를	제도/NNG+를/JKO
도입한다.	도입/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.262.6.1
정 원장은 “연구원은 국가 연구기관이면서도 상대적으로 저평가된 측면이 있다.

정	정/NNP
원장은	원장/NNG+은/JX
“연구원은	“/SS+연구원/NNG+은/JX
국가	국가/NNG
연구기관이면서도	연구/NNG+기관/NNG+이/VCP+면서/EC+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
저평가된	저/XPN+평가/NNG+되/XSV+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.262.6.2
연구원들의 자존심을 끌어 올릴 방법을 찾아 연구원들이 행복하게 열심히 일할 수 있는 직장으로 변화시키겠다”고 말했다.

연구원들의	연구원/NNG+들/XSN+의/JKG
자존심을	자존심/NNG+을/JKO
끌어	끌/VV+어/EC
올릴	올리/VV+ㄹ/ETM
방법을	방법/NNG+을/JKO
찾아	찾/VV+아/EC
연구원들이	연구원/NNG+들/XSN+이/JKS
행복하게	행복/NNG+하/XSA+게/EC
열심히	열심히/MAG
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
직장으로	직장/NNG+으로/JKB
변화시키겠다”고	변화/NNG+시키/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


