# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.187
metadata : {}


# id : NWRW1800000041.187.1.1
[휴지통]시속 250km… 사패산터널서 ‘공포의 폭주게임’

[휴지통]시속	[/SS+휴지통/NNG+]/SS+시속/NNG
250km…	250/SN+km/SW+…/SE
사패산터널서	사패산터널/NNP+서/JKB
‘공포의	‘/SS+공포/NNG+의/JKG
폭주게임’	폭주/NNG+게임/NNG+’/SS


# id : NWRW1800000041.187.2.1
외제차 동호회 25명 무더기 입건

외제차	외제/NNG+차/NNG
동호회	동호회/NNG
25명	25/SN+명/NNB
무더기	무더기/NNG
입건	입건/NNG


# id : NWRW1800000041.187.3.1
15일 오후 11시경 경기 의정부의 지하철 7호선 장암역 공영주차장에 람보르기니 페라리 포르셰 등 억대를 호가하는 외제차 30여 대가 모여들었다.

15일	15/SN+일/NNB
오후	오후/NNG
11시경	11/SN+시/NNB+경/XSN
경기	경기/NNP
의정부의	의정부/NNP+의/JKG
지하철	지하철/NNG
7호선	7/SN+호선/NNB
장암역	장암역/NNP
공영주차장에	공영/NNG+주차장/NNG+에/JKB
람보르기니	람보르기니/NNP
페라리	페라리/NNP
포르셰	포르셰/NNP
등	등/NNB
억대를	억/NR+대/XSN+를/JKO
호가하는	호가/NNG+하/XSV+는/ETM
외제차	외제/NNG+차/NNG
30여	30/SN+여/XSN
대가	대/NNB+가/JKS
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.187.3.2
이곳 주차장은 인터넷 외제차 동호회 회원들의 ‘폭주 번개’ 회합 장소였다.

이곳	이곳/NP
주차장은	주차장/NNG+은/JX
인터넷	인터넷/NNG
외제차	외제/NNG+차/NNG
동호회	동호회/NNG
회원들의	회원/NNG+들/XSN+의/JKG
‘폭주	‘/SS+폭주/NNG
번개’	번개/NNG+’/SS
회합	회합/NNG
장소였다.	장소/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.187.3.3
이들은 서울외곽순환도로를 타고 의정부 나들목과 송추 나들목 사이에 있는 사패산터널로 향했다.

이들은	이/NP+들/XSN+은/JX
서울외곽순환도로를	서울외곽순환도로/NNP+를/JKO
타고	타/VV+고/EC
의정부	의정부/NNP
나들목과	나들목/NNG+과/JC
송추	송추/NNP
나들목	나들목/NNG
사이에	사이/NNG+에/JKB
있는	있/VA+는/ETM
사패산터널로	사패산터널/NNP+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.187.4.1
대열을 지어 시속 60km로 서행하던 차들은 편도 4차로 터널로 진입하는 순간 ‘뿌아앙’ 하는 굉음을 내며 시속 250km로 돌진하기 시작했다.

대열을	대열/NNG+을/JKO
지어	짓/VV+어/EC
시속	시속/NNG
60km로	60/SN+km/SW+로/JKB
서행하던	서행/NNG+하/XSV+던/ETM
차들은	차/NNG+들/XSN+은/JX
편도	편도/NNG
4차로	4/SN+차로/NNG
터널로	터널/NNG+로/JKB
진입하는	진입/NNG+하/XSV+는/ETM
순간	순간/NNG
‘뿌아앙’	‘/SS+뿌아앙/NA+’/SS
하는	하/VV+는/ETM
굉음을	굉음/NNG+을/JKO
내며	내/VV+며/EC
250km로	250/SN+km/SW+로/JKB
돌진하기	돌진/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.187.4.2
시속 60km로 평행하게 달리다 정해진 지점에서 속도를 높여 결승 지점까지 먼저 들어가는 차량이 이기는 일명 ‘롤링 60’ 게임을 한 것.

시속	시속/NNG
60km로	60/SN+km/SW+로/JKB
평행하게	평행/NNG+하/XSV+게/EC
달리다	달리/VV+다/EC
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
지점에서	지점/NNG+에서/JKB
속도를	속도/NNG+를/JKO
높여	높이/VV+어/EC
결승	결승/NNG
지점까지	지점/NNG+까지/JX
먼저	먼저/MAG
들어가는	들어가/VV+는/ETM
차량이	차량/NNG+이/JKS
이기는	이기/VV+는/ETM
일명	일명/NNG
‘롤링	‘/SS+롤링/NNG
60’	60/SN+’/SS
게임을	게임/NNG+을/JKO
한	하/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.187.4.3
일부 차량은 폭주에 알맞게 튜닝까지 한 상태였다.

일부	일부/NNG
차량은	차량/NNG+은/JX
폭주에	폭주/NNG+에/JKB
알맞게	알맞/VA+게/EC
튜닝까지	튜닝/NNG+까지/JX
한	하/VV+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.187.4.4
이들은 약 4시간 동안 의정부 나들목∼송추 나들목의 11km 구간을 오가며 터널(4km 구간)을 지날 때마다 폭주 게임을 즐겼다.

이들은	이/NP+들/XSN+은/JX
약	약/MMA
4시간	4/SN+시간/NNB
동안	동안/NNG
의정부	의정부/NNP
나들목∼송추	나들목/NNG+∼/SO+송추/NNP
나들목의	나들목/NNG+의/JKG
11km	11/SN+km/SW
구간을	구간/NNG+을/JKO
오가며	오가/VV+며/EC
터널(4km	터널/NNG+(/SS+4/SN+km/SW
