# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.229
metadata : {}


# id : NWRW1800000028.229.1.1
정지위성 ‘천리안’ /목표궤도 진입성공

정지위성	정지/NNG+위성/NNG
‘천리안’	‘/SS+천리안/NNG+’/SS
/목표궤도	//SP+목표/NNG+궤도/NNG
진입성공	진입/NNG+성공/NNG


# id : NWRW1800000028.229.2.1
교육과학기술부와 한국항공우주연구원(항우연)은 지난달 27일 남미 프랑스령 기아나 쿠루우주센터에서 ‘아리안-5ECA’ 발사체에 실려 발사된 천리안 위성이 목표 정지궤도(동경 128.2도·적도 상공 3만6000㎞) 진입에 성공했다고 6일 밝혔다.

교육과학기술부와	교육/NNG+과학/NNG+기술부/NNG+와/JC
한국항공우주연구원(항우연)은	한국항공우주연구원/NNP+(/SS+항우연/NNP+)/SS+은/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
남미	남미/NNP
프랑스령	프랑스령/NNG
기아나	기아나/NNP
쿠루우주센터에서	쿠루우주센터/NNP+에서/JKB
‘아리안-5ECA’	‘/SS+아리안/NNP+-/SO+5/SN+ECA/SL+’/SS
발사체에	발사체/NNG+에/JKB
실려	실리/VV+어/EC
발사된	발사/NNG+되/XSV+ㄴ/ETM
천리안	천리안/NNG
위성이	위성/NNG+이/JKS
목표	목표/NNG
정지궤도(동경	정지/NNG+궤도/NNG+(/SS+동경/NNG
128.2도·적도	128/SN+./SP+2/SN+도/NNB+·/SP+적도/NNG
상공	상공/NNG
3만6000㎞)	3/SN+만/NR+6000/SN+㎞/SW+)/SS
진입에	진입/NNG+에/JKB
성공했다고	성공/NNG+하/XSV+았/EP+다고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.229.3.1
교과부는 이날 “호주 동가라 지상국을 비롯한 국외 지상국 3곳과의 교신을 통해 확인한 결과, 천리안 위성이 5일 밤 10시10분(한국시각) 정지궤도에 성공적으로 안착했으며, 통신·해양·기상 3개의 탑재체를 포함한 위성의 상태는 모두 양호한 것으로 나타났다”고 밝혔다.

교과부는	교과부/NNG+는/JX
이날	이날/NNG
“호주	“/SS+호주/NNP
동가라	동가라/NNP
지상국을	지상국/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
국외	국외/NNG
지상국	지상국/NNG
3곳과의	3/SN+곳/NNG+과/JKB+의/JKG
교신을	교신/NNG+을/JKO
통해	통하/VV+아/EC
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
천리안	천리안/NNG
위성이	위성/NNG+이/JKS
5일	5/SN+일/NNB
밤	밤/NNG
10시10분(한국시각)	10/SN+시/NNB+10/SN+분/NNB+(/SS+한국/NNP+시각/NNG+)/SS
정지궤도에	정지/NNG+궤도/NNG+에/JKB
성공적으로	성공/NNG+적/XSN+으로/JKB
안착했으며,	안착/NNG+하/XSV+았/EP+으며/EC+,/SP
통신·해양·기상	통신/NNG+·/SP+해양/NNG+·/SP+기상/NNG
3개의	3/SN+개/NNB+의/JKG
탑재체를	탑재체/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
위성의	위성/NNG+의/JKG
상태는	상태/NNG+는/JX
모두	모두/MAG
양호한	양호/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다”고	나타나/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.229.4.1
천리안 위성은 현재 지구 자전주기와 거의 같은 속도로 지구 주위를 돌고 있으며, 통신안테나와 태양전지판을 완전히 펼친 채 지구를 향해 자세를 고정함으로써 정지궤도 운용을 개시할 준비를 갖춘 상태라고 교과부는 설명했다.

천리안	천리안/NNG
위성은	위성/NNG+은/JX
현재	현재/MAG
지구	지구/NNG
자전주기와	자전/NNG+주기/NNG+와/JKB
거의	거의/MAG
같은	같/VA+은/ETM
속도로	속도/NNG+로/JKB
주위를	주위/NNG+를/JKO
돌고	돌/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
통신안테나와	통신/NNG+안테나/NNG+와/JC
태양전지판을	태양/NNG+전지판/NNG+을/JKO
완전히	완전히/MAG
펼친	펼치/VV+ㄴ/ETM
채	채/NNB
지구를	지구/NNG+를/JKO
향해	향하/VV+아/EC
자세를	자세/NNG+를/JKO
고정함으로써	고정/NNG+하/XSV+ㅁ/ETN+으로써/JKB
정지궤도	정지/NNG+궤도/NNG
운용을	운용/NNG+을/JKO
개시할	개시/NNG+하/XSV+ㄹ/ETM
준비를	준비/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
상태라고	상태/NNG+이/VCP+라고/EC
교과부는	교과부/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.229.5.1
천리안 위성은 지금까지 국외 3개 지상국과 교신을 하면서 프랑스 우주항공업체 아스트리움사의 관제를 받고 있는데, 오는 10일께 국내 지상국으로 위성관제권이 넘어올 예정이다.

천리안	천리안/NNG
위성은	위성/NNG+은/JX
지금까지	지금/NNG+까지/JX
국외	국외/NNG
3개	3/SN+개/NNB
지상국과	지상국/NNG+과/JKB
교신을	교신/NNG+을/JKO
하면서	하/VV+면서/EC
프랑스	프랑스/NNP
우주항공업체	우주/NNG+항공업체/NNG
아스트리움사의	아스트리움사/NNP+의/JKG
관제를	관제/NNG+를/JKO
받고	받/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
오는	오/VV+는/ETM
10일께	10/SN+일/NNB+께/XSN
국내	국내/NNG
지상국으로	지상국/NNG+으로/JKB
위성관제권이	위성/NNG+관제/NNG+권/XSN+이/JKS
넘어올	넘어오/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


