# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.78
metadata : {}


# id : NWRW1800000046.78.1.1
"2003년부터 쓴 '일제 강점기'란 용어, 北이 '미제 강점기'랑 짝 이뤄 만든 말"

"2003년부터	"/SS+2003/SN+년/NNB+부터/JX
쓴	쓰/VV+ㄴ/ETM
'일제	'/SS+일제/NNG
강점기'란	강점기/NNG+'/SS+이/VCP+란/ETM
용어,	용어/NNG+,/SP
北이	北/SH+이/JKS
'미제	'/SS+미제/NNG
강점기'랑	강점기/NNG+'/SS+랑/JKB
짝	짝/NNG
이뤄	이루/VV+어/EC
만든	만들/VV+ㄴ/ETM
말"	말/NNG+"/SS


# id : NWRW1800000046.78.2.1
검정교과서 문제점 분석책 두권… 한국사 - 北에 불리한 사실 누락, 역사 - 否定사관, 내용 어지럽혀

검정교과서	검정/NNG+교과서/NNG
문제점	문제점/NNG
분석책	분석/NNG+책/NNG
두권…	두/MMN+권/NNB+…/SE
한국사	한국사/NNG
-	-/SO
北에	北/SH+에/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
사실	사실/NNG
누락,	누락/NNG+,/SP
역사	역사/NNG
否定사관,	否定/SH+사관/NNG+,/SP
내용	내용/NNG
어지럽혀	어지럽히/VV+어/EF


# id : NWRW1800000046.78.3.1
국사 교과서의 국정 전환이 거센 논란을 일으키고 있는 가운데 한국사 검정 교과서들의 문제점을 분석한 두 권의 책이 출간됐다.

국사	국사/NNG
교과서의	교과서/NNG+의/JKG
국정	국정/NNG
전환이	전환/NNG+이/JKS
거센	거세/VA+ㄴ/ETM
논란을	논란/NNG+을/JKO
일으키고	일으키/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
한국사	한국사/NNG
검정	검정/NNG
교과서들의	교과서/NNG+들/XSN+의/JKG
문제점을	문제점/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
두	두/MMN
권의	권/NNB+의/JKG
책이	책/NNG+이/JKS
출간됐다.	출간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.78.4.1
'한국사 교과서 무엇이 문제인가'(비봉출판사)는 검인정 국사 교과서들의 편향성을 파헤쳐온 정경희 영산대 교수(역사학)가 1950년대 이후 사용됐던 국사 교과서들의 한국 근현대사 서술을 정리한 책이다.

'한국사	'/SS+한국사/NNG
교과서	교과서/NNG
무엇이	무엇/NP+이/JKS
문제인가'(비봉출판사)는	문제/NNG+이/VCP+ㄴ가/EF+'/SS+(/SS+비봉출판사/NNP+)/SS+는/JX
검인정	검인정/NNG
국사	국사/NNG
교과서들의	교과서/NNG+들/XSN+의/JKG
편향성을	편향/NNG+성/XSN+을/JKO
파헤쳐온	파헤치/VV+어/EC+오/VX+ㄴ/ETM
정경희	정경희/NNP
영산대	영산대/NNP
교수(역사학)가	교수/NNG+(/SS+역사학/NNG+)/SS+가/JKS
1950년대	1950/SN+년대/NNB
이후	이후/NNG
사용됐던	사용/NNG+되/XSV+었/EP+던/ETM
한국	한국/NNP
근현대사	근현대사/NNG
서술을	서술/NNG+을/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.78.4.2
근대사는 동학농민운동, 일제 침략과 국권 상실, '일제 강점기' 용어, 민족독립운동 등 4개, 현대사는 광복의 배경, 38선 획정과 국토 분단, 미군정, 신탁 통치, 5·10 총선거, 4·3사건, 이승만 정부 평가, 6·25전쟁, 남북한 체제 등 14개의 주제와 관련된 내용을 검토한 후 남북한의 대표적 국사 개설서와 비교했다.

근대사는	근대사/NNG+는/JX
동학농민운동,	동학/NNG+농민/NNG+운동/NNG+,/SP
일제	일제/NNG
침략과	침략/NNG+과/JC
국권	국권/NNG
상실,	상실/NNG+,/SP
'일제	'/SS+일제/NNG
강점기'	강점기/NNG+'/SS
용어,	용어/NNG+,/SP
민족독립운동	민족/NNG+독립운동/NNG
등	등/NNB
4개,	4/SN+개/NNB+,/SP
현대사는	현대사/NNG+는/JX
광복의	광복/NNG+의/JKG
배경,	배경/NNG+,/SP
38선	38/SN+선/NNG
획정과	획정/NNG+과/JC
국토	국토/NNG
분단,	분단/NNG+,/SP
미군정,	미군정/NNG+,/SP
신탁	신탁/NNG
통치,	통치/NNG+,/SP
5·10	5/SN+·/SP+10/SN
총선거,	총선거/NNG+,/SP
4·3사건,	4/SN+·/SP+3/SN+사건/NNG+,/SP
이승만	이승만/NNP
정부	정부/NNG
평가,	평가/NNG+,/SP
6·25전쟁,	6/SN+·/SP+25/SN+전쟁/NNG+,/SP
남북한	남북한/NNP
체제	체제/NNG
14개의	14/SN+개/NNB+의/JKG
주제와	주제/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
후	후/NNG
남북한의	남북한/NNP+의/JKG
대표적	대표/NNG+적/XSN
국사	국사/NNG
개설서와	개설서/NNG+와/JKB
비교했다.	비교/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.78.4.3
저자는 "최근 국사 교과서로 올수록 역사 용어, 역사 해석 및 기술 방식에 있어 우리 개설서와는 멀어지고 북한 역사서와 비슷해지고 있다"고 주장했다.

저자는	저자/NNG+는/JX
"최근	"/SS+최근/NNG
국사	국사/NNG
교과서로	교과서/NNG+로/JKB
올수록	오/VV+ㄹ수록/EC
역사	역사/NNG
용어,	용어/NNG+,/SP
해석	해석/NNG
및	및/MAG
기술	기술/NNG
방식에	방식/NNG+에/JKB
있어	있/VA+어/EC
우리	우리/NP
개설서와는	개설서/NNG+와/JKB+는/JX
멀어지고	멀어지/VV+고/EC
북한	북한/NNP
