# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.375
metadata : {}


# id : NWRW1800000037.375.1.1
[8·28 전월세 대책]6억 아파트 취득세 1200만원→600만원

[8·28	[/SS+8/SN+·/SP+28/SN
전월세	전월세/NNG
대책]6억	대책/NNG+]/SS+6/SN+억/NR
아파트	아파트/NNG
취득세	취득세/NNG
1200만원→600만원	1200/SN+만/NR+원/NNB+→/SW+600/SN+만/NR+원/NNB


# id : NWRW1800000037.375.2.1
월세 60만원 세입자 432만원 소득공제 전체주택 94% ‘취득세 1%’ 혜택 받아 수도권 집중 6억~9억 구간은 2% 그대로

월세	월세/NNG
60만원	60/SN+만/NR+원/NNB
세입자	세입자/NNG
432만원	432/SN+만/NR+원/NNB
소득공제	소득/NNG+공제/NNG
전체주택	전체/NNG+주택/NNG
94%	94/SN+%/SW
‘취득세	‘/SS+취득세/NNG
1%’	1/SN+%/SW+’/SS
혜택	혜택/NNG
받아	받/VV+아/EC
수도권	수도/NNG+권/XSN
집중	집중/NNG
6억~9억	6/SN+억/NR+~/SO+9/SN+억/NR
구간은	구간/NNG+은/JX
2%	2/SN+%/SW
그대로	그대로/MAG


# id : NWRW1800000037.375.3.1
이번 ‘8·28 전월세 대책’에 포함된 세제(稅制) 대책은 주택거래 활성화 유도에 방점이 찍혔다.

이번	이번/NNG
‘8·28	‘/SS+8/SN+·/SP+28/SN
전월세	전월세/NNG
대책’에	대책/NNG+’/SS+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
세제(稅制)	세제/NNG+(/SS+稅制/SH+)/SS
대책은	대책/NNG+은/JX
주택거래	주택/NNG+거래/NNG
활성화	활성/NNG+화/XSN
유도에	유도/NNG+에/JKB
방점이	방점/NNG+이/JKS
찍혔다.	찍히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.375.3.2
현재 국내 전월세 시장의 가장 큰 문제가 집을 살 수 있는 사람까지 전월세로 쏠리는 데서 비롯된 만큼 주택 구입자에게 세제 혜택을 줘 구매 수요를 늘리겠다는 의도로 풀이된다.

현재	현재/MAG
국내	국내/NNG
전월세	전월세/NNG
시장의	시장/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
집을	집/NNG+을/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람까지	사람/NNG+까지/JX
전월세로	전월세/NNG+로/JKB
쏠리는	쏠리/VV+는/ETM
데서	데/NNB+서/JKB
비롯된	비롯되/VV+ㄴ/ETM
만큼	만큼/NNB
주택	주택/NNG
구입자에게	구입자/NNG+에게/JKB
세제	세제/NNG
혜택을	혜택/NNG+을/JKO
줘	주/VV+어/EC
구매	구매/NNG
수요를	수요/NNG+를/JKO
늘리겠다는	늘리/VV+겠/EP+다는/ETM
의도로	의도/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.375.4.1
그동안 정치권과 정부가 줄다리기를 했던 취득세 인하 기준은 6억 원으로 결정됐다.

그동안	그동안/NNG
정치권과	정치/NNG+권/XSN+과/JC
정부가	정부/NNG+가/JKS
줄다리기를	줄다리기/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
취득세	취득세/NNG
인하	인하/NNG
기준은	기준/NNG+은/JX
6억	6/SN+억/NR
원으로	원/NNB+으로/JKB
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.375.4.2
기존 △9억 원 이하 주택 2% △9억 원 초과 및 다주택자 주택 4%의 취득세율은 △6억 원 이하 주택 1% △6억 원 초과 9억 원 이하 주택 2% △9억 원 초과 주택 3%로 조정했다.

기존	기존/NNG
△9억	△/SW+9/SN+억/NR
원	원/NNB
이하	이하/NNG
주택	주택/NNG
2%	2/SN+%/SW
초과	초과/NNG
및	및/MAG
다주택자	다주택자/NNG
4%의	4/SN+%/SW+의/JKG
취득세율은	취득세/NNG+율/XSN+은/JX
△6억	△/SW+6/SN+억/NR
1%	1/SN+%/SW
9억	9/SN+억/NR
3%로	3/SN+%/SW+로/JKB
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.375.4.3
예를 들어 매매가 6억 원인 아파트를 새로 구입할 경우 취득세 부담이 현재 1200만 원에서 600만 원으로 줄어든다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
매매가	매매/NNG+가/XSN
6억	6/SN+억/NR
원인	원/NNB+이/VCP+ㄴ/ETM
아파트를	아파트/NNG+를/JKO
새로	새로/MAG
구입할	구입/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
취득세	취득세/NNG
부담이	부담/NNG+이/JKS
현재	현재/MAG
1200만	1200/SN+만/NR
원에서	원/NNB+에서/JKB
600만	600/SN+만/NR
원으로	원/NNB+으로/JKB
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.375.4.4
국토교통부는 “1% 취득세율이 적용되는 6억 원 이하 주택이 전체 주택의 94.3%에 달하는 만큼 대부분의 주택 거래가 취득세율 인하 효과를 볼 수 있다”고 설명했다.

국토교통부는	국토/NNG+교통부/NNG+는/JX
“1%	“/SS+1/SN+%/SW
취득세율이	취득세/NNG+율/XSN+이/JKS
적용되는	적용/NNG+되/XSV+는/ETM
6억	6/SN+억/NR
원	원/NNB
이하	이하/NNG
주택이	주택/NNG+이/JKS
전체	전체/NNG
주택의	주택/NNG+의/JKG
94.3%에	94/SN+./SP+3/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
만큼	만큼/NNB
대부분의	대/XPN+부분/NNG+의/JKG
주택	주택/NNG
거래가	거래/NNG+가/JKS
취득세율	취득세/NNG+율/XSN
인하	인하/NNG
효과를	효과/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.375.4.5
취득세 인하는 관련 법안이 국회에서 통과되는 대로 9월 중 시행될 것으로 전망된다.

취득세	취득세/NNG
인하는	인하/NNG+는/JX
관련	관련/NNG
법안이	법안/NNG+이/JKS
국회에서	국회/NNG+에서/JKB
통과되는	통과/NNG+되/XSV+는/ETM
대로	대로/NNB
9월	9/SN+월/NNB
중	중/NNB
시행될	시행/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.375.5.1
하지만 수도권에 많이 몰려 있는 가격대 6억∼9억 원인 주택은 취득세 인하 혜택을 받지 못하게 돼 수도권 주택거래에 미치는 영향을 제한적일 것이라는 분석이 많다.

하지만	하지만/MAJ
수도권에	수도/NNG+권/XSN+에/JKB
많이	많이/MAG
몰려	몰리/VV+어/EC
있는	있/VX+는/ETM
가격대	가격대/NNG
6억∼9억	6/SN+억/NR+∼/SO+9/SN+억/NR
원인	원/NNB+이/VCP+ㄴ/ETM
주택은	주택/NNG+은/JX
취득세	취득세/NNG
인하	인하/NNG
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못하게	못하/VX+게/EC
돼	되/VV+어/EC
수도권	수도/NNG+권/XSN
주택거래에	주택/NNG+거래/NNG+에/JKB
미치는	미치/VV+는/ETM
영향을	영향/NNG+을/JKO
제한적일	제한/NNG+적/XSN+이/VCP+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.375.5.2
특히 이 가격대의 주택은 올 상반기(1∼6월)까지 취득세 감면 혜택을 받아 1%의 취득세를 낸 만큼 시장에서는 오히려 취득세 인상으로 반응할 소지도 배제할 수 없다.

특히	특히/MAG
이	이/MMD
가격대의	가격대/NNG+의/JKG
주택은	주택/NNG+은/JX
올	올/NNG
상반기(1∼6월)까지	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+까지/JX
취득세	취득세/NNG
감면	감면/NNG
혜택을	혜택/NNG+을/JKO
받아	받/VV+아/EC
1%의	1/SN+%/SW+의/JKG
취득세를	취득세/NNG+를/JKO
낸	내/VV+ㄴ/ETM
만큼	만큼/NNB
시장에서는	시장/NNG+에서/JKB+는/JX
오히려	오히려/MAG
인상으로	인상/NNG+으로/JKB
반응할	반응/NNG+하/XSV+ㄹ/ETM
소지도	소지/NNG+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.375.5.3
부동산114에 따르면 6억∼9억 원 주택은 서울 20만9430채를 비롯해 전국적으로 30만4882채가 있다.

부동산114에	부동산114/NNP+에/JKB
따르면	따르/VV+면/EC
6억∼9억	6/SN+억/NR+∼/SO+9/SN+억/NR
원	원/NNB
