# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.268
metadata : {}


# id : NWRW1800000056.268.1.1
“주거 안정되니 출산율 높아졌다네요”

“주거	“/SS+주거/NNG
안정되니	안정/NNG+되/XSV+니/EC
출산율	출산/NNG+율/XSN
높아졌다네요”	높아지/VV+었/EP+다네/EF+요/JX+”/SS


# id : NWRW1800000056.268.2.1
배문호 LH 강서권주거복지센터장

배문호	배문호/NNP
LH	LH/SL
강서권주거복지센터장	강서/NNP+권/XSN+주거/NNG+복지/NNG+센터장/NNG


# id : NWRW1800000056.268.3.1
“주거문제는 그동안 경제정책의 일환으로 보아왔지만, 이제는 사회정책으로 봐야 합니다.”

“주거문제는	“/SS+주거/NNG+문제/NNG+는/JX
그동안	그동안/NNG
경제정책의	경제/NNG+정책/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
보아왔지만,	보/VV+아/EC+오/VX+았/EP+지만/EC+,/SP
이제는	이제/NNG+는/JX
사회정책으로	사회/NNG+정책/NNG+으로/JKB
봐야	보/VV+아야/EC
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000056.268.4.1
구로구 개봉동 매입임대주택 1동 전체를 통 크게 영등포 쪽방상담소에 맡긴 배문호 한국토지주택공사(LH) 강서권주거복지센터장은 앞으로 주거문제는 더욱더 도시 저소득층에 관심을 높이는 방향으로 나가야 한다고 강조한다.

구로구	구로구/NNP
개봉동	개봉동/NNP
매입임대주택	매입/NNG+임대/NNG+주택/NNG
1동	1/SN+동/NNB
전체를	전체/NNG+를/JKO
통	통/MAG
크게	크/VA+게/EC
영등포	영등포/NNP
쪽방상담소에	쪽방/NNG+상담소/NNG+에/JKB
맡긴	맡기/VV+ㄴ/ETM
배문호	배문호/NNP
한국토지주택공사(LH)	한국토지주택공사/NNP+(/SS+LH/SL+)/SS
강서권주거복지센터장은	강서/NNP+권/XSN+주거/NNG+복지/NNG+센터장/NNG+은/JX
앞으로	앞/NNG+으로/JKB
주거문제는	주거/NNG+문제/NNG+는/JX
더욱더	더욱더/MAG
도시	도시/NNG
저소득층에	저/XPN+소득/NNG+층/XSN+에/JKB
관심을	관심/NNG+을/JKO
높이는	높이/VV+는/ETM
방향으로	방향/NNG+으로/JKB
나가야	나가/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.268.5.1
배 센터장은 1988년 엘에이치(옛 주공)에 입사한 뒤 주요 국책사업을 진행했다.

배	배/NNP
센터장은	센터장/NNG+은/JX
1988년	1988/SN+년/NNB
엘에이치(옛	엘에이치/NNP+(/SS+옛/MMA
주공)에	주공/NNP+)/SS+에/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
주요	주요/NNG
국책사업을	국책/NNG+사업/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.268.5.2
그는 500만평에 이르는 파주 운정신도시의 프로젝트 매니저로 일했고, 용산 미군기지 이전 사업기획부장으로 평택 미군기지 종합계획(마스터플랜)을 짜는 데도 참여했다.

그는	그/NP+는/JX
500만평에	500/SN+만/NR+평/NNB+에/JKB
이르는	이르/VV+는/ETM
파주	파주/NNP
운정신도시의	운정신도시/NNP+의/JKG
프로젝트	프로젝트/NNG
매니저로	매니저/NNG+로/JKB
일했고,	일/NNG+하/XSV+았/EP+고/EC+,/SP
용산	용산/NNP
미군기지	미군/NNG+기지/NNG
이전	이전/NNG
사업기획부장으로	사업/NNG+기획부장/NNG+으로/JKB
평택	평택/NNP
종합계획(마스터플랜)을	종합/NNG+계획/NNG+(/SS+마스터플랜/NNG+)/SS+을/JKO
짜는	짜/VV+는/ETM
데도	데/NNB+도/JX
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.268.5.3
또 2009년 여수엑스포 사업단장을 맡아 방대한 전시장을 만드는 일을 진행하기도 했다.

또	또/MAG
2009년	2009/SN+년/NNB
여수엑스포	여수/NNP+엑스포/NNG
사업단장을	사업단장/NNG+을/JKO
맡아	맡/VV+아/EC
방대한	방대하/VA+ㄴ/ETM
전시장을	전시장/NNG+을/JKO
만드는	만들/VV+는/ETM
일을	일/NNG+을/JKO
진행하기도	진행/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.268.6.1
그는 또 주거복지 실현을 위한 엔지오인 주거복지연대에서 전문위원과 이사 등으로 10년 동안 꾸준히 활동하기도 했다.

그는	그/NP+는/JX
또	또/MAG
주거복지	주거/NNG+복지/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
엔지오인	엔지오/NNG+이/VCP+ㄴ/ETM
주거복지연대에서	주거/NNG+복지/NNG+연대/NNG+에서/JKB
전문위원과	전문/NNG+위원/NNG+과/JC
이사	이사/NNG
등으로	등/NNB+으로/JKB
10년	10/SN+년/NNB
동안	동안/NNG
꾸준히	꾸준히/MAG
활동하기도	활동/NNG+하/XSV+기/ETN+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.268.6.2
최근에는 주거복지재단 운영위원과 장애인복지관 운영위원장 등 사회 소외계층을 위한 일도 하고 있다.

최근에는	최근/NNG+에/JKB+는/JX
주거복지재단	주거/NNG+복지/NNG+재단/NNG
운영위원과	운영/NNG+위원/NNG+과/JC
장애인복지관	장애인/NNG+복지관/NNG
운영위원장	운영/NNG+위원장/NNG
등	등/NNB
사회	사회/NNG
소외계층을	소외/NNG+계층/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
일도	일/NNG+도/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.268.7.1
직장에서 하는 앞부분의 일이 주로 토지·주택의 ‘경제적 측면’과 관련된 사업이라면, 개인적으로 활동해온 뒷부분은 ‘사회적 측면’에 가까운 일들이다.

직장에서	직장/NNG+에서/JKB
하는	하/VV+는/ETM
앞부분의	앞부분/NNG+의/JKG
일이	일/NNG+이/JKS
주로	주로/MAG
토지·주택의	토지/NNG+·/SP+주택/NNG+의/JKG
‘경제적	‘/SS+경제/NNG+적/XSN
측면’과	측면/NNG+’/SS+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
사업이라면,	사업/NNG+이/VCP+라면/EC+,/SP
개인적으로	개인/NNG+적/XSN+으로/JKB
활동해온	활동/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
뒷부분은	뒷부분/NNG+은/JX
‘사회적	‘/SS+사회/NNG+적/XSN
측면’에	측면/NNG+’/SS+에/JKB
가까운	가깝/VA+ㄴ/ETM
일들이다.	일/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000056.268.7.2
그런 그가 지난해 경남 양산권 주거복지센터장에 이어 올해 초 강서권주거복지센터장에 부임하면서 직장에서도 ‘사회정책’ 쪽에 관계되는 일을 맡게 된 것이다.

그런	그런/MMD
그가	그/NP+가/JKS
지난해	지난해/NNG
경남	경남/NNP
양산권	양산/NNP+권/XSN
주거복지센터장에	주거/NNG+복지/NNG+센터장/NNG+에/JKB
이어	잇/VV+어/EC
올해	올해/NNG
초	초/NNB
강서권주거복지센터장에	강서/NNP+권/XSN+주거/NNG+복지/NNG+센터장/NNG+에/JKB
부임하면서	부임/NNG+하/XSV+면서/EC
직장에서도	직장/NNG+에서/JKB+도/JX
‘사회정책’	‘/SS+사회/NNG+정책/NNG+’/SS
쪽에	쪽/NNB+에/JKB
관계되는	관계/NNG+되/XSV+는/ETM
일을	일/NNG+을/JKO
맡게	맡/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.268.8.1
