# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.174
metadata : {}


# id : NWRW1800000025.174.1.1
CIA, 6·25때 유엔군 북진 반대했다

CIA,	CIA/SL+,/SP
6·25때	6/SN+·/SP+25/SN+때/NNG
유엔군	유엔군/NNG
북진	북진/NNG
반대했다	반대/NNG+하/XSV+았/EP+다/EF


# id : NWRW1800000025.174.2.1
6·25전쟁 이후 파죽지세로 남진하는 북한군 기세에 밀려 유엔군과 한국군은 부산 방어선을 최후의 보루로 삼고 항전을 거듭하고 있었다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
이후	이후/NNG
파죽지세로	파죽지세/NNG+로/JKB
남진하는	남진/NNG+하/XSV+는/ETM
북한군	북한군/NNG
기세에	기세/NNG+에/JKB
밀려	밀리/VV+어/EC
유엔군과	유엔군/NNG+과/JC
한국군은	한국군/NNG+은/JX
부산	부산/NNP
방어선을	방어선/NNG+을/JKO
최후의	최후/NNG+의/JKG
보루로	보루/NNG+로/JKB
삼고	삼/VV+고/EC
항전을	항전/NNG+을/JKO
거듭하고	거듭/MAG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.174.3.1
1950년 8월 미국 중앙정보국(CIA)은 유엔군의 38선 이북 진격 시나리오에 대한 검토 보고서를 내놓는다.

1950년	1950/SN+년/NNB
8월	8/SN+월/NNB
미국	미국/NNP
중앙정보국(CIA)은	중앙정보국/NNP+(/SS+CIA/SL+)/SS+은/JX
유엔군의	유엔군/NNG+의/JKG
38선	38/SN+선/NNG
이북	이북/NNG
진격	진격/NNG
시나리오에	시나리오/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검토	검토/NNG
보고서를	보고서/NNG+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000025.174.3.2
9월 15일 인천상륙작전으로 결정적 승기를 잡기 전이었지만 CIA는 한국군과 유엔군의 대공세를 예상이나 한 듯 북한 지역의 점령작전에 나설 경우의 득실을 면밀하게 비교한 것.

9월	9/SN+월/NNB
15일	15/SN+일/NNB
인천상륙작전으로	인천/NNP+상륙/NNG+작전/NNG+으로/JKB
결정적	결정/NNG+적/XSN
승기를	승기/NNG+를/JKO
잡기	잡/VV+기/ETN
전이었지만	전/NNG+이/VCP+었/EP+지만/EC
CIA는	CIA/SL+는/JX
한국군과	한국군/NNG+과/JC
유엔군의	유엔군/NNG+의/JKG
대공세를	대/XPN+공세/NNG+를/JKO
예상이나	예상/NNG+이나/JX
한	하/VV+ㄴ/ETM
듯	듯/NNB
북한	북한/NNP
지역의	지역/NNG+의/JKG
점령작전에	점령/NNG+작전/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
경우의	경우/NNG+의/JKG
득실을	득실/NNG+을/JKO
면밀하게	면밀하/VA+게/EC
비교한	비교/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.174.3.3
CIA는 16일 미주리 주 인디펜던스 트루먼 도서관에서 열린 6·25전쟁 60주년 기념 세미나에서 개전 이후 CIA가 전황에 대한 분석과 향후 전망을 담은 정보 메모 형식의 비밀문서 등 1300여 점의 문서를 공개했다.

CIA는	CIA/SL+는/JX
16일	16/SN+일/NNB
미주리	미주리/NNP
주	주/NNG
인디펜던스	인디펜던스/NNP
트루먼	트루먼/NNP
도서관에서	도서관/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
60주년	60/SN+주년/NNB
기념	기념/NNG
세미나에서	세미나/NNG+에서/JKB
개전	개전/NNG
이후	이후/NNG
CIA가	CIA/SL+가/JKS
전황에	전황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분석과	분석/NNG+과/JC
향후	향후/NNG
전망을	전망/NNG+을/JKO
담은	담/VV+은/ETM
정보	정보/NNG
메모	메모/NNG
형식의	형식/NNG+의/JKG
비밀문서	비밀문서/NNG
등	등/NNB
1300여	1300/SN+여/XSN
점의	점/NNB+의/JKG
문서를	문서/NNG+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.174.4.1
‘유엔군의 한반도 전역에 대한 군사 점령에 영향을 미치는 요소’라는 제목으로 8월 22일 작성된 석 장짜리 비밀문서는 유엔군이 전세를 역전시켜 38선 이북으로 진격할 경우 소련에 결정적인 외교적 패배를 안겨줄 것이며 유엔과 미국의 국위를 현격하게 높여줄 승리라는 점에서 고려해 볼 만하다고 평가했다.

‘유엔군의	‘/SS+유엔군/NNG+의/JKG
한반도	한반도/NNP
전역에	전역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
군사	군사/NNG
점령에	점령/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
요소’라는	요소/NNG+’/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
8월	8/SN+월/NNB
22일	22/SN+일/NNB
작성된	작성/NNG+되/XSV+ㄴ/ETM
석	석/MMN
장짜리	장/NNB+짜리/XSN
비밀문서는	비밀문서/NNG+는/JX
유엔군이	유엔군/NNG+이/JKS
전세를	전세/NNG+를/JKO
역전시켜	역전/NNG+시키/XSV+어/EC
38선	38/SN+선/NNG
이북으로	이북/NNG+으로/JKB
진격할	진격/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
소련에	소련/NNP+에/JKB
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
외교적	외교/NNG+적/XSN
패배를	패배/NNG+를/JKO
안겨줄	안기/VV+어/EC+주/VX+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
유엔과	유엔/NNP+과/JC
미국의	미국/NNP+의/JKG
국위를	국위/NNG+를/JKO
현격하게	현격/NNG+하/XSA+게/EC
높여줄	높이/VV+어/EC+주/VX+ㄹ/ETM
승리라는	승리/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
고려해	고려/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
만하다고	만/NNB+하/XSA+다고/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.174.5.1
하지만 결론적으로 CIA는 유엔군의 북진에 대해 불가 결론을 내린다.

하지만	하지만/MAJ
결론적으로	결론/NNG+적/XSN+으로/JKB
CIA는	CIA/SL+는/JX
유엔군의	유엔군/NNG+의/JKG
북진에	북진/NNG+에/JKB
