# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.244
metadata : {}


# id : NWRW1800000026.244.1.1
말하면 검색 결과 좌르르, 몇초 전 트위터 글까지 실시간으로 찾아…;인터넷 검색서비스 놀라운 진화

말하면	말/NNG+하/XSV+면/EC
검색	검색/NNG
결과	결과/NNG
좌르르,	좌르르/MAG+,/SP
몇초	몇/NR+초/NNB
전	전/NNG
트위터	트위터/NNP
글까지	글/NNG+까지/JX
실시간으로	실시간/NNG+으로/JKB
찾아…;인터넷	찾/VV+아/EC+…/SE+;/SP+인터넷/NNG
검색서비스	검색/NNG+서비스/NNG
놀라운	놀랍/VA+ㄴ/ETM
진화	진화/NNG


# id : NWRW1800000026.244.2.1
김모씨가 인터넷을 켜고 검색 사이트에 로그인하자 화면 가득하게 그날의 검색 결과가 펼쳐진다.

김모씨가	김/NNP+모/NP+씨/NNB+가/JKS
인터넷을	인터넷/NNG+을/JKO
켜고	켜/VV+고/EC
검색	검색/NNG
사이트에	사이트/NNG+에/JKB
로그인하자	로그인/NNG+하/XSV+자/EC
화면	화면/NNG
가득하게	가득/MAG+하/XSA+게/EC
그날의	그날/NNG+의/JKG
결과가	결과/NNG+가/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.244.2.2
먼저 며칠 앞으로 다가온 아내의 생일이 화면 맨 위에 떠 있다.

먼저	먼저/MAG
며칠	며칠/NNG
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
아내의	아내/NNG+의/JKG
생일이	생일/NNG+이/JKS
화면	화면/NNG
맨	맨/MMA
위에	위/NNG+에/JKB
떠	뜨/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.244.2.3
컴퓨터 앞 마이크에 대고 "생일 선물"이라고 말하자 적당한 선물 목록이 펼쳐진다.

컴퓨터	컴퓨터/NNG
앞	앞/NNG
마이크에	마이크/NNG+에/JKB
대고	대/VV+고/EC
"생일	"/SS+생일/NNG
선물"이라고	선물/NNG+"/SS+이라고/JKQ
말하자	말/NNG+하/XSV+자/EC
적당한	적당하/VA+ㄴ/ETM
선물	선물/NNG
목록이	목록/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.244.2.4
가장 싼 가격으로 제품을 살 만한 인터넷 쇼핑몰은 물론 가장 가까운 제품 매장도 나온다.

가장	가장/MAG
싼	싸/VA+ㄴ/ETM
가격으로	가격/NNG+으로/JKB
제품을	제품/NNG+을/JKO
살	사/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
인터넷	인터넷/NNG
쇼핑몰은	쇼핑몰/NNG+은/JX
물론	물론/MAG
가까운	가깝/VA+ㄴ/ETM
제품	제품/NNG
매장도	매장/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.244.2.5
심지어 몇 초 전 아내가 올린 트위터 메시지까지 검색해 아내의 취향을 보여주기도 한다.

심지어	심지어/MAG
몇	몇/NR
초	초/NNB
전	전/NNG
아내가	아내/NNG+가/JKS
올린	올리/VV+ㄴ/ETM
트위터	트위터/NNP
메시지까지	메시지/NNG+까지/JX
검색해	검색/NNG+하/XSV+아/EC
아내의	아내/NNG+의/JKG
취향을	취향/NNG+을/JKO
보여주기도	보이/VV+어/EC+주/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.244.3.1
먼 미래의 이야기가 아니다.

먼	멀/VA+ㄴ/ETM
미래의	미래/NNG+의/JKG
이야기가	이야기/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000026.244.3.2
최근 인터넷 검색 서비스의 눈부신 진화는 이런 풍경을 곧 실현할 추세다.

최근	최근/NNG
인터넷	인터넷/NNG
검색	검색/NNG
서비스의	서비스/NNG+의/JKG
눈부신	눈부시/VA+ㄴ/ETM
진화는	진화/NNG+는/JX
이런	이런/MMD
풍경을	풍경/NNG+을/JKO
곧	곧/MAG
실현할	실현/NNG+하/XSV+ㄹ/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.244.3.3
과학뿐 아니라 언어학 등 인문학적 지식을 융합해 검색 서비스를 뒷받침하는 새로운 검색 시스템(검색 엔진)이 잇달아 개발되고 있기 때문이다.

과학뿐	과학/NNG+뿐/JX
아니라	아니/VCN+라/EC
언어학	언어학/NNG
등	등/NNB
인문학적	인문학/NNG+적/XSN
지식을	지식/NNG+을/JKO
융합해	융합/NNG+하/XSV+아/EC
검색	검색/NNG
서비스를	서비스/NNG+를/JKO
뒷받침하는	뒷받침/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
시스템(검색	시스템/NNG+(/SS+검색/NNG
엔진)이	엔진/NNG+)/SS+이/JKS
잇달아	잇달/VV+아/EC
개발되고	개발/NNG+되/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.244.4.1
◆내게 꼭 맞는 검색, 어떻게 찾나

◆내게	◆/SW+나/NP+에게/JKB
꼭	꼭/MAG
맞는	맞/VV+는/ETM
검색,	검색/NNG+,/SP
어떻게	어떻/VA+게/EC
찾나	찾/VV+나/EF


# id : NWRW1800000026.244.5.1
최근 검색업계의 흐름은 사용자의 '의도'를 파악하는 것이다.

최근	최근/NNG
검색업계의	검색/NNG+업계/NNG+의/JKG
흐름은	흐름/NNG+은/JX
사용자의	사용자/NNG+의/JKG
'의도'를	'/SS+의도/NNG+'/SS+를/JKO
파악하는	파악/NNG+하/XSV+는/ETM
