# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.270
metadata : {}


# id : NWRW1800000021.270.1.1
[횡설수설/홍권희]인터넷 뉴스 有料化

[횡설수설/홍권희]인터넷	[/SS+횡설수설/NNG+//SP+홍권희/NNP+]/SS+인터넷/NNG
뉴스	뉴스/NNG
有料化	有料化/SH


# id : NWRW1800000021.270.2.1
언론사들이 운영하는 무료 뉴스 사이트의 경영이 점점 어려워지면서 유료화 바람이 불고 있다.

언론사들이	언론사/NNG+들/XSN+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
무료	무료/NNG
뉴스	뉴스/NNG
사이트의	사이트/NNG+의/JKG
경영이	경영/NNG+이/JKS
점점	점점/MAG
어려워지면서	어렵/VA+어/EC+지/VX+면서/EC
유료화	유료/NNG+화/XSN
바람이	바람/NNG+이/JKS
불고	불/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.270.2.2
무료 뉴스 사이트들이 광고 수입만으론 적자를 면치 못하기 때문이다.

무료	무료/NNG
뉴스	뉴스/NNG
사이트들이	사이트/NNG+들/XSN+이/JKS
광고	광고/NNG
수입만으론	수입/NNG+만/JX+으로/JKB+ㄴ/JX
적자를	적자/NNG+를/JKO
면치	면하/VV+지/EC
못하기	못하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.270.2.3
스티븐 브릴 등 미국의 전직 언론인 3명은 올해 4월 언론사와 유료 독자를 이어주는 ‘저널리즘 온라인’이라는 회사를 세웠다.

스티븐	스티븐/NNP
브릴	브릴/NNP
등	등/NNB
미국의	미국/NNP+의/JKG
전직	전직/NNG
언론인	언론인/NNG
3명은	3/SN+명/NNB+은/JX
올해	올해/NNG
4월	4/SN+월/NNB
언론사와	언론사/NNG+와/JC
유료	유료/NNG
독자를	독자/NNG+를/JKO
이어주는	잇/VV+어/EC+주/VX+는/ETM
‘저널리즘	‘/SS+저널리즘/NNP
온라인’이라는	온라인/NNP+’/SS+이/VCP+라는/ETM
회사를	회사/NNG+를/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.270.2.4
이달 중순까지 신문, 잡지, 뉴스 웹사이트 등 모두 500개가 넘는 회사가 뉴스 공급회원으로 가입하겠다는 의사를 밝혔다.

이달	이달/NNG
중순까지	중순/NNG+까지/JX
신문,	신문/NNG+,/SP
잡지,	잡지/NNG+,/SP
뉴스	뉴스/NNG
웹사이트	웹/NNG+사이트/NNG
등	등/NNB
모두	모두/MAG
500개가	500/SN+개/NNB+가/JKS
넘는	넘/VV+는/ETM
회사가	회사/NNG+가/JKS
공급회원으로	공급/NNG+회원/NNG+으로/JKB
가입하겠다는	가입/NNG+하/XSV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.270.2.5
올가을 서비스를 시작할 이 회사는 열성 독자에게 연간 50∼100달러(약 6만∼12만 원)를 받을 계획이다.

올가을	올가을/NNG
서비스를	서비스/NNG+를/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
이	이/MMD
회사는	회사/NNG+는/JX
열성	열성/NNG
독자에게	독자/NNG+에게/JKB
연간	연간/NNG
50∼100달러(약	50/SN+∼/SO+100/SN+달러/NNB+(/SS+약/MMA
6만∼12만	6/SN+만/NR+∼/SO+12/SN+만/NR
원)를	원/NNB+)/SS+를/JKO
받을	받/VV+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.270.2.6
일부 언론사만 유료화할 경우의 독자 감소 부담을 이 회사가 덜어준다.

일부	일부/NNG
언론사만	언론사/NNG+만/JX
유료화할	유료/NNG+화/XSN+하/XSV+ㄹ/ETM
경우의	경우/NNG+의/JKG
독자	독자/NNG
감소	감소/NNG
부담을	부담/NNG+을/JKO
이	이/MMD
회사가	회사/NNG+가/JKS
덜어준다.	덜/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.270.3.1
▷세계 경기침체도 유료화 전환을 부채질한다.

▷세계	▷/SW+세계/NNG
경기침체도	경기/NNG+침체/NNG+도/JX
유료화	유료/NNG+화/XSN
전환을	전환/NNG+을/JKO
부채질한다.	부채/NNG+질/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.270.3.2
미디어 황제 루퍼트 머독 뉴스코퍼레이션 회장은 내년 6월까지 영국의 더 타임스 등 자신이 소유한 언론사들의 인터넷 뉴스를 전면 유료화하겠다고 이달 5일 선언했다.

미디어	미디어/NNG
황제	황제/NNG
루퍼트	루퍼트/NNP
머독	머독/NNP
뉴스코퍼레이션	뉴스코퍼레이션/NNP
회장은	회장/NNG+은/JX
내년	내년/NNG
6월까지	6/SN+월/NNB+까지/JX
영국의	영국/NNP+의/JKG
더	더/NNP
타임스	타임스/NNP
등	등/NNB
자신이	자신/NNG+이/JKS
소유한	소유/NNG+하/XSV+ㄴ/ETM
언론사들의	언론사/NNG+들/XSN+의/JKG
인터넷	인터넷/NNG
뉴스를	뉴스/NNG+를/JKO
전면	전면/NNG
유료화하겠다고	유료/NNG+화/XSN+하/XSV+겠/EP+다고/EC
이달	이달/NNG
5일	5/SN+일/NNB
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.270.3.3
뉴스코퍼레이션은 경기 침체에 따른 광고 감소 탓에 6월로 끝난 2008 회계연도에 34억 달러(약 4조2100억 원)의 손실을 봤다.

뉴스코퍼레이션은	뉴스코퍼레이션/NNP+은/JX
경기	경기/NNG
침체에	침체/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
광고	광고/NNG
감소	감소/NNG
탓에	탓/NNG+에/JKB
6월로	6/SN+월/NNB+로/JKB
끝난	끝나/VV+ㄴ/ETM
2008	2008/SN
회계연도에	회계/NNG+연도/NNG+에/JKB
34억	34/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
4조2100억	4/SN+조/NR+2100/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
손실을	손실/NNG+을/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.270.3.4
머독은 비용을 들여 만든 뉴스 콘텐츠를 적자를 내면서 공짜로 서비스할 수 없다는 판단이다.

머독은	머독/NNP+은/JX
비용을	비용/NNG+을/JKO
들여	들이/VV+어/EC
만든	만들/VV+ㄴ/ETM
뉴스	뉴스/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
적자를	적자/NNG+를/JKO
내면서	내/VV+면서/EC
공짜로	공짜/NNG+로/JKB
서비스할	서비스/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.270.4.1
▷영국의 파이낸셜타임스는 공짜로 뉴스를 읽는 데 맛들인 사회 분위기에서 유료를 고집해 연(年)회원 11만7000명을 거느리고 있다.

▷영국의	▷/SW+영국/NNP+의/JKG
파이낸셜타임스는	파이낸셜타임스/NNP+는/JX
공짜로	공짜/NNG+로/JKB
뉴스를	뉴스/NNG+를/JKO
읽는	읽/VV+는/ETM
데	데/NNB
맛들인	맛/NNG+들이/VV+ㄴ/ETM
사회	사회/NNG
분위기에서	분위기/NNG+에서/JKB
유료를	유료/NNG+를/JKO
고집해	고집/NNG+하/XSV+아/EC
연(年)회원	연/NNG+(/SS+年/SH+)/SS+회원/NNG
11만7000명을	11/SN+만/NR+7000/SN+명/NNB+을/JKO
거느리고	거느리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.270.4.2
머독 소유인 미국 월스트리트저널의 인터넷판도 유료다.

머독	머독/NNP
소유인	소유/NNG+이/VCP+ㄴ/ETM
미국	미국/NNP
월스트리트저널의	월스트리트저널/NNP+의/JKG
인터넷판도	인터넷판/NNG+도/JX
유료다.	유료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.270.4.3
미국 뉴욕타임스는 유료화에 실패해 2007년 무료로 바꿨는데 머독의 선언을 계기로 월 5달러의 구독료를 받는 방안을 검토 중이다.

미국	미국/NNP
뉴욕타임스는	뉴욕타임스/NNP+는/JX
유료화에	유료/NNG+화/XSN+에/JKB
실패해	실패/NNG+하/XSV+아/EC
2007년	2007/SN+년/NNB
무료로	무료/NNG+로/JKB
바꿨는데	바꾸/VV+었/EP+는데/EC
머독의	머독/NNP+의/JKG
선언을	선언/NNG+을/JKO
계기로	계기/NNG+로/JKB
월	월/NNG
5달러의	5/SN+달러/NNB+의/JKG
구독료를	구독료/NNG+를/JKO
받는	받/VV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.270.4.4
뉴스를 널리 전파하기 위해 인터넷에 무료로 공급하려는 언론사도 있겠지만, 뉴스를 공짜로 보는 풍토는 결국 뉴스의 질을 떨어뜨리고 언론사를 고사시켜 민주주의 발전까지 저해할 수 있다.

뉴스를	뉴스/NNG+를/JKO
널리	널리/MAG
전파하기	전파/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
인터넷에	인터넷/NNG+에/JKB
무료로	무료/NNG+로/JKB
공급하려는	공급/NNG+하/XSV+려는/ETM
언론사도	언론사/NNG+도/JX
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
공짜로	공짜/NNG+로/JKB
보는	보/VV+는/ETM
풍토는	풍토/NNG+는/JX
결국	결국/MAG
뉴스의	뉴스/NNG+의/JKG
질을	질/NNG+을/JKO
떨어뜨리고	떨어뜨리/VV+고/EC
언론사를	언론사/NNG+를/JKO
고사시켜	고사/NNG+시키/XSV+어/EC
민주주의	민주주의/NNG
발전까지	발전/NNG+까지/JX
저해할	저해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.270.5.1
▷유료화 전환은 ‘양질의 콘텐츠는 돈을 내고 본다’는 인식이 확산돼 가능해졌다.

▷유료화	▷/SW+유료/NNG+화/XSN
전환은	전환/NNG+은/JX
‘양질의	‘/SS+양질/NNG+의/JKG
콘텐츠는	콘텐츠/NNG+는/JX
돈을	돈/NNG+을/JKO
내고	내/VV+고/EC
본다’는	보/VV+ㄴ다/EF+’/SS+는/ETM
인식이	인식/NNG+이/JKS
확산돼	확산/NNG+되/XSV+어/EC
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.270.5.2
세계적으로 유료 주문형비디오(VOD) 서비스가 널리 퍼졌고, 광고라도 봐주는 대신 무료로 동영상을 보는 훌루(Hulu)가 미국에서 인기다.

세계적으로	세계/NNG+적/XSN+으로/JKB
유료	유료/NNG
주문형비디오(VOD)	주문/NNG+형/XSN+비디오/NNG+(/SS+VOD/SL+)/SS
서비스가	서비스/NNG+가/JKS
널리	널리/MAG
퍼졌고,	퍼지/VV+었/EP+고/EC+,/SP
광고라도	광고/NNG+이/VCP+라도/EC
봐주는	보/VV+아/EC+주/VX+는/ETM
대신	대신/NNG
무료로	무료/NNG+로/JKB
동영상을	동영상/NNG+을/JKO
보는	보/VV+는/ETM
훌루(Hulu)가	훌루/NNP+(/SS+Hulu/SL+)/SS+가/JKS
미국에서	미국/NNP+에서/JKB
인기다.	인기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.270.5.3
음악 동영상 e-북 등 돈을 내고 보는 콘텐츠가 늘어나고 있다.

음악	음악/NNG
동영상	동영상/NNG
e-북	e/SL+-/SO+북/NNG
등	등/NNB
돈을	돈/NNG+을/JKO
내고	내/VV+고/EC
보는	보/VV+는/ETM
콘텐츠가	콘텐츠/NNG+가/JKS
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.270.5.4
국내에선 지상파 방송의 프로그램을 유료로 다운로드할 수 있게 하는 서비스가 최근 시작됐지만 뉴스 유료화 여건은 미흡한 편이다.

국내에선	국내/NNG+에서/JKB+ㄴ/JX
지상파	지상파/NNG
방송의	방송/NNG+의/JKG
프로그램을	프로그램/NNG+을/JKO
유료로	유료/NNG+로/JKB
다운로드할	다운로드/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
서비스가	서비스/NNG+가/JKS
최근	최근/MAG
시작됐지만	시작/NNG+되/XSV+었/EP+지만/EC
뉴스	뉴스/NNG
유료화	유료/NNG+화/XSN
여건은	여건/NNG+은/JX
미흡한	미흡/NNG+하/XSA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


