# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.278
metadata : {}


# id : NWRW1800000044.278.1.1
추신수, 좀처럼 나오지 않는 방망이가 문제다

추신수,	추신수/NNP+,/SP
좀처럼	좀처럼/MAG
나오지	나오/VV+지/EC
않는	않/VX+는/ETM
방망이가	방망이/NNG+가/JKS
문제다	문제/NNG+이/VCP+다/EF


# id : NWRW1800000044.278.2.1
[한겨레] 연이틀 멀티히트 불구 삼진 3개

[한겨레]	[/SS+한겨레/NNP+]/SS
연이틀	연이틀/NNG
멀티히트	멀티히트/NNG
불구	불구/XR
삼진	삼진/NNG
3개	3/SN+개/NNB


# id : NWRW1800000044.278.3.1
선구안 좋지만 타격 너무 소극적

선구안	선구안/NNG
좋지만	좋/VA+지만/EC
타격	타격/NNG
너무	너무/MAG
소극적	소극/NNG+적/XSN


# id : NWRW1800000044.278.4.1
“완벽한 공 기다리다간 안타 못쳐"

“완벽한	“/SS+완벽/NNG+하/XSA+ㄴ/ETM
공	공/NNG
기다리다간	기다리/VV+다가/EC+ㄴ/JX
안타	안타/NNG
못쳐"	못/MAG+치/VV+어/EF+"/SS


# id : NWRW1800000044.278.5.1
추신수(32·텍사스 레인저스)가 이틀 연속 멀티히트(2안타 이상)를 기록했다.

추신수(32·텍사스	추신수/NNP+(/SS+32/SN+·/SP+텍사스/NNP
레인저스)가	레인저스/NNP+)/SS+가/JKS
이틀	이틀/NNG
연속	연속/NNG
멀티히트(2안타	멀티히트/NNG+(/SS+2/SN+안타/NNG
이상)를	이상/NNG+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.278.5.2
추신수는 23일(한국시각) 미국 뉴욕 양키스타디움에서 열린 메이저리그 뉴욕 양키스와의 원정경기에 우익수 겸 1번타자로 선발 출전해 6타수 2안타를 기록했다.

추신수는	추신수/NNP+는/JX
23일(한국시각)	23/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
미국	미국/NNP
뉴욕	뉴욕/NNP
양키스타디움에서	양키스타디움/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
메이저리그	메이저리그/NNG
양키스와의	양키스/NNP+와/JKB+의/JKG
원정경기에	원정/NNG+경기/NNG+에/JKB
우익수	우익수/NNG
겸	겸/NNB
1번타자로	1/SN+번/NNB+타자/NNG+로/JKB
선발	선발/NNG
출전해	출전/NNG+하/XSV+아/EC
6타수	6/SN+타수/NNG
2안타를	2/SN+안타/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.278.5.3
텍사스가 연장 14회 접전 끝에 1-2로 역전패했다.

텍사스가	텍사스/NNP+가/JKS
연장	연장/NNG
14회	14/SN+회/NNB
접전	접전/NNG
끝에	끝/NNG+에/JKB
1-2로	1/SN+-/SO+2/SN+로/JKB
역전패했다.	역전패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.278.6.1
타격감을 되찾긴 했지만 추신수는 이날도 루킹 삼진 2개를 포함해 삼진 3개를 당했다.

타격감을	타격감/NNG+을/JKO
되찾긴	되찾/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
추신수는	추신수/NNP+는/JX
이날도	이날/NNG+도/JX
루킹	루킹/NNG
삼진	삼진/NNG
2개를	2/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
3개를	3/SN+개/NNB+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.278.6.2
0-0으로 팽팽하던 8회 1아웃 주자 2루의 기회에서 바깥쪽으로 떨어지는 변화구를 쳐다보기만 하며 당한 삼진은 뼈아팠다.

0-0으로	0/SN+-/SO+0/SN+으로/JKB
팽팽하던	팽팽하/VA+던/ETM
8회	8/SN+회/NNB
1아웃	1/SN+아웃/NNG
주자	주자/NNG
2루의	2루/NNG+의/JKG
기회에서	기회/NNG+에서/JKB
바깥쪽으로	바깥쪽/NNG+으로/JKB
떨어지는	떨어지/VV+는/ETM
변화구를	변화구/NNG+를/JKO
쳐다보기만	쳐다보/VV+기/ETN+만/JX
하며	하/VX+며/EC
당한	당하/VV+ㄴ/ETM
삼진은	삼진/NNG+은/JX
뼈아팠다.	뼈아프/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.278.6.3
그는 올 시즌 41개의 루킹 삼진을 당하며 아메리칸 리그 1위의 수모를 겪고 있다.

그는	그/NP+는/JX
올	올/NNG
시즌	시즌/NNG
41개의	41/SN+개/NNB+의/JKG
루킹	루킹/NNG
삼진을	삼진/NNG+을/JKO
당하며	당하/VV+며/EC
아메리칸	아메리칸/NNP
리그	리그/NNG
1위의	1/SN+위/NNB+의/JKG
수모를	수모/NNG+를/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.278.7.1
시즌 타율 0.240의 추신수와 타율 0.340으로 메이저리그 타격 1위인 트로이 툴로위츠키(30·콜로라도 로키스)의 스윙 통계를 비교해 보면 추신수의 소극적 타격이 여실히 드러난다.

시즌	시즌/NNG
타율	타율/NNG
0.240의	0/SN+./SP+240/SN+의/JKG
추신수와	추신수/NNP+와/JC
0.340으로	0/SN+./SP+340/SN+으로/JKB
메이저리그	메이저리그/NNG
타격	타격/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
트로이	트로이/NNP
툴로위츠키(30·콜로라도	툴로위츠키/NNP+(/SS+30/SN+·/SP+콜로라도/NNP
로키스)의	로키스/NNG+)/SS+의/JKG
스윙	스윙/NNG
통계를	통계/NNG+를/JKO
비교해	비교/NNG+하/XSV+아/EC
보면	보/VX+면/EC
추신수의	추신수/NNP+의/JKG
소극적	소극/NNG+적/XSN
타격이	타격/NNG+이/JKS
여실히	여실히/MAG
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.278.7.2
메이저리그 통계 누리집 <팬그래프>에 따르면 홈 플레이트를 지나는 투구의 위치를 100구역으로 나눴을 때 올 시즌 추신수가 투구 수의 50% 이상 스윙한 구역은 23곳이다.

메이저리그	메이저리그/NNG
통계	통계/NNG
누리집	누리집/NNG
<팬그래프>에	</SS+팬그래프/NNP+>/SS+에/JKB
따르면	따르/VV+면/EC
홈	홈/NNG
플레이트를	플레이트/NNG+를/JKO
지나는	지나/VV+는/ETM
투구의	투구/NNG+의/JKG
위치를	위치/NNG+를/JKO
100구역으로	100/SN+구역/NNG+으로/JKB
나눴을	나누/VV+었/EP+을/ETM
때	때/NNG
올	올/NNG
시즌	시즌/NNG
추신수가	추신수/NNP+가/JKS
투구	투구/NNG
수의	수/NNG+의/JKG
50%	50/SN+%/SW
이상	이상/NNG
