# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.375
metadata : {}


# id : NWRW1800000036.375.1.1
‘선거인단 부정’ 광주 동구, 전략공천은커녕…민주당 ‘무공천’으로 후퇴

‘선거인단	‘/SS+선거인단/NNG
부정’	부정/NNG+’/SS
광주	광주/NNP
동구,	동구/NNP+,/SP
전략공천은커녕…민주당	전략/NNG+공천/NNG+은커녕/JX+…/SE+민주당/NNP
‘무공천’으로	‘/SS+무/XPN+공천/NNG+’/SS+으로/JKB
후퇴	후퇴/NNG


# id : NWRW1800000036.375.2.1
[한겨레] 박주선 의원 등 반발에 밀려

[한겨레]	[/SS+한겨레/NNP+]/SS
박주선	박주선/NNP
의원	의원/NNG
등	등/NNB
반발에	반발/NNG+에/JKB
밀려	밀리/VV+어/EF


# id : NWRW1800000036.375.3.1
통장 5명 불법모집 관여 확인

통장	통장/NNG
5명	5/SN+명/NNB
불법모집	불법/NNG+모집/NNG
관여	관여/NNG
확인	확인/NNG


# id : NWRW1800000036.375.4.1
광주 동구의 민주통합당 선거인단 모집 과정에 선거운동이 엄격하게 금지된 현직 통장 5명이 관여한 사실이 확인됐다.

광주	광주/NNP
동구의	동구/NNP+의/JKG
민주통합당	민주통합당/NNP
선거인단	선거인단/NNG
모집	모집/NNG
과정에	과정/NNG+에/JKB
선거운동이	선거/NNG+운동/NNG+이/JKS
엄격하게	엄격/NNG+하/XSA+게/EC
금지된	금지/NNG+되/XSV+ㄴ/ETM
현직	현직/NNG
통장	통장/NNG
5명이	5/SN+명/NNB+이/JKS
관여한	관여/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.375.4.2
검찰은 유태명 동구청장과 박주선 국회의원을 소환해 조사할 시점을 저울질하고 있다.

검찰은	검찰/NNG+은/JX
유태명	유태명/NNP
동구청장과	동구청장/NNG+과/JC
박주선	박주선/NNP
국회의원을	국회/NNG+의원/NNG+을/JKO
소환해	소환/NNG+하/XSV+아/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
시점을	시점/NNG+을/JKO
저울질하고	저울/NNG+질/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.375.5.1
광주지검 공안부(부장검사 송규종)는 2일 광주시 선관위가 계림1동 주민자치센터 도서관 안에서 압수해 넘겨준 자료 100여건을 분석한 결과, 선거인단을 조직적으로 모집한 ‘계림1동 비상대책추진위원회’ 위원 12명의 명단을 확인했다.

광주지검	광주지검/NNP
공안부(부장검사	공안부/NNG+(/SS+부장/NNG+검사/NNG
송규종)는	송규종/NNP+)/SS+는/JX
2일	2/SN+일/NNB
광주시	광주시/NNP
선관위가	선관위/NNG+가/JKS
계림1동	계림1동/NNP
주민자치센터	주민/NNG+자치/NNG+센터/NNG
도서관	도서관/NNG
안에서	안/NNG+에서/JKB
압수해	압수/NNG+하/XSV+아/EC
넘겨준	넘겨주/VV+ㄴ/ETM
자료	자료/NNG
100여건을	100/SN+여/XSN+건/NNB+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
선거인단을	선거인단/NNG+을/JKO
조직적으로	조직/NNG+적/XSN+으로/JKB
모집한	모집/NNG+하/XSV+ㄴ/ETM
‘계림1동	‘/SS+계림1동/NNP
비상대책추진위원회’	비상/NNG+대책/NNG+추진/NNG+위원회/NNG+’/SS
위원	위원/NNG
12명의	12/SN+명/NNB+의/JKG
명단을	명단/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.375.5.2
이들은 전직 동장 조아무개(64·투신 사망)씨와 백아무개(57·구속중)씨 등 현직 통장 5명, 부녀회원 6명 등이다.

이들은	이/NP+들/XSN+은/JX
전직	전직/NNG
동장	동장/NNG
조아무개(64·투신	조/NNP+아무개/NP+(/SS+64/SN+·/SP+투신/NNG
사망)씨와	사망/NNG+)/SS+씨/NNB+와/JC
백아무개(57·구속중)씨	백/NNP+아무개/NP+(/SS+57/SN+·/SP+구속/NNG+중/NNB+)/SS+씨/NNB
등	등/NNB
현직	현직/NNG
통장	통장/NNG
5명,	5/SN+명/NNB+,/SP
부녀회원	부녀회원/NNG
6명	6/SN+명/NNB
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.375.6.1
검찰이 확보한 ‘비상대책추진위원회’라는 제목의 문건에는 숨진 조씨가 이 비대위의 위원장을, 구속된 백씨가 간사를 맡아 박주선 국회의원을 위해 민주통합당 국민경선 선거인단을 모집한 정황이 드러나 있다.

검찰이	검찰/NNG+이/JKS
확보한	확보/NNG+하/XSV+ㄴ/ETM
‘비상대책추진위원회’라는	‘/SS+비상/NNG+대책/NNG+추진/NNG+위원회/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
문건에는	문건/NNG+에/JKB+는/JX
숨진	숨지/VV+ㄴ/ETM
조씨가	조/NNP+씨/NNB+가/JKS
이	이/MMD
비대위의	비대위/NNG+의/JKG
위원장을,	위원장/NNG+을/JKO+,/SP
구속된	구속/NNG+되/XSV+ㄴ/ETM
백씨가	백/NNP+씨/NNB+가/JKS
간사를	간사/NNG+를/JKO
맡아	맡/VV+아/EC
박주선	박주선/NNP
국회의원을	국회/NNG+의원/NNG+을/JKO
위해	위하/VV+아/EC
민주통합당	민주통합당/NNP
국민경선	국민/NNG+경선/NNG
선거인단을	선거인단/NNG+을/JKO
모집한	모집/NNG+하/XSV+ㄴ/ETM
정황이	정황/NNG+이/JKS
드러나	드러나/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.375.6.2
지난달 22일까지 모집실적은 1125명으로 기록됐다.

지난달	지난달/NNG
22일까지	22/SN+일/NNB+까지/JX
모집실적은	모집/NNG+실적/NNG+은/JX
1125명으로	1125/SN+명/NNB+으로/JKB
기록됐다.	기록/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.375.6.3
이 문건에는 또 동 단위인 추진위보다 상위 단계인 협의회가 운영됐음을 추정케 하는 대목도 발견됐다.

이	이/MMD
문건에는	문건/NNG+에/JKB+는/JX
또	또/MAG
동	동/NNB
단위인	단위/NNG+이/VCP+ㄴ/ETM
추진위보다	추진위/NNG+보다/JKB
상위	상위/NNG
단계인	단계/NNG+이/VCP+ㄴ/ETM
