# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.156
metadata : {}


# id : NWRW1800000021.156.1.1
[강원]화장실이야?

[강원]화장실이야?	[/SS+강원/NNP+]/SS+화장실/NNG+이/VCP+야/EF+?/SF


# id : NWRW1800000021.156.1.2
미술관이야?

미술관이야?	미술관/NNG+이/VCP+야/EF+?/SF


# id : NWRW1800000021.156.2.1
강원 양구지역 공중화장실이 이 고장 출신 박수근 화백의 그림으로 새롭게 단장됐다.

강원	강원/NNP
양구지역	양구/NNP+지역/NNG
공중화장실이	공중화장실/NNG+이/JKS
이	이/MMD
고장	고장/NNG
출신	출신/NNG
박수근	박수근/NNP
화백의	화백/NNG+의/JKG
그림으로	그림/NNG+으로/JKB
새롭게	새롭/VA+게/EC
단장됐다.	단장/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.156.2.2
군은 지난해 시외버스터미널, 문화복지센터, 중앙시장 등 13개 공중화장실에 박 화백의 그림 타일을 설치한 데 이어 올해 양구도서관, 장례예식장, 선사박물관 등 10곳에도 그림타일을 추가 설치했다.

군은	군/NNG+은/JX
지난해	지난해/NNG
시외버스터미널,	시외버스/NNG+터미널/NNG+,/SP
문화복지센터,	문화/NNG+복지/NNG+센터/NNG+,/SP
중앙시장	중앙시장/NNP
등	등/NNB
13개	13/SN+개/NNB
공중화장실에	공중화장실/NNG+에/JKB
박	박/NNP
화백의	화백/NNG+의/JKG
그림	그림/NNG
타일을	타일/NNG+을/JKO
설치한	설치/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올해	올해/NNG
양구도서관,	양구/NNP+도서관/NNG+,/SP
장례예식장,	장례/NNG+예식장/NNG+,/SP
선사박물관	선사/NNG+박물관/NNG
10곳에도	10/SN+곳/NNG+에/JKB+도/JX
그림타일을	그림/NNG+타일/NNG+을/JKO
추가	추가/NNG
설치했다.	설치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.156.3.1
이 사업은 강원도가 추진 중인 ‘디자인 강원 프로젝트’의 하나로 4600만 원을 들여 양구 방산면에서 나오는 백토로 타일을 특별 제작했다.

이	이/MMD
사업은	사업/NNG+은/JX
강원도가	강원도/NNP+가/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
‘디자인	‘/SS+디자인/NNG
강원	강원/NNP
프로젝트’의	프로젝트/NNG+’/SS+의/JKG
하나로	하나/NR+로/JKB
4600만	4600/SN+만/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
양구	양구/NNP
방산면에서	방산면/NNP+에서/JKB
나오는	나오/VV+는/ETM
백토로	백토/NNG+로/JKB
타일을	타일/NNG+을/JKO
특별	특별/NNG
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.156.3.2
그림은 박 화백의 대표작인 빨래터, 노인과 소녀, 나무와 두 여인 등.

그림은	그림/NNG+은/JX
박	박/NNP
화백의	화백/NNG+의/JKG
대표작인	대표작/NNG+이/VCP+ㄴ/ETM
빨래터,	빨래터/NNG+,/SP
노인과	노인/NNG+과/JC
소녀,	소녀/NNG+,/SP
나무와	나무/NNG+와/JC
두	두/MMN
여인	여인/NNG
등.	등/NNB+./SF


# id : NWRW1800000021.156.3.3
1000만 원을 들여 LED 액자를 설치해 관광지와 축제를 소개하고 화장실 내부 조명에도 활용하고 있다.

1000만	1000/SN+만/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
LED	LED/SL
액자를	액자/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
관광지와	관광지/NNG+와/JC
축제를	축제/NNG+를/JKO
소개하고	소개/NNG+하/XSV+고/EC
화장실	화장실/NNG
내부	내부/NNG
조명에도	조명/NNG+에/JKB+도/JX
활용하고	활용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.156.4.1
군 관계자는 “양구에 군부대 면회객과 관광객이 많이 찾아오고 있어 지역 특성을 살린 전시물로 화장실을 단장했다”고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
“양구에	“/SS+양구/NNP+에/JKB
군부대	군부대/NNG
면회객과	면회객/NNG+과/JC
관광객이	관광객/NNG+이/JKS
많이	많이/MAG
찾아오고	찾아오/VV+고/EC
있어	있/VX+어/EC
지역	지역/NNG
특성을	특성/NNG+을/JKO
살린	살리/VV+ㄴ/ETM
전시물로	전시물/NNG+로/JKB
화장실을	화장실/NNG+을/JKO
단장했다”고	단장/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


