# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.422
metadata : {}


# id : NWRW1800000038.422.1.1
OECD도 새마을운동 연구한다

OECD도	OECD/SL+도/JX
새마을운동	새마을/NNG+운동/NNG
연구한다	연구/NNG+하/XSV+ㄴ다/EF


# id : NWRW1800000038.422.2.1
"세계 원조 모델에 반영"

"세계	"/SS+세계/NNG
원조	원조/NNG
모델에	모델/NNG+에/JKB
반영"	반영/NNG+"/SS


# id : NWRW1800000038.422.3.1
선진 34개국으로 구성된 국제기구인 경제협력개발기구(OECD)가 내년부터 새마을운동을 연구한다.

선진	선진/NNG
34개국으로	34/SN+개국/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
국제기구인	국제기구/NNG+이/VCP+ㄴ/ETM
경제협력개발기구(OECD)가	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS+가/JKS
내년부터	내년/NNG+부터/JX
새마을운동을	새마을/NNG+운동/NNG+을/JKO
연구한다.	연구/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.422.3.2
농촌 지역 개발 사업으로는 드물게 성공한 한국의 새마을운동을 연구해 원조(援助) 모델에 반영하기 위해서다.

농촌	농촌/NNG
지역	지역/NNG
개발	개발/NNG
사업으로는	사업/NNG+으로/JKB+는/JX
드물게	드물/VA+게/EC
성공한	성공/NNG+하/XSV+ㄴ/ETM
한국의	한국/NNP+의/JKG
새마을운동을	새마을/NNG+운동/NNG+을/JKO
연구해	연구/NNG+하/XSV+아/EC
원조(援助)	원조/NNG+(/SS+援助/SH+)/SS
모델에	모델/NNG+에/JKB
반영하기	반영/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000038.422.3.3
정부는 OECD, 유엔개발기구(UNDP) 등 국제기구와 협력해 새마을운동을 보편적인 농촌 개발 모델로 확산시키기로 했다.

정부는	정부/NNG+는/JX
OECD,	OECD/SL+,/SP
유엔개발기구(UNDP)	유엔/NNP+개발/NNG+기구/NNG+(/SS+UNDP/SL+)/SS
등	등/NNB
국제기구와	국제기구/NNG+와/JKB
협력해	협력/NNG+하/XSV+아/EC
새마을운동을	새마을/NNG+운동/NNG+을/JKO
보편적인	보편/NNG+적/XSN+이/VCP+ㄴ/ETM
농촌	농촌/NNG
개발	개발/NNG
모델로	모델/NNG+로/JKB
확산시키기로	확산/NNG+시키/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.422.4.1
외교부 관계자는 28일 "OECD 측에서 새마을운동을 성공적인 농촌 지역 개발 사례로서 연구, 이론화하자고 제안해 와 내년 2월부터 OECD가 연구를 진행할 계획"이라며 "새마을운동의 성과가 OECD의 원조 기본 원칙에 반영되는 셈"이라고 말했다.

외교부	외교부/NNG
관계자는	관계자/NNG+는/JX
28일	28/SN+일/NNB
"OECD	"/SS+OECD/SL
측에서	측/NNB+에서/JKB
새마을운동을	새마을/NNG+운동/NNG+을/JKO
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
농촌	농촌/NNG
지역	지역/NNG
개발	개발/NNG
사례로서	사례/NNG+로서/JKB
연구,	연구/NNG+,/SP
이론화하자고	이론/NNG+화/XSN+하/XSV+자고/EC
제안해	제안/NNG+하/XSV+아/EC
와	오/VX+아/EC
내년	내년/NNG
2월부터	2/SN+월/NNB+부터/JX
OECD가	OECD/SL+가/JKS
연구를	연구/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
계획"이라며	계획/NNG+"/SS+이/VCP+라며/EC
"새마을운동의	"/SS+새마을/NNG+운동/NNG+의/JKG
성과가	성과/NNG+가/JKS
OECD의	OECD/SL+의/JKG
원조	원조/NNG
기본	기본/NNG
원칙에	원칙/NNG+에/JKB
반영되는	반영/NNG+되/XSV+는/ETM
셈"이라고	셈/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.422.4.2
우리 정부는 11월 OECD와 이런 계획을 담은 협력 방안을 공식 발표할 예정이다.

우리	우리/NP
정부는	정부/NNG+는/JX
11월	11/SN+월/NNB
OECD와	OECD/SL+와/JC
이런	이런/MMD
계획을	계획/NNG+을/JKO
담은	담/VV+은/ETM
협력	협력/NNG
방안을	방안/NNG+을/JKO
공식	공식/NNG
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.422.4.3
외교부는 지난달 UNDP와 양해각서를 체결하고 3~4개 국가에서 시범적으로 새마을운동을 시행하기로 했다.

외교부는	외교부/NNG+는/JX
지난달	지난달/NNG
UNDP와	UNDP/SL+와/JKB
양해각서를	양해/NNG+각서/NNG+를/JKO
체결하고	체결/NNG+하/XSV+고/EC
3~4개	3/SN+~/SO+4/SN+개/NNB
국가에서	국가/NNG+에서/JKB
시범적으로	시범/NNG+적/XSN+으로/JKB
새마을운동을	새마을/NNG+운동/NNG+을/JKO
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.422.5.1
이 관계자는 "OECD가 새마을운동의 이론을, UNDP가 실행 측면을 맡는 형태"라며 "기존에는 국가 대 국가의 양자 관계에서 확산시켰던 새마을운동을 다자 채널을 통해 전파한다는 데 의의가 있다"고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"OECD가	"/SS+OECD/SL+가/JKS
새마을운동의	새마을/NNG+운동/NNG+의/JKG
이론을,	이론/NNG+을/JKO+,/SP
UNDP가	UNDP/SL+가/JKS
실행	실행/NNG
측면을	측면/NNG+을/JKO
맡는	맡/VV+는/ETM
형태"라며	형태/NNG+"/SS+이/VCP+라며/EC
"기존에는	"/SS+기존/NNG+에/JKB+는/JX
국가	국가/NNG
대	대/NNB
국가의	국가/NNG+의/JKG
양자	양자/NNG
관계에서	관계/NNG+에서/JKB
확산시켰던	확산/NNG+시키/XSV+었/EP+던/ETM
새마을운동을	새마을/NNG+운동/NNG+을/JKO
다자	다자/NNG
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
전파한다는	전파/NNG+하/XSV+ㄴ다는/ETM
데	데/NNB
의의가	의의/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.422.6.1
내년 4월에는 서울에서 세계 새마을 지도자 대회도 개최하기로 했다.

내년	내년/NNG
4월에는	4/SN+월/NNB+에/JKB+는/JX
서울에서	서울/NNP+에서/JKB
세계	세계/NNG
새마을	새마을/NNG
지도자	지도자/NNG
대회도	대회/NNG+도/JX
개최하기로	개최/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.422.6.2
외교부는 28일 안전행정부와 공동으로 '지구촌 새마을운동 전략 보고회'를 열고 이런 계획을 밝혔다.

외교부는	외교부/NNG+는/JX
28일	28/SN+일/NNB
안전행정부와	안전/NNG+행정부/NNG+와/JKB
공동으로	공동/NNG+으로/JKB
'지구촌	'/SS+지구촌/NNG
새마을운동	새마을/NNG+운동/NNG
전략	전략/NNG
보고회'를	보고회/NNG+'/SS+를/JKO
열고	열/VV+고/EC
이런	이런/MMD
계획을	계획/NNG+을/JKO
