# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.188
metadata : {}


# id : NWRW1800000021.188.1.1
갓난아기를 결혼식장에 데려가?

갓난아기를	갓난아기/NNG+를/JKO
결혼식장에	결혼식장/NNG+에/JKB
데려가?	데려가/VV+아/EF+?/SF


# id : NWRW1800000021.188.2.1
지난달 26일 처음 방송한 케이블 채널 MBC 에브리원의 ‘러브 에스코트’(화요일 오후 2시 40분)는 연예인들이 1주일간 입양을 기다리는 아이들의 위탁모 역할을 하는 프로그램이다.

지난달	지난달/NNG
26일	26/SN+일/NNB
처음	처음/NNG
방송한	방송/NNG+하/XSV+ㄴ/ETM
케이블	케이블/NNG
채널	채널/NNG
MBC	MBC/SL
에브리원의	에브리원/NNP+의/JKG
‘러브	‘/SS+러브/NNG
에스코트’(화요일	에스코트/NNG+’/SS+(/SS+화요일/NNG
오후	오후/NNG
2시	2/SN+시/NNB
40분)는	40/SN+분/NNB+)/SS+는/JX
연예인들이	연예인/NNG+들/XSN+이/JKS
1주일간	1/SN+주일/NNB+간/XSN
입양을	입양/NNG+을/JKO
기다리는	기다리/VV+는/ETM
아이들의	아이/NNG+들/XSN+의/JKG
위탁모	위탁모/NNG
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.188.2.2
그러나 입양에 대한 진지한 접근이나 세심한 아이 돌보기보다는 연예인 쪽에 더 무게 중심이 가 있다는 지적이 일고 있다.

그러나	그러나/MAJ
입양에	입양/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진지한	진지하/VA+ㄴ/ETM
접근이나	접근/NNG+이나/JC
세심한	세심하/VA+ㄴ/ETM
아이	아이/NNG
돌보기보다는	돌보/VV+기/ETN+보다/JKB+는/JX
연예인	연예인/NNG
쪽에	쪽/NNB+에/JKB
더	더/MAG
무게	무게/NNG
중심이	중심/NNG+이/JKS
가	가/VV+아/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.188.3.1
5월 26일, 6월 2일 방송은 개그우먼 강유미, 안영미가 생후 1개월 된 영서를 1주일간 돌보는 모습을 담았다.

5월	5/SN+월/NNB
26일,	26/SN+일/NNB+,/SP
6월	6/SN+월/NNB
2일	2/SN+일/NNB
방송은	방송/NNG+은/JX
개그우먼	개그우먼/NNG
강유미,	강유미/NNP+,/SP
안영미가	안영미/NNP+가/JKS
생후	생후/NNG
1개월	1/SN+개월/NNB
된	되/VV+ㄴ/ETM
영서를	영서/NNP+를/JKO
1주일간	1/SN+주일/NNB+간/XSN
돌보는	돌보/VV+는/ETM
모습을	모습/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.188.3.2
2일 방송은 아기가 등장하는 장면이 없었다면 스타의 일상을 엿본다는 수많은 연예정보 프로그램과 다를 바가 없었다.

2일	2/SN+일/NNB
방송은	방송/NNG+은/JX
아기가	아기/NNG+가/JKS
등장하는	등장/NNG+하/XSV+는/ETM
장면이	장면/NNG+이/JKS
없었다면	없/VA+었/EP+다면/EC
스타의	스타/NNG+의/JKG
일상을	일상/NNG+을/JKO
엿본다는	엿보/VV+ㄴ다는/ETM
수많은	수많/VA+은/ETM
연예정보	연예/NNG+정보/NNG
프로그램과	프로그램/NNG+과/JKB
다를	다르/VA+ㄹ/ETM
바가	바/NNB+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.188.4.1
