# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.355
metadata : {}


# id : NWRW1800000030.355.1.1
[호남] [문화가 하이라이트] "소쇄원의 숨겨진 멋 만나보세요"

[호남]	[/SS+호남/NNP+]/SS
[문화가	[/SS+문화/NNG+가/JKS
하이라이트]	하이라이트/NNG+]/SS
"소쇄원의	"/SS+소쇄원/NNP+의/JKG
숨겨진	숨기/VV+어/EC+지/VX+ㄴ/ETM
멋	멋/NNG
만나보세요"	만나/VV+아/EC+보/VX+시/EP+어요/EF+"/SS


# id : NWRW1800000030.355.2.1
•문화운동가 이동호씨 소쇄원 안내서 펴내

•문화운동가	•/SW+문화/NNG+운동가/NNG
이동호씨	이동호/NNP+씨/NNB
소쇄원	소쇄원/NNP
안내서	안내서/NNG
펴내	펴내/VV+어/EF


# id : NWRW1800000030.355.3.1
20년 넘게 전남 담양의 조선시대 정원 '소쇄원(瀟灑園)'을 탐구해온 한 문화운동가가 소쇄원의 겉과 속, 과거와 현재, 공간과 건축물, 관련 인물과 문헌 등 소쇄원의 모든 것을 담은 안내서를 펴냈다.

20년	20/SN+년/NNB
넘게	넘/VV+게/EC
전남	전남/NNP
담양의	담양/NNP+의/JKG
조선시대	조선시대/NNG
정원	정원/NNG
'소쇄원(瀟灑園)'을	'/SS+소쇄원/NNP+(/SS+瀟灑園/SH+)/SS+'/SS+을/JKO
탐구해온	탐구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
한	한/MMN
문화운동가가	문화/NNG+운동가/NNG+가/JKS
소쇄원의	소쇄원/NNP+의/JKG
겉과	겉/NNG+과/JC
속,	속/NNG+,/SP
과거와	과거/NNG+와/JC
현재,	현재/NNG+,/SP
공간과	공간/NNG+과/JC
건축물,	건축물/NNG+,/SP
관련	관련/NNG
인물과	인물/NNG+과/JC
문헌	문헌/NNG
등	등/NNB
모든	모든/MMN
것을	것/NNB+을/JKO
담은	담/VV+은/ETM
안내서를	안내서/NNG+를/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.355.3.2
이동호(49)씨가 쓴 '소쇄원의 숨은그림찾기'(전남대출판부·200쪽·사진)다.

이동호(49)씨가	이동호/NNP+(/SS+49/SN+)/SS+씨/NNB+가/JKS
쓴	쓰/VV+ㄴ/ETM
'소쇄원의	'/SS+소쇄원/NNP+의/JKG
숨은그림찾기'(전남대출판부·200쪽·사진)다.	숨은그림찾기/NNG+'/SS+(/SS+전남대/NNP+출판부/NNG+·/SP+200/SN+쪽/NNG+·/SP+사진/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.355.4.1
저자는 1989년 20대 후반 차(茶) 생활을 하며 우리 전통문화에 빠졌다.

저자는	저자/NNG+는/JX
1989년	1989/SN+년/NNB
20대	20/SN+대/NNB
후반	후반/NNG
차(茶)	차/NNG+(/SS+茶/SH+)/SS
생활을	생활/NNG+을/JKO
하며	하/VV+며/EC
우리	우리/NP
전통문화에	전통문화/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.355.4.2
1994년부터는 소쇄원·식영정·창평향교 등에서 묵으며 본격적으로 문화유산 공부를 했다.

1994년부터는	1994/SN+년/NNB+부터/JX+는/JX
소쇄원·식영정·창평향교	소쇄원/NNP+·/SP+식영정/NNP+·/SP+창평향교/NNP
등에서	등/NNB+에서/JKB
묵으며	묵/VV+으며/EC
본격적으로	본격/NNG+적/XSN+으로/JKB
문화유산	문화유산/NNG
공부를	공부/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.355.4.3
특히 원림(園林)과 정자(亭子), 서원, 향교, 궁궐 등에 깊은 관심과 애정을 보여왔다.

특히	특히/MAG
원림(園林)과	원림/NNG+(/SS+園林/SH+)/SS+과/JC
정자(亭子),	정자/NNG+(/SS+亭子/SH+)/SS+,/SP
서원,	서원/NNG+,/SP
향교,	향교/NNG+,/SP
궁궐	궁궐/NNG
등에	등/NNB+에/JKB
깊은	깊/VA+은/ETM
관심과	관심/NNG+과/JC
애정을	애정/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.355.5.1
"처음에는 모든 것들이 낯설고 어색했지만 점차 겉모습부터 익숙해져갔고, 시간이 흐른 뒤에는 내면의 아름다움까지 보이기 시작했어요." 저자는 "그동안 문화유적 현장에서 체험하며 느낀 것들을 담담하게 기록했다"고 말했다.

"처음에는	"/SS+처음/NNG+에/JKB+는/JX
모든	모든/MMN
것들이	것/NNB+들/XSN+이/JKS
낯설고	낯설/VA+고/EC
어색했지만	어색하/VA+았/EP+지만/EC
점차	점차/MAG
겉모습부터	겉모습/NNG+부터/JX
