# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.129
metadata : {}


# id : NWRW1800000029.129.1.1
카다피에겐 양대 버팀목 있기에…

카다피에겐	카다피/NNP+에게/JKB+ㄴ/JX
양대	양대/MMA
버팀목	버팀목/NNG
있기에…	있/VA+기에/EC+…/SE


# id : NWRW1800000029.129.2.1
국제사회까지 반정부세력에 힘을 실어주며 리비아 정권을 압박하고 있으나 무아마르 카다피 국가원수는 오히려 전열을 재정비하는 모양새다.

국제사회까지	국제/NNG+사회/NNG+까지/JX
반정부세력에	반/XPN+정부/NNG+세력/NNG+에/JKB
힘을	힘/NNG+을/JKO
실어주며	싣/VV+어/EC+주/VX+며/EC
리비아	리비아/NNP
정권을	정권/NNG+을/JKO
압박하고	압박/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
무아마르	무아마르/NNP
카다피	카다피/NNP
국가원수는	국가/NNG+원수/NNG+는/JX
오히려	오히려/MAG
전열을	전열/NNG+을/JKO
재정비하는	재/XPN+정비/NNG+하/XSV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.129.2.2
민심 앞에 추풍낙엽처럼 고꾸라진 튀니지 이집트의 정권에 비해 카다피 정권은 어떻게 이렇게 질기게 버틸 수 있는 걸까.

민심	민심/NNG
앞에	앞/NNG+에/JKB
추풍낙엽처럼	추풍낙엽/NNG+처럼/JKB
고꾸라진	고꾸라지/VV+ㄴ/ETM
튀니지	튀니지/NNP
이집트의	이집트/NNP+의/JKG
정권에	정권/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
카다피	카다피/NNP
정권은	정권/NNG+은/JX
어떻게	어떻/VA+게/EC
이렇게	이렇/VA+게/EC
질기게	질기/VA+게/EC
버틸	버티/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000029.129.3.1
○ 강력한 친위대

○	○/SW
강력한	강력/NNG+하/XSA+ㄴ/ETM
친위대	친위대/NNG


# id : NWRW1800000029.129.4.1
튀니지 이집트 리비아 모두 정규군과 정권 유지의 첨병인 친위대 성격의 군사기구를 두고 있었다.

튀니지	튀니지/NNP
이집트	이집트/NNP
리비아	리비아/NNP
모두	모두/MAG
정규군과	정규군/NNG+과/JC
정권	정권/NNG
유지의	유지/NNG+의/JKG
첨병인	첨병/NNG+이/VCP+ㄴ/ETM
친위대	친위대/NNG
성격의	성격/NNG+의/JKG
군사기구를	군사/NNG+기구/NNG+를/JKO
두고	두/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.129.4.2
