# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.421
metadata : {}


# id : NWRW1800000022.421.1.1
나노포토닉스 권경일 대표 발명특허대전 대통령상 수상

나노포토닉스	나노포토닉스/NNP
권경일	권경일/NNP
대표	대표/NNG
발명특허대전	발명/NNG+특허/NNG+대전/NNG
대통령상	대통령상/NNG
수상	수상/NNG


# id : NWRW1800000022.421.2.1
특허청은 '2009 대한민국발명특허대전'에서 ㈜나노포토닉스 권경일 대표가 대통령상 수상자로 선정됐다고 2일 밝혔다.

특허청은	특허청/NNG+은/JX
'2009	'/SS+2009/SN
대한민국발명특허대전'에서	대한민국/NNP+발명/NNG+특허/NNG+대전/NNG+'/SS+에서/JKB
㈜나노포토닉스	㈜/SW+나노포토닉스/NNP
권경일	권경일/NNP
대표가	대표/NNG+가/JKS
대통령상	대통령상/NNG
수상자로	수상자/NNG+로/JKB
선정됐다고	선정/NNG+되/XSV+었/EP+다고/EC
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.421.2.2
나노포토닉스는 한 대의 카메라로 180도 주변 포착이 가능한 영상제작 방법을 개발했다.

나노포토닉스는	나노포토닉스/NNP+는/JX
한	한/MMN
대의	대/NNB+의/JKG
카메라로	카메라/NNG+로/JKB
180도	180/SN+도/NNB
주변	주변/NNG
포착이	포착/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
영상제작	영상/NNG+제작/NNG
방법을	방법/NNG+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.421.2.3
국무총리상에는 '곡물퍼핑장치'를 개발한 ㈜자인의 최기홍 이사와 '박막 소결 발향체의 제조방법'을 개발한 ㈜프라메코 주학식 대표이사가 선정됐다.

국무총리상에는	국무총리상/NNG+에/JKB+는/JX
'곡물퍼핑장치'를	'/SS+곡물/NNG+퍼핑/NNG+장치/NNG+'/SS+를/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
㈜자인의	㈜/SW+자인/NNP+의/JKG
최기홍	최기홍/NNP
이사와	이사/NNG+와/JC
'박막	'/SS+박막/NNG
소결	소결/NNG
발향체의	발향체/NNG+의/JKG
제조방법'을	제조/NNG+방법/NNG+'/SS+을/JKO
㈜프라메코	㈜/SW+프라메코/NNP
주학식	주학식/NNP
대표이사가	대표/NNG+이사/NNG+가/JKS
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


