# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.352
metadata : {}


# id : NWRW1800000032.352.1.1
북, 남북 당국자간 /무조건 회담 제안

북,	북/NNP+,/SP
남북	남북/NNP
당국자간	당국자/NNG+간/NNB
/무조건	//SP+무/XPN+조건/NNG
회담	회담/NNG
제안	제안/NNG


# id : NWRW1800000032.352.2.1
연합성명 “대화와 협상만이 난국타개 출로”

연합성명	연합/NNG+성명/NNG
“대화와	“/SS+대화/NNG+와/JC
협상만이	협상/NNG+만/JX+이/JKS
난국타개	난국/NNG+타개/NNG
출로”	출로/NNG+”/SS


# id : NWRW1800000032.352.3.1
통일부 “진정성 없다”…청와대쪽 “시간 필요”

통일부	통일부/NNG
“진정성	“/SS+진정/NNG+성/XSN
없다”…청와대쪽	없/VA+다/EF+”/SS+…/SE+청와대/NNP+쪽/NNB
“시간	“/SS+시간/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000032.352.4.1
북한이 새해 공동사설에서 ‘남북 대결 해소’를 촉구한 지 나흘 만인 5일 남북 당국간 무조건적 회담 개최를 제안했다.

북한이	북한/NNP+이/JKS
새해	새해/NNG
공동사설에서	공동/NNG+사설/NNG+에서/JKB
‘남북	‘/SS+남북/NNP
대결	대결/NNG
해소’를	해소/NNG+’/SS+를/JKO
촉구한	촉구/NNG+하/XSV+ㄴ/ETM
지	지/NNB
나흘	나흘/NNG
만인	만/NNB+이/VCP+ㄴ/ETM
5일	5/SN+일/NNB
남북	남북/NNP
당국간	당국/NNG+간/NNB
무조건적	무/XPN+조건/NNG+적/XSN
회담	회담/NNG
개최를	개최/NNG+를/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.352.5.1
북한은 이날 밤 발표한 ‘조선민주주의인민공화국 정부·정당·단체 연합성명’(연합성명)을 통해 “우리는 남조선당국을 포함하여 정당, 단체들과의 폭넓은 대화와 협상을 가질 것을 정중히 제의한다”며 “특히 실권과 책임을 가진 당국 사이의 회담을 무조건 조속히 개최할 것을 주장한다”고 밝혔다고 <조선중앙통신>이 보도했다.

북한은	북한/NNP+은/JX
이날	이날/NNG
밤	밤/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘조선민주주의인민공화국	‘/SS+조선민주주의인민공화국/NNP
정부·정당·단체	정부/NNG+·/SP+정당/NNG+·/SP+단체/NNG
연합성명’(연합성명)을	연합/NNG+성명/NNG+’/SS+(/SS+연합/NNG+성명/NNG+)/SS+을/JKO
통해	통하/VV+아/EC
“우리는	“/SS+우리/NP+는/JX
남조선당국을	남조선/NNP+당국/NNG+을/JKO
포함하여	포함/NNG+하/XSV+아/EC
정당,	정당/NNG+,/SP
단체들과의	단체/NNG+들/XSN+과/JKB+의/JKG
폭넓은	폭넓/VA+은/ETM
대화와	대화/NNG+와/JC
협상을	협상/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
정중히	정중히/MAG
제의한다”며	제의/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
실권과	실권/NNG+과/JC
책임을	책임/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
당국	당국/NNG
사이의	사이/NNG+의/JKG
회담을	회담/NNG+을/JKO
무조건	무/XPN+조건/NNG
조속히	조속히/MAG
개최할	개최/NNG+하/XSV+ㄹ/ETM
주장한다”고	주장/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
<조선중앙통신>이	</SS+조선중앙통신/NNP+>/SS+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.352.5.2
북쪽은 이 연합성명에서 “대화와 협상만이 현 난국을 타개할 수 있는 출로”라며 “우리는 대화와 협상, 접촉에서 긴장완화와 평화, 화해와 단합, 협력사업을 포함해 민족의 중대사와 관련한 모든 문제들을 협의·해결해 나갈 것”이라고 강조했다.

북쪽은	북쪽/NNG+은/JX
이	이/MMD
연합성명에서	연합/NNG+성명/NNG+에서/JKB
“대화와	“/SS+대화/NNG+와/JC
협상만이	협상/NNG+만/JX+이/JKS
현	현/MMD
난국을	난국/NNG+을/JKO
타개할	타개/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
출로”라며	출로/NNG+”/SS+이/VCP+라며/EC
“우리는	“/SS+우리/NP+는/JX
대화와	대화/NNG+와/JC
협상,	협상/NNG+,/SP
