# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.388
metadata : {}


# id : NWRW1800000022.388.1.1
[강원] 법원, 사북연세병원 가처분 신청 기각

[강원]	[/SS+강원/NNP+]/SS
법원,	법원/NNG+,/SP
사북연세병원	사북연세병원/NNP
가처분	가/XPN+처분/NNG
신청	신청/NNG
기각	기각/NNG


# id : NWRW1800000022.388.2.1
정선 사북연세병원의 산재의료기관 지정 취소를 막아달라는 폐광지역 진폐환자의 호소가 법원에서도 받아들여지지 않았다.

정선	정선/NNP
사북연세병원의	사북연세병원/NNP+의/JKG
산재의료기관	산재/NNG+의료/NNG+기관/NNG
지정	지정/NNG
취소를	취소/NNG+를/JKO
막아달라는	막/VV+아/EC+달/VX+라는/ETM
폐광지역	폐광/NNG+지역/NNG
진폐환자의	진폐/NNG+환자/NNG+의/JKG
호소가	호소/NNG+가/JKS
법원에서도	법원/NNG+에서/JKB+도/JX
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.388.3.1
춘천지법 행정부는 병원 직원의 비리로 산재의료기관 지위를 박탈당한 사북연세병원이 근로복지공단을 상대로 낸 산재의료기관 지정 취소 처분 효력정지 신청을 기각했다.

춘천지법	춘천지법/NNP
행정부는	행정부/NNG+는/JX
병원	병원/NNG
직원의	직원/NNG+의/JKG
비리로	비리/NNG+로/JKB
산재의료기관	산재/NNG+의료/NNG+기관/NNG
지위를	지위/NNG+를/JKO
박탈당한	박탈/NNG+당하/XSV+ㄴ/ETM
사북연세병원이	사북연세병원/NNP+이/JKS
근로복지공단을	근로복지공단/NNP+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
지정	지정/NNG
취소	취소/NNG
처분	처분/NNG
효력정지	효력/NNG+정지/NNG
신청을	신청/NNG+을/JKO
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.388.4.1
재판부는 결정문에서 "사북연세병원의 산재의료기관 취소로 회복할 수 없는 손해가 인정된다고 보기 어렵다"고 밝혔다.

재판부는	재판부/NNG+는/JX
결정문에서	결정문/NNG+에서/JKB
"사북연세병원의	"/SS+사북연세병원/NNP+의/JKG
산재의료기관	산재/NNG+의료/NNG+기관/NNG
취소로	취소/NNG+로/JKB
회복할	회복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
손해가	손해/NNG+가/JKS
인정된다고	인정/NNG+되/XSV+ㄴ다고/EC
보기	보/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.388.4.2
이어 "진폐환자는 직접적인 행정처분의 상대방이 아닌 만큼 별개의 문제로 봐야 한다"며 "진폐환자가 처한 상황을 효력정지 사유로 인정하기 어렵다"고 덧붙였다.

이어	이어/MAG
"진폐환자는	"/SS+진폐/NNG+환자/NNG+는/JX
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
행정처분의	행정/NNG+처분/NNG+의/JKG
상대방이	상대방/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
만큼	만큼/NNB
별개의	별개/NNG+의/JKG
문제로	문제/NNG+로/JKB
봐야	보/VV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"진폐환자가	"/SS+진폐/NNG+환자/NNG+가/JKS
처한	처하/VV+ㄴ/ETM
상황을	상황/NNG+을/JKO
효력정지	효력/NNG+정지/NNG
사유로	사유/NNG+로/JKB
인정하기	인정/NNG+하/XSV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.388.5.1
이번 기각 결정으로 병원에 입원 중인 170여명의 진폐환자는 산재의료기관이 있는 인근 지역 병원으로 옮겨야 한다.

이번	이번/NNG
기각	기각/NNG
결정으로	결정/NNG+으로/JKB
병원에	병원/NNG+에/JKB
입원	입원/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
170여명의	170/SN+여/XSN+명/NNB+의/JKG
진폐환자는	진폐/NNG+환자/NNG+는/JX
산재의료기관이	산재/NNG+의료/NNG+기관/NNG+이/JKS
있는	있/VA+는/ETM
인근	인근/NNG
지역	지역/NNG
병원으로	병원/NNG+으로/JKB
옮겨야	옮기/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.388.6.1
이 사건에 대한 법원의 본안 판단이 나올 때까지 당분간 진폐환자들의 불편은 가중될 전망이다.

이	이/MMD
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법원의	법원/NNG+의/JKG
본안	본안/NNG
판단이	판단/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
당분간	당분간/MAG
진폐환자들의	진폐/NNG+환자/NNG+들/XSN+의/JKG
불편은	불편/NNG+은/JX
가중될	가중/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.388.7.1
사북연세병원은 일부 직원이 돈을 받고 진폐등급 판정을 조작한 사실이 경찰 수사에서 드러나 지난달 8일 근로복지공단으로부터 산재의료기관 지정이 취소됐다.

사북연세병원은	사북연세병원/NNP+은/JX
일부	일부/NNG
직원이	직원/NNG+이/JKS
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
진폐등급	진폐/NNG+등급/NNG
판정을	판정/NNG+을/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
경찰	경찰/NNG
수사에서	수사/NNG+에서/JKB
드러나	드러나/VV+아/EC
지난달	지난달/NNG
8일	8/SN+일/NNB
근로복지공단으로부터	근로복지공단/NNP+으로부터/JKB
산재의료기관	산재/NNG+의료/NNG+기관/NNG
지정이	지정/NNG+이/JKS
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


