# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.53
metadata : {}


# id : NWRW1800000053.53.1.1
빈라덴 “서양은 도덕적 느슨” 일기에 기록

빈라덴	빈라덴/NNP
“서양은	“/SS+서양/NNG+은/JX
도덕적	도덕/NNG+적/XSN
느슨”	느슨/XR+”/SS
일기에	일기/NNG+에/JKB
기록	기록/NNG


# id : NWRW1800000053.53.2.1
CIA, 자료 47만여건 추가 공개… 228쪽짜리 개인 일기장 포함 PC엔 애니메이션 ‘톰과 제리’도

CIA,	CIA/SL+,/SP
자료	자료/NNG
47만여건	47/SN+만/NR+여/XSN+건/NNB
추가	추가/NNG
공개…	공개/NNG+…/SE
228쪽짜리	228/SN+쪽/NNG+짜리/XSN
개인	개인/NNG
일기장	일기장/NNG
포함	포함/NNG
PC엔	PC/SL+에/JKB+ㄴ/JX
애니메이션	애니메이션/NNG
‘톰과	‘/SS+톰/NNP+과/JC
제리’도	제리/NNP+’/SS+도/JX


# id : NWRW1800000053.53.3.1
9·11테러 주모자로 2011년 5월 파키스탄 은신처에서 미군 특수부대에 사살된 알카에다 지도자 오사마 빈라덴의 소장 자료 47만여 건이 1일 공개됐다.

9·11테러	9/SN+·/SP+11/SN+테러/NNG
주모자로	주모자/NNG+로/JKB
2011년	2011/SN+년/NNB
5월	5/SN+월/NNB
파키스탄	파키스탄/NNP
은신처에서	은신처/NNG+에서/JKB
미군	미군/NNG
특수부대에	특수/NNG+부대/NNG+에/JKB
사살된	사살/NNG+되/XSV+ㄴ/ETM
알카에다	알카에다/NNP
지도자	지도자/NNG
오사마	오사마/NNP
빈라덴의	빈라덴/NNP+의/JKG
소장	소장/NNG
자료	자료/NNG
47만여	47/SN+만/NR+여/XSN
건이	건/NNB+이/JKS
1일	1/SN+일/NNB
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.53.4.1
미국 중앙정보국(CIA)은 빈라덴의 자료를 2015년 5월부터 이번까지 네 차례 공개했는데, 이날 공개된 것이 가장 방대하다.

미국	미국/NNP
중앙정보국(CIA)은	중앙정보국/NNP+(/SS+CIA/SL+)/SS+은/JX
빈라덴의	빈라덴/NNP+의/JKG
자료를	자료/NNG+를/JKO
2015년	2015/SN+년/NNB
5월부터	5/SN+월/NNB+부터/JX
이번까지	이번/NNG+까지/JX
네	네/MMN
차례	차례/NNG
공개했는데,	공개/NNG+하/XSV+았/EP+는데/EC+,/SP
이날	이날/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
방대하다.	방대하/VA+다/EF+./SF


# id : NWRW1800000053.53.4.2
47만 건 중에는 이미지 및 음성 파일 7만9000개와 비디오 파일 1만여 개가 포함됐다.

47만	47/SN+만/NR
건	건/NNB
중에는	중/NNB+에/JKB+는/JX
이미지	이미지/NNG
및	및/MAG
음성	음성/NNG
파일	파일/NNG
7만9000개와	7/SN+만/NR+9000/SN+개/NNB+와/JC
비디오	비디오/NNG
1만여	1/SN+만/NR+여/XSN
개가	개/NNB+가/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.53.4.3
마이크 폼페이오 CIA 국장은 이날 “오늘 공개된 알카에다의 편지, 영상, 음성 파일 및 기타 자료를 통해 미 국민들이 테러 조직의 계획과 활동에 대해 더 깊은 통찰력을 얻게 될 것”이라고 밝혔다.

마이크	마이크/NNP
폼페이오	폼페이오/NNP
CIA	CIA/SL
국장은	국장/NNG+은/JX
이날	이날/NNG
“오늘	“/SS+오늘/MAG
공개된	공개/NNG+되/XSV+ㄴ/ETM
알카에다의	알카에다/NNP+의/JKG
편지,	편지/NNG+,/SP
영상,	영상/NNG+,/SP
음성	음성/NNG
파일	파일/NNG
및	및/MAG
기타	기타/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+아/EC
미	미/NNP
국민들이	국민/NNG+들/XSN+이/JKS
테러	테러/NNG
조직의	조직/NNG+의/JKG
계획과	계획/NNG+과/JC
활동에	활동/NNG+에/JKB
대해	대하/VV+아/EC
더	더/MAG
깊은	깊/VA+은/ETM
통찰력을	통찰력/NNG+을/JKO
얻게	얻/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.53.5.1
공개된 자료 중에 특히 눈길을 끄는 것은 228쪽짜리 빈라덴의 개인 일기장이다.

공개된	공개/NNG+되/XSV+ㄴ/ETM
자료	자료/NNG
중에	중/NNB+에/JKB
특히	특히/MAG
눈길을	눈길/NNG+을/JKO
끄는	끌/VV+는/ETM
것은	것/NNB+은/JX
228쪽짜리	228/SN+쪽/NNG+짜리/XSN
빈라덴의	빈라덴/NNP+의/JKG
개인	개인/NNG
일기장이다.	일기장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.53.5.2
그러나 CIA가 자료에 대해 어떠한 번역이나 설명을 제공하지 않아 일기 전체 내용이 알려지기까지는 다소 시간이 걸릴 것으로 보인다.

그러나	그러나/MAJ
CIA가	CIA/SL+가/JKS
자료에	자료/NNG+에/JKB
대해	대하/VV+아/EC
어떠한	어떠하/VA+ㄴ/ETM
번역이나	번역/NNG+이나/JC
설명을	설명/NNG+을/JKO
제공하지	제공/NNG+하/XSV+지/EC
않아	않/VX+아/EC
일기	일기/NNG
전체	전체/NNG
내용이	내용/NNG+이/JKS
알려지기까지는	알려지/VV+기/ETN+까지/JX+는/JX
다소	다소/MAG
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.53.5.3
다만 CIA로부터 미리 몇 가지 서류를 건네받았다는 미국의 웹사이트 ‘롱워저널’에 따르면 일기 속에는 빈라덴이 14세 때 10주간 영국을 방문했던 소감이 포함돼 있다.

다만	다만/MAG
CIA로부터	CIA/SL+로부터/JKB
미리	미리/MAG
몇	몇/NR
가지	가지/NNB
서류를	서류/NNG+를/JKO
건네받았다는	건네받/VV+았/EP+다는/ETM
미국의	미국/NNP+의/JKG
웹사이트	웹/NNG+사이트/NNG
‘롱워저널’에	‘/SS+롱워저널/NNP+’/SS+에/JKB
따르면	따르/VV+면/EC
일기	일기/NNG
속에는	속/NNG+에/JKB+는/JX
빈라덴이	빈라덴/NNP+이/JKS
14세	14/SN+세/NNB
때	때/NNG
10주간	10/SN+주/NNB+간/XSN
영국을	영국/NNP+을/JKO
방문했던	방문/NNG+하/XSV+았/EP+던/ETM
소감이	소감/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.53.6.1
빈라덴은 일기에 “매주 일요일 셰익스피어 생가를 찾았다.

빈라덴은	빈라덴/NNP+은/JX
일기에	일기/NNG+에/JKB
“매주	“/SS+매주/MAG
일요일	일요일/NNG
셰익스피어	셰익스피어/NNP
생가를	생가/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.53.6.2
하지만 아무런 감흥을 느끼지 못했다.

하지만	하지만/MAJ
아무런	아무런/MMD
감흥을	감흥/NNG+을/JKO
