# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.264
metadata : {}


# id : NWRW1800000022.264.1.1
[한국만의 문화] 디지털 도어록(door lock);디지털 맹신… 대문 열쇠 사라진 나라

[한국만의	[/SS+한국/NNP+만/JX+의/JKG
문화]	문화/NNG+]/SS
디지털	디지털/NNG
도어록(door	도어록/NNG+(/SS+door/SL
lock);디지털	lock/SL+)/SS+;/SP+디지털/NNG
맹신…	맹신/NNG+…/SE
대문	대문/NNG
열쇠	열쇠/NNG
사라진	사라지/VV+ㄴ/ETM
나라	나라/NNG


# id : NWRW1800000022.264.2.1
우리가 모르고 있는 사이 어느새 우리의 일상으로 자리 잡은 문화가 있다.

우리가	우리/NP+가/JKS
모르고	모르/VV+고/EC
있는	있/VX+는/ETM
사이	사이/NNG
어느새	어느새/MAG
우리의	우리/NP+의/JKG
일상으로	일상/NNG+으로/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
문화가	문화/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.264.2.2
급한 성미의 기질이 낳은 참신한 문화도 있고, 독특한 주거 문화가 낳은 기현상도 있다.

급한	급하/VA+ㄴ/ETM
성미의	성미/NNG+의/JKG
기질이	기질/NNG+이/JKS
낳은	낳/VV+은/ETM
참신한	참신하/VA+ㄴ/ETM
문화도	문화/NNG+도/JX
있고,	있/VA+고/EC+,/SP
독특한	독특/NNG+하/XSA+ㄴ/ETM
주거	주거/NNG
문화가	문화/NNG+가/JKS
기현상도	기현상/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.264.2.3
때로는 경쟁력으로, 때로는 왜곡된 사회 현상으로 나타나는 한국만의 문화를 짚어본다.

때로는	때로/MAG+는/JX
경쟁력으로,	경쟁력/NNG+으로/JKB+,/SP
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
사회	사회/NNG
현상으로	현상/NNG+으로/JKB
나타나는	나타나/VV+는/ETM
한국만의	한국/NNP+만/JX+의/JKG
문화를	문화/NNG+를/JKO
짚어본다.	짚/VV+어/EC+보/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.264.3.1
최근 독일 소도시 오버아마가우로 출장 간 회사원 이광수(36)씨, 호텔에서 웃지 못할 경험을 했다.

최근	최근/NNG
독일	독일/NNP
소도시	소/XPN+도시/NNG
오버아마가우로	오버아마가우/NNP+로/JKB
출장	출장/NNG
간	가/VV+ㄴ/ETM
회사원	회사원/NNG
이광수(36)씨,	이광수/NNP+(/SS+36/SN+)/SS+씨/NNB+,/SP
호텔에서	호텔/NNG+에서/JKB
웃지	웃/VV+지/EC
못할	못하/VX+ㄹ/ETM
