# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.7
metadata : {}


# id : NWRW1800000032.7.1.1
동물병원도 ‘SSM<기업형 슈퍼> 논쟁’

동물병원도	동물/NNG+병원/NNG+도/JX
‘SSM<기업형	‘/SS+SSM/SL+</SS+기업/NNG+형/XSN
슈퍼>	슈퍼/NNG+>/SS
논쟁’	논쟁/NNG+’/SS


# id : NWRW1800000032.7.2.1
대한제분, 초호화 병원 열어 서울시수의사협회 공개 비판

대한제분,	대한제분/NNP+,/SP
초호화	초/XPN+호화/NNG
병원	병원/NNG
열어	열/VV+어/EC
서울시수의사협회	서울시수의사협회/NNP
공개	공개/NNG
비판	비판/NNG


# id : NWRW1800000032.7.3.1
밀가루 생산업체가 동물병원을 차린 까닭은?

밀가루	밀가루/NNG
생산업체가	생산업체/NNG+가/JKS
동물병원을	동물/NNG+병원/NNG+을/JKO
차린	차리/VV+ㄴ/ETM
까닭은?	까닭/NNG+은/JX+?/SF


# id : NWRW1800000032.7.4.1
9일 서울 청담동 옛 엠넷빌딩에 동물병원과 호텔, 미용실, 애견용품점, 카페 등 반려동물 관련 매장을 한데 묶은 ‘이리온’ 1호점이 문을 열었다.

9일	9/SN+일/NNB
서울	서울/NNP
청담동	청담동/NNP
옛	옛/MMA
엠넷빌딩에	엠넷빌딩/NNP+에/JKB
동물병원과	동물/NNG+병원/NNG+과/JC
호텔,	호텔/NNG+,/SP
미용실,	미용실/NNG+,/SP
애견용품점,	애견용품점/NNG+,/SP
카페	카페/NNG
등	등/NNB
반려동물	반려동물/NNG
관련	관련/NNG
매장을	매장/NNG+을/JKO
한데	한데/NNG
묶은	묶/VV+은/ETM
‘이리온’	‘/SS+이리온/NNP+’/SS
1호점이	1/SN+호점/NNB+이/JKS
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.7.4.2
건물 1~2층에 모두 212㎡ 규모로 꾸민 이리온은 1층에는 반려견을 대신 돌봐주는 전용 호텔과 삼성에버랜드 출신 전문 트레이너가 놀이·산책을 시켜주는 유치원, 주인과 반려동물이 함께 있을 수 있는 카페, 스파 서비스가 가능한 미용실, 그리고 반려동물 용품 매장이 들어섰다.

건물	건물/NNG
1~2층에	1/SN+~/SO+2/SN+층/NNG+에/JKB
모두	모두/MAG
212㎡	212/SN+㎡/SW
규모로	규모/NNG+로/JKB
꾸민	꾸미/VV+ㄴ/ETM
이리온은	이리온/NNP+은/JX
1층에는	1/SN+층/NNG+에/JKB+는/JX
반려견을	반려견/NNG+을/JKO
대신	대신/NNG
돌봐주는	돌보/VV+아/EC+주/VX+는/ETM
전용	전용/NNG
호텔과	호텔/NNG+과/JC
삼성에버랜드	삼성에버랜드/NNP
출신	출신/NNG
전문	전문/NNG
