# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.32
metadata : {}


# id : NWRW1800000036.32.1.1
현대차, 피아트의 실패에서 배운다

현대차,	현대차/NNP+,/SP
피아트의	피아트/NNP+의/JKG
실패에서	실패/NNG+에서/JKB
배운다	배우/VV+ㄴ다/EF


# id : NWRW1800000036.32.2.1
[한겨레] 수입차 국내시장 9.9% 점유…5년새 2배 뛰어

[한겨레]	[/SS+한겨레/NNP+]/SS
수입차	수입차/NNG
국내시장	국내/NNG+시장/NNG
9.9%	9/SN+./SP+9/SN+%/SW
점유…5년새	점유/NNG+…/SE+5/SN+년/NNB+새/NNG
2배	2/SN+배/NNG
뛰어	뛰/VV+어/EF


# id : NWRW1800000036.32.3.1
고객 불만 큰 ‘과잉정비 근절’ 등 서비스 강화

고객	고객/NNG
불만	불만/NNG
큰	크/VA+ㄴ/ETM
‘과잉정비	‘/SS+과잉/NNG+정비/NNG
근절’	근절/NNG+’/SS
등	등/NNB
서비스	서비스/NNG
강화	강화/NNG


# id : NWRW1800000036.32.4.1
국내 완성차 업계 부동의 1위 현대자동차의 요즘 속사정은 한 마디로 다급함이다.

국내	국내/NNG
완성차	완성차/NNG
업계	업계/NNG
부동의	부동/NNG+의/JKG
1위	1/SN+위/NNB
현대자동차의	현대자동차/NNP+의/JKG
요즘	요즘/NNG
속사정은	속사정/NNG+은/JX
한	한/MMN
마디로	마디/NNG+로/JKB
다급함이다.	다급하/VA+ㅁ/ETN+이/VCP+다/EF+./SF


# id : NWRW1800000036.32.4.2
북미와 유럽 등 주요 국외 시장에선 고른 성장을 하고 있는 것과 달리, 내수 시장에선 가랑비에 옷 젖듯이 수입 브랜드에 시장 지배력을 내어주고 있는 탓이다.

북미와	북미/NNP+와/JC
유럽	유럽/NNP
등	등/NNB
주요	주요/NNG
국외	국외/NNG
시장에선	시장/NNG+에서/JKB+ㄴ/JX
고른	고르/VA+ㄴ/ETM
성장을	성장/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
달리,	달리/MAG+,/SP
내수	내수/NNG
가랑비에	가랑비/NNG+에/JKB
옷	옷/NNG
젖듯이	젖/VV+듯이/EC
수입	수입/NNG
브랜드에	브랜드/NNG+에/JKB
시장	시장/NNG
지배력을	지배력/NNG+을/JKO
내어주고	내/VV+어/EC+주/VX+고/EC
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.32.5.1
“현대차가 해외에서 아무리 잘 나간다고 해도 우리나라 시장, 우리나라 고객에게 인정받지 못하면 무슨 의미가 있겠나.”

“현대차가	“/SS+현대차/NNP+가/JKS
해외에서	해외/NNG+에서/JKB
아무리	아무리/MAG
잘	잘/MAG
나간다고	나가/VV+ㄴ다고/EC
해도	하/VV+아도/EC
우리나라	우리나라/NNG
시장,	시장/NNG+,/SP
고객에게	고객/NNG+에게/JKB
인정받지	인정/NNG+받/XSV+지/EC
못하면	못하/VX+면/EC
무슨	무슨/MMD
의미가	의미/NNG+가/JKS
있겠나.”	있/VA+겠/EP+나/EF+./SF+”/SS


# id : NWRW1800000036.32.5.2
