# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.371
metadata : {}


# id : NWRW1800000029.371.1.1
與 “등록금 1조5000억 지원”

與	與/SH
“등록금	“/SS+등록금/NNG
1조5000억	1/SN+조/NR+5000/SN+억/NR
지원”	지원/NNG+”/SS


# id : NWRW1800000029.371.2.1
이르면 오늘 종합대책 발표… 재정부선 난색

이르면	이르/VA+면/EC
오늘	오늘/MAG
종합대책	종합/NNG+대책/NNG
발표…	발표/NNG+…/SE
재정부선	재정부/NNG+서/JKB+ㄴ/JX
난색	난색/NNG


# id : NWRW1800000029.371.3.1
한나라당이 이르면 23일 대학 등록금 부담 완화를 위한 종합대책을 발표할 것으로 알려졌다.

한나라당이	한나라당/NNP+이/JKS
이르면	이르/VA+면/EC
23일	23/SN+일/NNB
대학	대학/NNG
등록금	등록금/NNG
부담	부담/NNG
완화를	완화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
종합대책을	종합/NNG+대책/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.371.3.2
이 대책은 대학 등록금 지원을 위해 내년 1조5000억 원의 예산을 추가 투입하는 방안이 핵심인 것으로 전해졌다.

이	이/MMD
대책은	대책/NNG+은/JX
대학	대학/NNG
등록금	등록금/NNG
지원을	지원/NNG+을/JKO
위해	위하/VV+아/EC
내년	내년/NNG
1조5000억	1/SN+조/NR+5000/SN+억/NR
원의	원/NNB+의/JKG
예산을	예산/NNG+을/JKO
추가	추가/NNG
투입하는	투입/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.371.4.1
한나라당 고위 관계자는 22일 “그동안 교육과학기술부, 기획재정부 관계자들과 연쇄 접촉해 등록금 완화 방안을 논의해 왔다”며 “오늘 당 차원에서 최종 발표 방안을 조율했다”고 말했다.

한나라당	한나라당/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
22일	22/SN+일/NNB
“그동안	“/SS+그동안/NNG
교육과학기술부,	교육/NNG+과학/NNG+기술부/NNG+,/SP
기획재정부	기획/NNG+재정부/NNG
관계자들과	관계자/NNG+들/XSN+과/JKB
연쇄	연쇄/NNG
접촉해	접촉/NNG+하/XSV+아/EC
등록금	등록금/NNG
완화	완화/NNG
방안을	방안/NNG+을/JKO
논의해	논의/NNG+하/XSV+아/EC
왔다”며	오/VX+았/EP+다/EF+”/SS+며/EC
“오늘	“/SS+오늘/MAG
당	당/NNG
차원에서	차원/NNG+에서/JKB
최종	최종/NNG
발표	발표/NNG
조율했다”고	조율/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.371.5.1
한나라당은 내년에 추가 반영될 1조5000억 원의 예산을 명목 등록금 인하와 국가장학금 확대 등에 투입하겠다는 계획이다.

한나라당은	한나라당/NNP+은/JX
내년에	내년/NNG+에/JKB
추가	추가/NNG
반영될	반영/NNG+되/XSV+ㄹ/ETM
1조5000억	1/SN+조/NR+5000/SN+억/NR
원의	원/NNB+의/JKG
예산을	예산/NNG+을/JKO
명목	명목/NNG
등록금	등록금/NNG
인하와	인하/NNG+와/JC
국가장학금	국가/NNG+장학금/NNG
확대	확대/NNG
등에	등/NNB+에/JKB
투입하겠다는	투입/NNG+하/XSV+겠/EP+다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.371.5.2
우리나라 등록금 총액은 국·공립대와 사립대(전문대 포함)를 합해 총 14조 원 규모다.

우리나라	우리나라/NNG
등록금	등록금/NNG
총액은	총액/NNG+은/JX
국·공립대와	국·공립대/NNG+와/JC
사립대(전문대	사립대/NNG+(/SS+전문대/NNG
포함)를	포함/NNG+)/SS+를/JKO
합해	합/NNG+하/XSV+아/EC
총	총/MMA
14조	14/SN+조/NR
원	원/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.371.5.3
당은 ‘반값 등록금’을 실현하려면 7조 원의 예산이 필요하지만 국가장학금과 각 대학 장학금 등으로 4조 원이 이미 지원되고 있는 만큼 3조 원이 추가로 필요할 것으로 추산하고 있다.

당은	당/NNG+은/JX
‘반값	‘/SS+반값/NNG
등록금’을	등록금/NNG+’/SS+을/JKO
실현하려면	실현/NNG+하/XSV+려면/EC
7조	7/SN+조/NR
원의	원/NNB+의/JKG
예산이	예산/NNG+이/JKS
필요하지만	필요/NNG+하/XSA+지만/EC
국가장학금과	국가/NNG+장학금/NNG+과/JC
각	각/MMD
대학	대학/NNG
장학금	장학금/NNG
등으로	등/NNB+으로/JKB
4조	4/SN+조/NR
원이	원/NNB+이/JKS
이미	이미/MAG
지원되고	지원/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
3조	3/SN+조/NR
추가로	추가/NNG+로/JKB
필요할	필요/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산하고	추산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.371.5.4
내년에 1조5000억 원을 투입하면 목표치의 절반을 충당할 수 있다는 계산이다.

내년에	내년/NNG+에/JKB
1조5000억	1/SN+조/NR+5000/SN+억/NR
원을	원/NNB+을/JKO
투입하면	투입/NNG+하/XSV+면/EC
목표치의	목표/NNG+치/XSN+의/JKG
절반을	절반/NNG+을/JKO
충당할	충당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
계산이다.	계산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.371.5.5
한나라당은 앞으로 5년 동안 단계적으로 지원 예산을 늘려 실질적인 등록금 부담을 절반으로 줄이겠다는 구상이다.

한나라당은	한나라당/NNP+은/JX
앞으로	앞/NNG+으로/JKB
5년	5/SN+년/NNB
동안	동안/NNG
단계적으로	단계/NNG+적/XSN+으로/JKB
지원	지원/NNG
예산을	예산/NNG+을/JKO
늘려	늘리/VV+어/EC
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
등록금	등록금/NNG
부담을	부담/NNG+을/JKO
절반으로	절반/NNG+으로/JKB
줄이겠다는	줄이/VV+겠/EP+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.371.6.1
그러나 당정 협의 과정에서 재정부는 재정 부담 등을 이유로 난색을 표한 것으로 알려졌다.

그러나	그러나/MAJ
당정	당정/NNG
협의	협의/NNG
과정에서	과정/NNG+에서/JKB
재정부는	재정부/NNG+는/JX
재정	재정/NNG
부담	부담/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
난색을	난색/NNG+을/JKO
표한	표/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.371.6.2
청와대 측도 “27일 이명박 대통령과 손학규 민주당 대표의 회동을 앞두고 당이 먼저 발표하면 민주당이 반발할 것”이라며 ‘회동 전 발표’에 반대하고 있다.

청와대	청와대/NNP
측도	측/NNB+도/JX
“27일	“/SS+27/SN+일/NNB
이명박	이명박/NNP
대통령과	대통령/NNG+과/JC
손학규	손학규/NNP
민주당	민주당/NNP
대표의	대표/NNG+의/JKG
회동을	회동/NNG+을/JKO
앞두고	앞두/VV+고/EC
당이	당/NNG+이/JKS
먼저	먼저/MAG
발표하면	발표/NNG+하/XSV+면/EC
민주당이	민주당/NNP+이/JKS
반발할	반발/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
‘회동	‘/SS+회동/NNG
전	전/NNG
발표’에	발표/NNG+’/SS+에/JKB
반대하고	반대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


