# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.359
metadata : {}


# id : NWRW1800000026.359.1.1
[충청] "태안 패류 건강도 완전히 회복 못해";정부 오염영향조사 설명

[충청]	[/SS+충청/NNP+]/SS
"태안	"/SS+태안/NNP
패류	패류/NNG
건강도	건강도/NNG
완전히	완전히/MAG
회복	회복/NNG
못해";정부	못/MAG+하/VV+아/EF+"/SS+;/SW+정부/NNG
오염영향조사	오염/NNG+영향/NNG+조사/NNG
설명	설명/NNG


# id : NWRW1800000026.359.2.1
2007년 기름유출 사고를 겪은 충남 태안지역 해양환경이 지속적으로 나아지고 있지만 일부 지역에서 여전히 기름성분이 검출되고 있는 것으로 나타났다.

2007년	2007/SN+년/NNB
기름유출	기름/NNG+유출/NNG
사고를	사고/NNG+를/JKO
겪은	겪/VV+은/ETM
충남	충남/NNP
태안지역	태안/NNP+지역/NNG
해양환경이	해양/NNG+환경/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
나아지고	나아지/VV+고/EC
있지만	있/VX+지만/EC
일부	일부/NNG
지역에서	지역/NNG+에서/JKB
여전히	여전히/MAG
기름성분이	기름/NNG+성분/NNG+이/JKS
검출되고	검출/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.359.3.1
국토해양부 이재영 사무관은 3일 충남 태안문예회관에서 태안주민 500여명이 참석한 가운데 열린 '유류오염사고 오염영향조사 및 특별해양복원계획 관련 정부 3개부처 추진현황 설명회'에서 지난해 4~9월 실시한 오염영향조사 결과 발표를 통해 이같이 밝혔다.

국토해양부	국토/NNG+해양부/NNG
이재영	이재영/NNP
사무관은	사무관/NNG+은/JX
3일	3/SN+일/NNB
충남	충남/NNP
태안문예회관에서	태안문예회관/NNP+에서/JKB
태안주민	태안/NNP+주민/NNG
500여명이	500/SN+여/XSN+명/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
열린	열리/VV+ㄴ/ETM
'유류오염사고	'/SS+유류/NNG+오염/NNG+사고/NNG
오염영향조사	오염/NNG+영향/NNG+조사/NNG
및	및/MAG
특별해양복원계획	특별/NNG+해양/NNG+복원/NNG+계획/NNG
관련	관련/NNG
정부	정부/NNG
3개부처	3/SN+개/NNB+부처/NNG
추진현황	추진/NNG+현황/NNG
설명회'에서	설명회/NNG+'/SS+에서/JKB
지난해	지난해/NNG
4~9월	4/SN+~/SO+9/SN+월/NNB
실시한	실시/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
발표를	발표/NNG+를/JKO
통해	통하/VV+아/EC
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.359.4.1
이 사무관은 "태안 인근 바다환경 오염영향 조사 결과, 해수수질이 기준수준(10ppb) 이하로 사고 이전과 유사 수준으로 회복되는 등 2007년 12월~2008년 12월의 1차 조사결과보다 전반적으로 나아졌다"며 "발암물질로 알려진 16종의 다환방향족탄화수소(PAHs) 농도는 사고 초기보다 평균 20분의 1로 줄었다"고 설명했다.

이	이/NNP
사무관은	사무관/NNG+은/JX
"태안	"/SS+태안/NNP
인근	인근/NNG
바다환경	바다/NNG+환경/NNG
오염영향	오염/NNG+영향/NNG
조사	조사/NNG
결과,	결과/NNG+,/SP
해수수질이	해수/NNG+수질/NNG+이/JKS
기준수준(10ppb)	기준/NNG+수준/NNG+(/SS+10/SN+ppb/SW+)/SS
이하로	이하/NNG+로/JKB
사고	사고/NNG
이전과	이전/NNG+과/JKB
유사	유사/NNG
