# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.113
metadata : {}


# id : NWRW1800000032.113.1.1
푸틴·메드베데프, 사진 집착 까닭은

푸틴·메드베데프,	푸틴/NNP+·/SP+메드베데프/NNP+,/SP
사진	사진/NNG
집착	집착/NNG
까닭은	까닭/NNG+은/JX


# id : NWRW1800000032.113.2.1
정책보다 개인 인기 앞세워

정책보다	정책/NNG+보다/JKB
개인	개인/NNG
인기	인기/NNG
앞세워	앞세우/VV+어/EC


# id : NWRW1800000032.113.3.1
비밀여론조사 대선경쟁 열기

비밀여론조사	비밀/NNG+여론/NNG+조사/NNG
대선경쟁	대선/NNG+경쟁/NNG
열기	열기/NNG


# id : NWRW1800000032.113.4.1
17·18일치 전세계 주요 신문들에선 러시아의 드미트리 메드베데프 대통령과 블라디미르 푸틴 총리의 낚시질 사진이 단연 화제였다.

17·18일치	17/SN+·/SP+18/SN+일/NNB+치/NNB
전세계	전/MMN+세계/NNG
주요	주요/NNG
신문들에선	신문/NNG+들/XSN+에서/JKB+ㄴ/JX
러시아의	러시아/NNP+의/JKG
드미트리	드미트리/NNP
메드베데프	메드베데프/NNP
대통령과	대통령/NNG+과/JC
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
총리의	총리/NNG+의/JKG
낚시질	낚시/NNG+질/XSN
사진이	사진/NNG+이/JKS
단연	단연/MAG
화제였다.	화제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.113.4.2
이 둘이 앞서거니 뒤서거니 찍힌 다양한 컷은 대선후보 결정과 맞물려 구구한 해석을 낳았다.

이	이/MMD
둘이	둘/NR+이/JKS
앞서거니	앞서/VV+거니/EC
뒤서거니	뒤서/VV+거니/EC
찍힌	찍히/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
컷은	컷/NNG+은/JX
대선후보	대선/NNG+후보/NNG
결정과	결정/NNG+과/JKB
맞물려	맞물리/VV+어/EC
구구한	구구하/VA+ㄴ/ETM
해석을	해석/NNG+을/JKO
낳았다.	낳/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.113.5.1
사실 이런 사진은 하루가 멀다 하고 나온다.

