# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.243
metadata : {}


# id : NWRW1800000054.243.1.1
[행복한 기부, 아너 소사이어티 10년] (3) 파급력 10배… 스타들의 기부

[행복한	[/SS+행복/NNG+하/XSA+ㄴ/ETM
기부,	기부/NNG+,/SP
아너	아너/NNG
소사이어티	소사이어티/NNG
10년]	10/SN+년/NNB+]/SS
(3)	(/SS+3/SN+)/SS
파급력	파급력/NNG
10배…	10/SN+배/NNG+…/SE
스타들의	스타/NNG+들/XSN+의/JKG
기부	기부/NNG


# id : NWRW1800000054.243.2.1
"나눔의 기쁨 알릴 수 있는 게 연예인 장점이죠"

"나눔의	"/SS+나눔/NNG+의/JKG
기쁨	기쁨/NNG
알릴	알리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
연예인	연예인/NNG
장점이죠"	장점/NNG+이/VCP+죠/EF+"/SS


# id : NWRW1800000054.243.3.1
소녀시대 윤아(28)를 지난달 16일 경기 성남 카페의 거리에서 만났다.

소녀시대	소녀시대/NNP
윤아(28)를	윤아/NNP+(/SS+28/SN+)/SS+를/JKO
지난달	지난달/NNG
16일	16/SN+일/NNB
경기	경기/NNP
성남	성남/NNP
카페의	카페/NNG+의/JKG
거리에서	거리/NNG+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.3.2
이날 윤아는 나눔과 관심이 사회를 따뜻하게 한다는 내용의 사랑의열매 연말 광고에 모델로 참여했다.

이날	이날/NNG
윤아는	윤아/NNP+는/JX
나눔과	나누/VV+ㅁ/ETN+과/JC
관심이	관심/NNG+이/JKS
사회를	사회/NNG+를/JKO
따뜻하게	따뜻하/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
내용의	내용/NNG+의/JKG
사랑의열매	사랑의열매/NNP
연말	연말/NNG
광고에	광고/NNG+에/JKB
모델로	모델/NNG+로/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.3.3
사회복지공동모금회가 "연말에 기부 활동을 알리는 일에 도움을 달라"고 제안하자 윤아가 선뜻 재능 기부에 나선 것이다.

사회복지공동모금회가	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+가/JKS
"연말에	"/SS+연말/NNG+에/JKB
기부	기부/NNG
활동을	활동/NNG+을/JKO
알리는	알리/VV+는/ETM
일에	일/NNG+에/JKB
도움을	도움/NNG+을/JKO
달라"고	달/VV+라/EF+"/SS+고/JKQ
제안하자	제안/NNG+하/XSV+자/EC
윤아가	윤아/NNP+가/JKS
선뜻	선뜻/MAG
재능	재능/NNG
기부에	기부/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.243.3.4
윤아는 "나눔 문화 퍼뜨리는 일에 동참하고 싶다는 마음이 늘 있었는데, 좋은 기회를 주셔서 오히려 감사했다"고 말했다.

윤아는	윤아/NNP+는/JX
"나눔	"/SS+나눔/NNG
문화	문화/NNG
퍼뜨리는	퍼뜨리/VV+는/ETM
일에	일/NNG+에/JKB
동참하고	동참/NNG+하/XSV+고/EC
싶다는	싶/VX+다는/ETM
마음이	마음/NNG+이/JKS
늘	늘/MAG
있었는데,	있/VA+었/EP+는데/EC+,/SP
좋은	좋/VA+은/ETM
기회를	기회/NNG+를/JKO
주셔서	주/VV+시/EP+어서/EC
오히려	오히려/MAG
감사했다"고	감사/NNG+하/XSA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.3.5
이날 촬영한 광고는 지난 5일부터 TV와 유튜브를 통해 전파를 타고 있다.

이날	이날/NNG
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
광고는	광고/NNG+는/JX
지난	지나/VV+ㄴ/ETM
5일부터	5/SN+일/NNB+부터/JX
TV와	TV/SL+와/JC
유튜브를	유튜브/NNP+를/JKO
통해	통하/VV+아/EC
전파를	전파/NNG+를/JKO
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.243.3.6
쌀쌀한 겨울날 윤아가 한 소녀에게 빨간 목도리를 둘러주자 아이 얼굴에 생기가 돌아오고 웃음꽃이 피어나는 내용이다.

쌀쌀한	쌀쌀하/VA+ㄴ/ETM
겨울날	겨울날/NNG
윤아가	윤아/NNP+가/JKS
한	한/MMN
소녀에게	소녀/NNG+에게/JKB
빨간	빨갛/VA+ㄴ/ETM
목도리를	목도리/NNG+를/JKO
둘러주자	두르/VV+어/EC+주/VX+자/EC
아이	아이/NNG
얼굴에	얼굴/NNG+에/JKB
생기가	생기/NNG+가/JKS
돌아오고	돌아오/VV+고/EC
웃음꽃이	웃음꽃/NNG+이/JKS
피어나는	피어나/VV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.243.4.1
윤아는 평소에도 재난 피해자나 어려운 이웃을 돕는 일을 마다하지 않고 있다.

윤아는	윤아/NNP+는/JX
평소에도	평소/NNG+에/JKB+도/JX
재난	재난/NNG
피해자나	피해자/NNG+나/JC
어려운	어렵/VA+ㄴ/ETM
이웃을	이웃/NNG+을/JKO
돕는	돕/VV+는/ETM
일을	일/NNG+을/JKO
마다하지	마다하/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.243.4.2
윤아는 "ARS 전화로 조금씩 성금을 보내면서 소심하게 기부 활동을 시작했는데 어느덧 기부금이 1억원을 넘겨 아너 회원까지 됐다"고 말했다.

윤아는	윤아/NNP+는/JX
"ARS	"/SS+ARS/SL
전화로	전화/NNG+로/JKB
조금씩	조금/NNG+씩/XSN
성금을	성금/NNG+을/JKO
보내면서	보내/VV+면서/EC
소심하게	소심하/VA+게/EC
기부	기부/NNG
활동을	활동/NNG+을/JKO
시작했는데	시작/NNG+하/XSV+았/EP+는데/EC
어느덧	어느덧/MAG
기부금이	기부금/NNG+이/JKS
1억원을	1/SN+억/NR+원/NNB+을/JKO
넘겨	넘기/VV+어/EC
아너	아너/NNG
회원까지	회원/NNG+까지/JX
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.4.3
윤아는 지난 2015년 1억원 이상 기부자 모임인 아너 소사이어티에 가입했다.

윤아는	윤아/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2015년	2015/SN+년/NNB
1억원	1/SN+억/NR+원/NNB
이상	이상/NNG
기부자	기부자/NNG
모임인	모임/NNG+이/VCP+ㄴ/ETM
아너	아너/NNG
소사이어티에	소사이어티/NNG+에/JKB
가입했다.	가입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.4.4
2010년부터 꾸준히 기부 활동을 해왔는데, 기부액이 1억원을 넘기자 모금회가 가입을 제안했다.

2010년부터	2010/SN+년/NNB+부터/JX
꾸준히	꾸준히/MAG
기부	기부/NNG
활동을	활동/NNG+을/JKO
해왔는데,	하/VV+아/EC+오/VX+았/EP+는데/EC+,/SP
기부액이	기부액/NNG+이/JKS
1억원을	1/SN+억/NR+원/NNB+을/JKO
넘기자	넘기/VV+자/EC
모금회가	모금회/NNG+가/JKS
가입을	가입/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.4.5
윤아는 "모임에 들어가 보니 좋은 일 하는 따뜻한 분들이 정말 많았다"며 "저절로 평소에 더 베풀면서 살아야겠다는 자극을 받게 되더라"고 말했다.

윤아는	윤아/NNP+는/JX
"모임에	"/SS+모임/NNG+에/JKB
들어가	들어가/VV+아/EC
보니	보/VX+니/EC
좋은	좋/VA+은/ETM
일	일/NNG
하는	하/VV+는/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
분들이	분/NNB+들/XSN+이/JKS
정말	정말/MAG
많았다"며	많/VA+았/EP+다/EF+"/SS+며/EC
"저절로	"/SS+저절로/MAG
평소에	평소/NNG+에/JKB
더	더/MAG
베풀면서	베풀/VV+면서/EC
살아야겠다는	살/VV+아야/EC+하/VX+겠/EP+다는/ETM
자극을	자극/NNG+을/JKO
받게	받/VV+게/EC
되더라"고	되/VV+더라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.5.1
윤아는 "좀 더 많은 사람에게 나눔의 기쁨을 알릴 수 있다는 게 연예인이란 직업의 장점 같다"고 했다.

윤아는	윤아/NNP+는/JX
"좀	"/SS+좀/MAG
더	더/MAG
많은	많/VA+은/ETM
사람에게	사람/NNG+에게/JKB
나눔의	나눔/NNG+의/JKG
기쁨을	기쁨/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
연예인이란	연예인/NNG+이/VCP+란/ETM
직업의	직업/NNG+의/JKG
장점	장점/NNG
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.5.2
윤아는 팬들이 기념일에 '소녀시대 윤아' 혹은 '윤아 팬클럽'이란 이름으로 기부나 봉사 활동에 참여하는 모습을 볼 때 큰 기쁨을 느낀다고 했다.

윤아는	윤아/NNP+는/JX
팬들이	팬/NNG+들/XSN+이/JKS
기념일에	기념일/NNG+에/JKB
'소녀시대	'/SS+소녀시대/NNP
윤아'	윤아/NNP+'/SS
혹은	혹은/MAG
'윤아	'/SS+윤아/NNP
팬클럽'이란	팬클럽/NNG+'/SS+이/VCP+란/ETM
이름으로	이름/NNG+으로/JKB
기부나	기부/NNG+나/JC
봉사	봉사/NNG
활동에	활동/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
큰	크/VA+ㄴ/ETM
기쁨을	기쁨/NNG+을/JKO
느낀다고	느끼/VV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.5.3
윤아 팬클럽은 올해 6월 윤아 데뷔 10주년을 기념해 자선 사진 전시회를 열고, 그 수익금 1900여만원을 어려운 아동을 돕는 일에 써달라며 기부했다.

윤아	윤아/NNP
팬클럽은	팬클럽/NNG+은/JX
올해	올해/NNG
6월	6/SN+월/NNB
데뷔	데뷔/NNG
10주년을	10/SN+주년/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
자선	자선/NNG
사진	사진/NNG
전시회를	전시회/NNG+를/JKO
열고,	열/VV+고/EC+,/SP
그	그/MMD
수익금	수익금/NNG
1900여만원을	1900/SN+여/XSN+만/NR+원/NNB+을/JKO
어려운	어렵/VA+ㄴ/ETM
아동을	아동/NNG+을/JKO
돕는	돕/VV+는/ETM
일에	일/NNG+에/JKB
써달라며	쓰/VV+어/EC+달/VX+라며/EC
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.5.4
그는 "사회에서 많은 사랑을 받고 있으니까 제가 받은 만큼 사회에 돌려드리고 싶다"며 "제가 생각하는 나눔은 '따뜻함'이에요" 라고 말했다.

그는	그/NP+는/JX
"사회에서	"/SS+사회/NNG+에서/JKB
많은	많/VA+은/ETM
사랑을	사랑/NNG+을/JKO
받고	받/VV+고/EC
있으니까	있/VX+으니까/EC
제가	제/NP+가/JKS
받은	받/VV+은/ETM
만큼	만큼/NNB
사회에	사회/NNG+에/JKB
돌려드리고	돌리/VV+어/EC+드리/VX+고/EC
싶다"며	싶/VX+다/EF+"/SS+며/EC
"제가	"/SS+제/NP+가/JKS
생각하는	생각/NNG+하/XSV+는/ETM
나눔은	나눔/NNG+은/JX
'따뜻함'이에요"	'/SS+따뜻하/VA+ㅁ/ETN+'/SS+이/VCP+에요/EF+"/SS
라고	라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.6.1
축구 스타 박지성, 프로골퍼 박인비부터 가수 겸 배우 수지, 영화배우 신민아까지 많은 스타들이 통 큰 기부 행렬에 동참했다.

축구	축구/NNG
스타	스타/NNG
박지성,	박지성/NNP+,/SP
프로골퍼	프로/NNG+골퍼/NNG
박인비부터	박인비/NNP+부터/JX
가수	가수/NNG
겸	겸/NNB
배우	배우/NNG
수지,	수지/NNP+,/SP
영화배우	영화배우/NNG
신민아까지	신민아/NNP+까지/JX
많은	많/VA+은/ETM
스타들이	스타/NNG+들/XSN+이/JKS
통	통/NNG
큰	크/VA+ㄴ/ETM
기부	기부/NNG
행렬에	행렬/NNG+에/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.6.2
지금까지 아너에 가입한 연예인·스포츠인은 모두 38명이다.

지금까지	지금/NNG+까지/JX
아너에	아너/NNG+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
연예인·스포츠인은	연예인/NNG+·/SP+스포츠인/NNG+은/JX
모두	모두/MAG
38명이다.	38/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.243.6.3
아너 회원 1687명 중 2%에 불과하지만, 나눔 문화를 퍼뜨리는 파급력의 비중은 그보다 크다.

아너	아너/NNG
회원	회원/NNG
1687명	1687/SN+명/NNB
중	중/NNB
2%에	2/SN+%/SW+에/JKB
불과하지만,	불과/MAG+하/XSA+지만/EC+,/SP
나눔	나눔/NNG
문화를	문화/NNG+를/JKO
퍼뜨리는	퍼뜨리/VV+는/ETM
파급력의	파급력/NNG+의/JKG
비중은	비중/NNG+은/JX
그보다	그/NP+보다/JKB
크다.	크/VA+다/EF+./SF


# id : NWRW1800000054.243.6.4
공동모금회는 아너 소사이어티와 관련한 언론 보도 1만1000여건을 분석했는데, 유명 인사들이 기여한 정도가 20% 수준에 달하는 것으로 해석됐다.

공동모금회는	공동/NNG+모금회/NNG+는/JX
아너	아너/NNG
소사이어티와	소사이어티/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
언론	언론/NNG
보도	보도/NNG
1만1000여건을	1/SN+만/NR+1000/SN+여/XSN+건/NNB+을/JKO
분석했는데,	분석/NNG+하/XSV+았/EP+는데/EC+,/SP
유명	유명/NNG
인사들이	인사/NNG+들/XSN+이/JKS
기여한	기여/NNG+하/XSV+ㄴ/ETM
정도가	정도/NNG+가/JKS
20%	20/SN+%/SW
수준에	수준/NNG+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
해석됐다.	해석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.243.6.5
강철희 연세대 사회복지학과 교수는 "연예인이나 스포츠인 같은 유명 인사들의 선행은 사람들에게 훨씬 더 오래 기억에 남는다"며 "스타들의 기부는 일반인보다 파급력이 10배 정도 크다"고 말했다.

강철희	강철희/NNP
연세대	연세대/NNP
사회복지학과	사회/NNG+복지학과/NNG
교수는	교수/NNG+는/JX
"연예인이나	"/SS+연예인/NNG+이나/JC
스포츠인	스포츠인/NNG
같은	같/VA+은/ETM
유명	유명/NNG
인사들의	인사/NNG+들/XSN+의/JKG
선행은	선행/NNG+은/JX
사람들에게	사람/NNG+들/XSN+에게/JKB
훨씬	훨씬/MAG
더	더/MAG
오래	오래/MAG
기억에	기억/NNG+에/JKB
남는다"며	남/VV+는다/EF+"/SS+며/EC
"스타들의	"/SS+스타/NNG+들/XSN+의/JKG
기부는	기부/NNG+는/JX
일반인보다	일반인/NNG+보다/JKB
파급력이	파급력/NNG+이/JKS
10배	10/SN+배/NNG
정도	정도/NNG
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.243.7.1
유명 인사들의 나눔 동참은 지금도 계속되고 있다.

유명	유명/NNG
인사들의	인사/NNG+들/XSN+의/JKG
나눔	나눔/NNG
동참은	동참/NNG+은/JX
지금도	지금/NNG+도/JX
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.243.7.2
가장 최근 아너에 가입한 프로야구 삼성 라이온즈 투수 우규민(32)은 "야구를 하면서 혼자서는 아무것도 할 수 없다는 것을 느꼈다"며 "우리 사회도 혼자만 잘사는 것보다 서로서로 도울 때 가장 이상적이라고 생각했다"고 말했다.

가장	가장/MAG
최근	최근/NNG
아너에	아너/NNG+에/JKB
