# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.281
metadata : {}


# id : NWRW1800000048.281.1.1
“질병관리본부, 차관급으로 격상해야”

“질병관리본부,	“/SS+질병/NNG+관리/NNG+본부/NNG+,/SP
차관급으로	차관급/NNG+으로/JKB
격상해야”	격상/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000048.281.2.1
복지부 공청회서 제안…정부 수용뜻

복지부	복지부/NNG
공청회서	공청회/NNG+서/JKB
제안…정부	제안/NNG+…/SE+정부/NNG
수용뜻	수용/NNG+뜻/NNG


# id : NWRW1800000048.281.3.1
보건단체 “부실대처 책임 규명부터”

보건단체	보건/NNG+단체/NNG
“부실대처	“/SS+부실/NNG+대처/NNG
책임	책임/NNG
규명부터”	규명/NNG+부터/JX+”/SS


# id : NWRW1800000048.281.4.1
중동호흡기증후군(메르스) 사태의 재발을 막기 위한 대책으로 정부가 질병관리본부를 차관급 조직으로 격상시키자는 제안을 공식화했다.

중동호흡기증후군(메르스)	중동/NNP+호흡기/NNG+증후군/NNG+(/SS+메르스/NNG+)/SS
사태의	사태/NNG+의/JKG
재발을	재발/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
대책으로	대책/NNG+으로/JKB
정부가	정부/NNG+가/JKS
질병관리본부를	질병/NNG+관리/NNG+본부/NNG+를/JKO
차관급	차관급/NNG
조직으로	조직/NNG+으로/JKB
격상시키자는	격상/NNG+시키/XSV+자는/ETM
제안을	제안/NNG+을/JKO
공식화했다.	공식/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.281.5.1
18일 보건복지부가 주최한 ‘국가방역체계 개편 방안 관련 공청회’에서 발제를 맡은 서재호 부경대 행정학과 교수는 “전국에서 발생하는 감염병의 통제와 관리를 위해서는 (현재 실장급인) 질병관리본부장을 차관급으로 격상시켜 조직 내외의 통제 권한을 확보해야 한다”고 밝혔다.

18일	18/SN+일/NNB
보건복지부가	보건/NNG+복지부/NNG+가/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
‘국가방역체계	‘/SS+국가/NNG+방역/NNG+체계/NNG
개편	개편/NNG
방안	방안/NNG
관련	관련/NNG
공청회’에서	공청회/NNG+’/SS+에서/JKB
발제를	발제/NNG+를/JKO
맡은	맡/VV+은/ETM
서재호	서재호/NNP
부경대	부경대/NNP
행정학과	행정학과/NNG
교수는	교수/NNG+는/JX
“전국에서	“/SS+전국/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
감염병의	감염병/NNG+의/JKG
통제와	통제/NNG+와/JC
관리를	관리/NNG+를/JKO
위해서는	위하/VV+아서/EC+는/JX
(현재	(/SS+현재/NNG
실장급인)	실장급/NNG+이/VCP+ㄴ/ETM+)/SS
질병관리본부장을	질병/NNG+관리/NNG+본부장/NNG+을/JKO
차관급으로	차관급/NNG+으로/JKB
격상시켜	격상/NNG+시키/XSV+어/EC
조직	조직/NNG
내외의	내외/NNG+의/JKG
통제	통제/NNG
권한을	권한/NNG+을/JKO
확보해야	확보/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.281.5.2
서 교수는 또 차관급의 질병관리본부장이 조직을 자율적·효율적으로 운영하기 위해서는 독자적인 인사권과 예산권을 가져야 한다고도 했다.

서	서/NNP
교수는	교수/NNG+는/JX
또	또/MAG
차관급의	차관급/NNG+의/JKG
질병관리본부장이	질병/NNG+관리/NNG+본부장/NNG+이/JKS
조직을	조직/NNG+을/JKO
자율적·효율적으로	자율/NNG+적/XSN+·/SP+효율/NNG+적/XSN+으로/JKB
운영하기	운영/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
인사권과	인사/NNG+권/XSN+과/JC
예산권을	예산/NNG+권/XSN+을/JKO
가져야	가지/VV+어야/EC
한다고도	하/VX+ㄴ다고/EC+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.281.5.3
복지부는 이날 발표된 방안을 바탕으로 다음달말까지 정부안을 확정하겠다고 밝혀 사실상 이런 제안을 온전히 수용할 뜻을 내비쳤다.

복지부는	복지부/NNG+는/JX
이날	이날/NNG
발표된	발표/NNG+되/XSV+ㄴ/ETM
방안을	방안/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
다음달말까지	다음/NNG+달/NNG+말/NNB+까지/JX
정부안을	정부안/NNG+을/JKO
확정하겠다고	확정/NNG+하/XSV+겠/EP+다고/EC
밝혀	밝히/VV+어/EC
사실상	사실상/MAG
이런	이런/MMD
제안을	제안/NNG+을/JKO
온전히	온전히/MAG
수용할	수용/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.281.6.1
이에 대해 보건의료 관련 단체들은 방역당국이 메르스 유행에 제대로 대처하지 못한 원인과 책임부터 규명해야 한다고 지적했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
보건의료	보건/NNG+의료/NNG
관련	관련/NNG
단체들은	단체/NNG+들/XSN+은/JX
방역당국이	방역/NNG+당국/NNG+이/JKS
메르스	메르스/NNG
유행에	유행/NNG+에/JKB
제대로	제대로/MAG
대처하지	대처/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
원인과	원인/NNG+과/JC
책임부터	책임/NNG+부터/JX
규명해야	규명/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.281.6.2
건강세상네트워크·전국보건의료산업노동조합·한국백혈병환우회 등 22개의 환자·시민·보건의료단체들로 구성된 ‘메르스극복 국민연대 준비위원회(이하 국민연대)’는 이날 서울 정동 프란체스코 교육회관에서 기자회견을 열어 메르스 사태를 되풀이하지 않으려면 대규모 유행이 나타나게 된 문제점부터 제대로 파악해야 한다고 주장했다.

건강세상네트워크·전국보건의료산업노동조합·한국백혈병환우회	건강/NNG+세상/NNG+네트워크/NNG+·/SP+전국보건의료산업노동조합/NNP+·/SP+한국백혈병환우회/NNP
등	등/NNB
22개의	22/SN+개/NNB+의/JKG
환자·시민·보건의료단체들로	환자/NNG+·/SP+시민/NNG+·/SP+보건/NNG+의료/NNG+단체/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘메르스극복	‘/SS+메르스/NNG+극복/NNG
국민연대	국민/NNG+연대/NNG
준비위원회(이하	준비/NNG+위원회/NNG+(/SS+이하/NNG
국민연대)’는	국민/NNG+연대/NNG+)/SS+’/SS+는/JX
이날	이날/NNG
서울	서울/NNP
정동	정동/NNP
프란체스코	프란체스코/NNP
교육회관에서	교육/NNG+회관/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
메르스	메르스/NNG
사태를	사태/NNG+를/JKO
