# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.336
metadata : {}


# id : NWRW1800000030.336.1.1
흔들리는 청와대… "좋은 뉴스라곤 배추값 떨어진 것뿐"

흔들리는	흔들리/VV+는/ETM
청와대…	청와대/NNP+…/SE
"좋은	"/SS+좋/VA+은/ETM
뉴스라곤	뉴스/NNG+라고/JX+ㄴ/JX
배추값	배추/NNG+값/NNG
떨어진	떨어지/VV+ㄴ/ETM
것뿐"	것/NNB+뿐/JX+"/SS


# id : NWRW1800000030.336.2.1
•李대통령, 쏟아지는 악재에 귀국후 줄곧 굳은 표정… 경제 살린 업적도 잊힐 판

•李대통령,	•/SW+李/SH+대통령/NNG+,/SP
쏟아지는	쏟아지/VV+는/ETM
악재에	악재/NNG+에/JKB
귀국후	귀국/NNG+후/NNG
줄곧	줄곧/MAG
굳은	굳/VA+은/ETM
표정…	표정/NNG+…/SE
경제	경제/NNG
살린	살리/VV+ㄴ/ETM
업적도	업적/NNG+도/JX
잊힐	잊히/VV+ㄹ/ETM
판	판/NNB


# id : NWRW1800000030.336.3.1
측근 관련 비리 의혹이 잇따라 제기되면서 임기를 1년 5개월 남긴 이명박 청와대가 급격히 흔들리고 있다.

측근	측근/NNG
관련	관련/NNG
비리	비리/NNG
의혹이	의혹/NNG+이/JKS
잇따라	잇따르/VV+아/EC
제기되면서	제기/NNG+되/XSV+면서/EC
임기를	임기/NNG+를/JKO
1년	1/SN+년/NNB
5개월	5/SN+개월/NNB
남긴	남기/VV+ㄴ/ETM
이명박	이명박/NNP
청와대가	청와대/NNP+가/JKS
급격히	급격히/MAG
흔들리고	흔들리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.336.4.1
이 대통령은 유엔 총회 참석 등 5일간의 미국 방문을 마치고 24일 귀국한 직후 임태희 대통령실장 등으로부터 국내 현안에 대한 보고를 받는 내내 굳은 표정을 풀지 않았던 것으로 전해졌다.

이	이/NNP
대통령은	대통령/NNG+은/JX
유엔	유엔/NNP
총회	총회/NNG
참석	참석/NNG
등	등/NNB
5일간의	5/SN+일/NNB+간/XSN+의/JKG
미국	미국/NNP
방문을	방문/NNG+을/JKO
마치고	마치/VV+고/EC
24일	24/SN+일/NNB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
임태희	임태희/NNP
대통령실장	대통령실장/NNG
등으로부터	등/NNB+으로부터/JKB
국내	국내/NNG
현안에	현안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보고를	보고/NNG+를/JKO
받는	받/VV+는/ETM
내내	내내/MAG
굳은	굳/VA+은/ETM
표정을	표정/NNG+을/JKO
풀지	풀/VV+지/EC
않았던	않/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.336.5.1
특히 외국 출장 중에 터져나온, 신재민 전 문화부차관이 이국철 SLS 회장에게서 수년간 지속적으로 경제적 도움을 받았다는 보고를 받고는 상당한 충격을 받은 듯했다고 한다.

특히	특히/MAG
외국	외국/NNG
출장	출장/NNG
중에	중/NNB+에/JKB
