# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.253
metadata : {}


# id : NWRW1800000038.253.1.1
LG, 삼성과 안타 33개 난타전 끝 대파… 승차없는 2위

LG,	LG/SL+,/SP
삼성과	삼성/NNP+과/JKB
안타	안타/NNG
33개	33/SN+개/NNB
난타전	난타전/NNG
끝	끝/NNG
대파…	대파/NNG+…/SE
승차없는	승차/NNG+없/VA+는/ETM
2위	2/SN+위/NNB


# id : NWRW1800000038.253.2.1
시즌 첫 선발 전원 안타·득점… 최정 22호포, 홈런 공동선두로

시즌	시즌/NNG
첫	첫/MMN
선발	선발/NNG
전원	전원/NNG
안타·득점…	안타/NNG+·/SP+득점/NNG+…/SE
최정	최정/NNP
22호포,	22/SN+호/NNB+포/NNG+,/SP
홈런	홈런/NNG
공동선두로	공동/NNG+선두/NNG+로/JKB


# id : NWRW1800000038.253.3.1
SK가 13일 프로야구 문학 홈 경기에서 KIA를 9대2로 물리치고 5연승 했다.

SK가	SK/SL+가/JKS
13일	13/SN+일/NNB
프로야구	프로/NNG+야구/NNG
문학	문학/NNP
홈	홈/NNG
경기에서	경기/NNG+에서/JKB
KIA를	KIA/SL+를/JKO
9대2로	9/SN+대/NNB+2/SN+로/JKB
물리치고	물리치/VV+고/EC
5연승	5/SN+연승/NNG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.253.3.2
이번 시즌 팀 최다 연승을 달린 SK는 76일 만에 7위에서 6위로 올라섰다.

이번	이번/NNG
시즌	시즌/NNG
팀	팀/NNG
최다	최다/NNG
연승을	연승/NNG+을/JKO
달린	달리/VV+ㄴ/ETM
SK는	SK/SL+는/JX
76일	76/SN+일/NNB
만에	만/NNB+에/JKB
7위에서	7/SN+위/NNB+에서/JKB
6위로	6/SN+위/NNB+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.4.1
SK 선발 투수 김광현은 6이닝을 2점으로 막고 시즌 8번째 승리를 거뒀다.

SK	SK/SL
선발	선발/NNG
투수	투수/NNG
김광현은	김광현/NNP+은/JX
6이닝을	6/SN+이닝/NNG+을/JKO
2점으로	2/SN+점/NNB+으로/JKB
막고	막/VV+고/EC
시즌	시즌/NNG
8번째	8/SN+번/NNB+째/XSN
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.253.4.2
행운이 따랐다.

행운이	행운/NNG+이/JKS
따랐다.	따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.253.4.3
그는 1회 초 1사 만루 위기에서 KIA 이범호에게 홈런을 내줄 뻔했다.

그는	그/NP+는/JX
1회	1/SN+회/NNB
초	초/NNB
1사	1/SN+사/NNG
만루	만루/NNG
위기에서	위기/NNG+에서/JKB
KIA	KIA/SL
이범호에게	이범호/NNP+에게/JKB
홈런을	홈런/NNG+을/JKO
내줄	내주/VV+ㄹ/ETM
뻔했다.	뻔/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000038.253.4.4
그런데 왼쪽 담장을 넘어가는 듯한 타구를 SK 좌익수 김상현이 뛰어올라 건져냈다.

그런데	그런데/MAJ
왼쪽	왼쪽/NNG
담장을	담장/NNG+을/JKO
넘어가는	넘어가/VV+는/ETM
