# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.139
metadata : {}


# id : NWRW1800000022.139.1.1
[특파원칼럼]나가타와 이종걸

[특파원칼럼]나가타와	[/SS+특파원/NNG+칼럼/NNG+]/SS+나가타/NNP+와/JC
이종걸	이종걸/NNP


# id : NWRW1800000022.139.2.1
지난 1월 4일 아침, 일본 신문에 한때 엘리트 정치인이던 나가타 히사야스(永田壽康) 전 민주당 의원이 투신자살했다는 뉴스가 실렸다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
4일	4/SN+일/NNB
아침,	아침/NNG+,/SP
일본	일본/NNP
신문에	신문/NNG+에/JKB
한때	한때/MAG
엘리트	엘리트/NNG
정치인이던	정치인/NNG+이/VCP+던/ETM
나가타	나가타/NNP
히사야스(永田壽康)	히사야스/NNP+(/SS+永田壽康/SH+)/SS
전	전/MMD
민주당	민주당/NNP
의원이	의원/NNG+이/JKS
투신자살했다는	투신자살/NNG+하/XSV+았/EP+다는/ETM
뉴스가	뉴스/NNG+가/JKS
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.139.2.2
39세.

39세.	39/SN+세/NNB+./SF


# id : NWRW1800000022.139.2.3
B5 노트 한 권 분량의 유서와 1.8L짜리 빈 소주 팩을 현장에 남겼다는 팩트, '허위 이메일 소동'을 일으켰다는 간략한 인물 소개를 곁들여 사회면 1·2단 기사로 처리됐다.

B5	B/SL+5/SN
노트	노트/NNG
한	한/MMN
권	권/NNB
분량의	분량/NNG+의/JKG
유서와	유서/NNG+와/JC
1.8L짜리	1/SN+./SP+8/SN+L/SW+짜리/XSN
빈	비/VV+ㄴ/ETM
소주	소주/NNG
팩을	팩/NNG+을/JKO
현장에	현장/NNG+에/JKB
남겼다는	남기/VV+었/EP+다는/ETM
팩트,	팩트/NNG+,/SP
'허위	'/SS+허위/NNG
이메일	이메일/NNG
소동'을	소동/NNG+'/SS+을/JKO
일으켰다는	일으키/VV+었/EP+다는/ETM
