# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.237
metadata : {}


# id : NWRW1800000038.237.1.1
쾅쾅쾅… 화끈하게 문 열었다

쾅쾅쾅…	쾅쾅쾅/MAG+…/SE
화끈하게	화끈/MAG+하/XSA+게/EC
문	문/NNG
열었다	열/VV+었/EP+다/EF


# id : NWRW1800000038.237.2.1
프로야구 개막 2연전에서 만루砲 3개 등 홈런 9개 쏟아져

프로야구	프로/NNG+야구/NNG
개막	개막/NNG
2연전에서	2/SN+연전/NNG+에서/JKB
만루砲	만루/NNG+砲/SH
3개	3/SN+개/NNB
등	등/NNB
홈런	홈런/NNG
9개	9/SN+개/NNB
쏟아져	쏟아지/VV+어/EF


# id : NWRW1800000038.237.3.1
2013 프로야구가 '서울 찬가'로 막을 올렸다.

2013	2013/SN
프로야구가	프로/NNG+야구/NNG+가/JKS
'서울	'/SS+서울/NNP
찬가'로	찬가/NNG+'/SS+로/JKB
막을	막/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.4.1
'잠실 라이벌' LG와 두산이 2013 프로야구 개막 2연전을 모두 승리로 장식했다.

'잠실	'/SS+잠실/NNP
라이벌'	라이벌/NNG+'/SS
LG와	LG/SL+와/JC
두산이	두산/NNP+이/JKS
2013	2013/SN
프로야구	프로/NNG+야구/NNG
개막	개막/NNG
2연전을	2/SN+연전/NNG+을/JKO
모두	모두/MAG
승리로	승리/NNG+로/JKB
장식했다.	장식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.4.2
LG는 31일 문학에서 작년 준우승팀 SK를 4대1로 꺾으면서 2연승을 달렸다.

LG는	LG/SL+는/JX
31일	31/SN+일/NNB
문학에서	문학/NNP+에서/JKB
작년	작년/NNG
준우승팀	준/XPN+우승/NNG+팀/NNG
SK를	SK/SL+를/JKO
4대1로	4/SN+대/NNB+1/SN+로/JKB
꺾으면서	꺾/VV+으면서/EC
2연승을	2/SN+연승/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.4.3
두산은 대구에서 '디펜딩 챔피언' 삼성을 7대3으로 꺾고 두 경기 연속 승리를 챙겼다.

두산은	두산/NNP+은/JX
대구에서	대구/NNP+에서/JKB
'디펜딩	'/SS+디펜딩/NNG
챔피언'	챔피언/NNG+'/SS
삼성을	삼성/NNP+을/JKO
7대3으로	7/SN+대/NNB+3/SN+으로/JKB
꺾고	꺾/VV+고/EC
두	두/MMN
경기	경기/NNG
연속	연속/NNG
승리를	승리/NNG+를/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.4.4
롯데는 한화에 홈 맞대결에서 이틀 연속 '끝내기 쇼'를 펼치며 2연승을 거뒀다.

롯데는	롯데/NNP+는/JX
한화에	한화/NNP+에/JKB
홈	홈/NNG
맞대결에서	맞대결/NNG+에서/JKB
이틀	이틀/NNG
연속	연속/NNG
'끝내기	'/SS+끝내기/NNG
쇼'를	쇼/NNG+'/SS+를/JKO
펼치며	펼치/VV+며/EC
2연승을	2/SN+연승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.5.1
프로야구 개막 2연전엔 13만7761명이 경기장을 찾았다.

프로야구	프로/NNG+야구/NNG
개막	개막/NNG
2연전엔	2/SN+연전/NNG+에/JKB+ㄴ/JX
13만7761명이	13/SN+만/NR+7761/SN+명/NNB+이/JKS
경기장을	경기장/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.5.2
30일 경기에서 2만8000명 정원인 사직구장에 2만6708명이 들어와 만원에 실패하면서 5년 연속 개막전 전 경기 매진 기록은 무산됐다.

30일	30/SN+일/NNB
경기에서	경기/NNG+에서/JKB
2만8000명	2/SN+만/NR+8000/SN+명/NNB
정원인	정원/NNG+이/VCP+ㄴ/ETM
사직구장에	사직구장/NNP+에/JKB
2만6708명이	2/SN+만/NR+6708/SN+명/NNB+이/JKS
들어와	들어오/VV+아/EC
만원에	만원/NNG+에/JKB
실패하면서	실패/NNG+하/XSV+면서/EC
5년	5/SN+년/NNB
연속	연속/NNG
개막전	개막전/NNG
전	전/MMN
경기	경기/NNG
매진	매진/NNG
기록은	기록/NNG+은/JX
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.6.1
◇불펜의 LG, 투·타 조화의 두산

◇불펜의	◇/SW+불펜/NNG+의/JKG
LG,	LG/SL+,/SP
투·타	투·타/NNG
조화의	조화/NNG+의/JKG
두산	두산/NNP


# id : NWRW1800000038.237.7.1
LG는 '벌떼 야구'의 원조 격인 SK와 벌인 불펜 대결에서 완승했다.

LG는	LG/SL+는/JX
'벌떼	'/SS+벌/NNG+떼/NNG
야구'의	야구/NNG+'/SS+의/JKG
원조	원조/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
SK와	SK/SL+와/JKB
벌인	벌이/VV+ㄴ/ETM
불펜	불펜/NNG
대결에서	대결/NNG+에서/JKB
완승했다.	완승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.7.2
1차전에서 LG는 리즈가 6회에 내려간 뒤 6명을 마운드에 올리며 7대4로 이겼다.

1차전에서	1/SN+차전/NNB+에서/JKB
LG는	LG/SL+는/JX
리즈가	리즈/NNP+가/JKS
6회에	6/SN+회/NNB+에/JKB
내려간	내려가/VV+ㄴ/ETM
뒤	뒤/NNG
6명을	6/SN+명/NNB+을/JKO
마운드에	마운드/NNG+에/JKB
올리며	올리/VV+며/EC
7대4로	7/SN+대/NNB+4/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.7.3
2차전에서도 6회부터 등판한 불펜 투수 4명이 3과 3분의 1 이닝을 무실점으로 막았다.

2차전에서도	2/SN+차전/NNB+에서/JKB+도/JX
6회부터	6/SN+회/NNB+부터/JX
등판한	등판/NNG+하/XSV+ㄴ/ETM
불펜	불펜/NNG
투수	투수/NNG
4명이	4/SN+명/NNB+이/JKS
3과	3/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
1	1/SN
이닝을	이닝/NNG+을/JKO
무실점으로	무/XPN+실점/NNG+으로/JKB
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.8.1
특히 정현욱과 봉중근의 활약이 돋보였다.

특히	특히/MAG
정현욱과	정현욱/NNP+과/JC
봉중근의	봉중근/NNP+의/JKG
활약이	활약/NNG+이/JKS
돋보였다.	돋보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.8.2
정현욱은 두 경기 모두 8회 등판해 2경기 연속 1이닝 무실점 홀드를 올렸다.

정현욱은	정현욱/NNP+은/JX
두	두/MMN
경기	경기/NNG
모두	모두/MAG
8회	8/SN+회/NNB
등판해	등판/NNG+하/XSV+아/EC
2경기	2/SN+경기/NNG
연속	연속/NNG
1이닝	1/SN+이닝/NNG
무실점	무/XPN+실점/NNG
홀드를	홀드/NNG+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.8.3
작년 어깨 통증 등으로 일찌감치 시즌을 마감했던 봉중근은 2세이브를 기록했다.

작년	작년/NNG
어깨	어깨/NNG
통증	통증/NNG
등으로	등/NNB+으로/JKB
일찌감치	일찌감치/MAG
시즌을	시즌/NNG+을/JKO
마감했던	마감/NNG+하/XSV+았/EP+던/ETM
봉중근은	봉중근/NNP+은/JX
2세이브를	2/SN+세이브/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.8.4
봉중근은 "올 시즌 감이 좋다"며 "(정)현욱이 형의 가세가 큰 힘이 된다"고 말했다.

봉중근은	봉중근/NNP+은/JX
"올	"/SS+올/NNG
시즌	시즌/NNG
감이	감/NNG+이/JKS
좋다"며	좋/VA+다/EF+"/SS+며/EC
"(정)현욱이	"/SS+(/SS+정/NNP+)/SS+현욱이/NNP
형의	형/NNG+의/JKG
가세가	가세/NNG+가/JKS
큰	크/VA+ㄴ/ETM
힘이	힘/NNG+이/JKC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.237.9.1
두산은 30일 개막 첫 경기에선 '방망이'의 힘으로 3연패(連覇)를 노리는 삼성을 눌렀다.

두산은	두산/NNP+은/JX
30일	30/SN+일/NNB
개막	개막/NNG
첫	첫/MMN
경기에선	경기/NNG+에서/JKB+ㄴ/JX
'방망이'의	'/SS+방망이/NNG+'/SS+의/JKG
힘으로	힘/NNG+으로/JKB
3연패(連覇)를	3/SN+연패/NNG+(/SS+連覇/SH+)/SS+를/JKO
노리는	노리/VV+는/ETM
삼성을	삼성/NNP+을/JKO
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.9.2
오재원이 1회 만루홈런을 터뜨린 데 이어 김현수가 4회 다시 만루포로 추격을 뿌리쳤다.

오재원이	오재원/NNP+이/JKS
1회	1/SN+회/NNB
만루홈런을	만루/NNG+홈런/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
김현수가	김현수/NNP+가/JKS
4회	4/SN+회/NNB
다시	다시/MAG
만루포로	만루포/NNG+로/JKB
추격을	추격/NNG+을/JKO
뿌리쳤다.	뿌리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.237.9.3
프로야구 사상 개막전 1회 만루포가 나온 것도 처음이고, 한 팀이 만루홈런 2개를 때린 것도 처음이었다.

프로야구	프로/NNG+야구/NNG
사상	사상/NNG
개막전	개막전/NNG
1회	1/SN+회/NNB
만루포가	만루포/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
것도	것/NNB+도/JX
