# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.54
metadata : {}


# id : NWRW1800000038.54.1.1
툭하면 파업 佛 노조들, 올해는 협상 테이블로

툭하면	툭하면/MAG
파업	파업/NNG
佛	佛/SH
노조들,	노조/NNG+들/XSN+,/SP
올해는	올해/NNG+는/JX
협상	협상/NNG
테이블로	테이블/NNG+로/JKB


# id : NWRW1800000038.54.2.1
"일자리 감소만은 막아야" 푸조·르노 등 노사협상 타결

"일자리	"/SS+일자리/NNG
감소만은	감소/NNG+만/JX+은/JX
막아야"	막/VV+아야/EC+"/SS
푸조·르노	푸조/NNP+·/SP+르노/NNP
등	등/NNB
노사협상	노사/NNG+협상/NNG
타결	타결/NNG


# id : NWRW1800000038.54.3.1
♧프랑스 자동차회사 푸조-시트로앵의 필리프 바랭 최고경영자(CEO)와 노조 대표가 24일(현지 시각) 만나 '경쟁력 향상 협약'에 사인했다.

♧프랑스	♧/SW+프랑스/NNP
자동차회사	자동차/NNG+회사/NNG
푸조-시트로앵의	푸조-시트로앵/NNP+의/JKG
필리프	필리프/NNP
바랭	바랭/NNP
최고경영자(CEO)와	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+와/JC
노조	노조/NNG
대표가	대표/NNG+가/JKS
24일(현지	24/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
만나	만나/VV+아/EC
'경쟁력	'/SS+경쟁력/NNG
향상	향상/NNG
협약'에	협약/NNG+'/SS+에/JKB
사인했다.	사인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.54.3.2
지난 6월부터 이어진 긴 노사(勞使) 협상이 끝나는 순간이었다.

지난	지나/VV+ㄴ/ETM
6월부터	6/SN+월/NNB+부터/JX
이어진	이어지/VV+ㄴ/ETM
긴	길/VA+ㄴ/ETM
노사(勞使)	노사/NNG+(/SS+勞使/SH+)/SS
협상이	협상/NNG+이/JKS
끝나는	끝나/VV+는/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.54.3.3
이전 같으면 협상 과정에서 노조 파업이 연례행사처럼 따라다녔지만 이번에는 달랐다.

이전	이전/NNG
같으면	같/VA+으면/EC
협상	협상/NNG
과정에서	과정/NNG+에서/JKB
노조	노조/NNG
파업이	파업/NNG+이/JKS
연례행사처럼	연례행사/NNG+처럼/JKB
따라다녔지만	따라다니/VV+었/EP+지만/EC
이번에는	이번/NNG+에/JKB+는/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.54.3.4
노사 대표는 13차례 협상 테이블에 앉아 요구 사안을 절충하며 합의점을 찾았다.

노사	노사/NNG
대표는	대표/NNG+는/JX
13차례	13/SN+차례/NNG
협상	협상/NNG
테이블에	테이블/NNG+에/JKB
앉아	앉/VV+아/EC
요구	요구/NNG
사안을	사안/NNG+을/JKO
절충하며	절충/NNG+하/XSV+며/EC
합의점을	합의점/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.54.4.1
'파업의 나라' 프랑스의 노사 문화가 바뀌고 있다.

'파업의	'/SS+파업/NNG+의/JKG
나라'	나라/NNG+'/SS
프랑스의	프랑스/NNP+의/JKG
노사	노사/NNG
문화가	문화/NNG+가/JKS
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.54.4.2
로이터통신은 전 세계적인 경제위기 속에서 일자리를 지키기 위해 회사 측과 협력이 필요하다는 생각이 프랑스 노동자들 사이에 확산하고 있다고 24일 보도했다.

로이터통신은	로이터통신/NNP+은/JX
전	전/MMN
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
경제위기	경제/NNG+위기/NNG
속에서	속/NNG+에서/JKB
일자리를	일자리/NNG+를/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
회사	회사/NNG
측과	측/NNB+과/JKB
협력이	협력/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
