# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.41
metadata : {}


# id : NWRW1800000054.41.1.1
"트럼프, 26일 이후 존 F 케네디 암살 관련 기밀문서 수천건 공개"

"트럼프,	"/SS+트럼프/NNP+,/SP
26일	26/SN+일/NNB
이후	이후/NNG
존	존/NNP
F	F/SL
케네디	케네디/NNP
암살	암살/NNG
관련	관련/NNG
기밀문서	기밀문서/NNG
수천건	수천/NR+건/NNB
공개"	공개/NNG+"/SS


# id : NWRW1800000054.41.2.1
뉴욕타임스 등 보도

뉴욕타임스	뉴욕타임스/NNP
등	등/NNB
보도	보도/NNG


# id : NWRW1800000054.41.3.1
도널드 트럼프 미국 대통령이 존 F 케네디(1917~1963) 전 대통령 암살과 관련한 기밀 문서 수천 건을 오는 26일(현지 시각) 이후 공개하겠다는 뜻을 밝혔다고 뉴욕타임스(NYT) 등이 21일 보도했다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
존	존/NNP
F	F/SL
케네디(1917~1963)	케네디/NNP+(/SS+1917/SN+~/SO+1963/SN+)/SS
전	전/MMD
대통령	대통령/NNG
암살과	암살/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
기밀	기밀/NNG
문서	문서/NNG
수천	수천/NR
건을	건/NNB+을/JKO
오는	오/VV+는/ETM
26일(현지	26/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
이후	이후/NNG
공개하겠다는	공개/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다고	밝히/VV+었/EP+다고/EC
뉴욕타임스(NYT)	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS
등이	등/NNB+이/JKS
21일	21/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.41.4.1
트럼프 대통령은 이날 트위터에 "대통령으로서 오랫동안 봉인됐던 JFK 기밀 파일 공개를 허가하겠다"고 말했다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
트위터에	트위터/NNP+에/JKB
"대통령으로서	"/SS+대통령/NNG+으로서/JKB
오랫동안	오랫동안/NNG
