# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.359
metadata : {}


# id : NWRW1800000052.359.1.1
“새누리, 청와대 조사 제외하면 특조위 연장 제안”

“새누리,	“/SS+새누리/NNP+,/SP
청와대	청와대/NNP
조사	조사/NNG
제외하면	제외/NNG+하/XSV+면/EC
특조위	특조위/NNG
연장	연장/NNG
제안”	제안/NNG+”/SS


# id : NWRW1800000052.359.2.1
우상호 “여당 협조 불가능 판단”

우상호	우상호/NNP
“여당	“/SS+여당/NNG
협조	협조/NNG
불가능	불/XPN+가능/NNG
판단”	판단/NNG+”/SS


# id : NWRW1800000052.359.3.1
더민주 세월호 티에프팀 발족

더민주	더민주/NNP
세월호	세월호/NNP
티에프팀	티에프팀/NNG
발족	발족/NNG


# id : NWRW1800000052.359.4.1
새누리 “청와대 언급 없었다”

새누리	새누리/NNP
“청와대	“/SS+청와대/NNP
언급	언급/NNG
없었다”	없/VA+었/EP+다/EF+”/SS


# id : NWRW1800000052.359.5.1
우상호 더불어민주당 원내대표는 4·16 세월호참사 특별조사위원회(특조위) 활동 기간 보장과 관련해 “청와대를 조사 대상에서 제외해주면 조사 기간을 연장해주겠다는 제안을 (새누리당으로부터) 받았지만 거부했다”고 밝혔다.

우상호	우상호/NNP
더불어민주당	더불어민주당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
4·16	4/SN+·/SP+16/SN
세월호참사	세월호/NNP+참사/NNG
특별조사위원회(특조위)	특별/NNG+조사/NNG+위원회/NNG+(/SS+특조위/NNG+)/SS
활동	활동/NNG
기간	기간/NNG
보장과	보장/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“청와대를	“/SS+청와대/NNP+를/JKO
조사	조사/NNG
대상에서	대상/NNG+에서/JKB
제외해주면	제외/NNG+하/XSV+아/EC+주/VX+면/EC
기간을	기간/NNG+을/JKO
연장해주겠다는	연장/NNG+하/XSV+아/EC+주/VX+겠/EP+다는/ETM
제안을	제안/NNG+을/JKO
(새누리당으로부터)	(/SS+새누리당/NNP+으로부터/JKB+)/SS
받았지만	받/VV+았/EP+지만/EC
거부했다”고	거부/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.359.5.2
