# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.17
metadata : {}


# id : NWRW1800000036.17.1.1
큰누나 만난 이건희, 소송전 ‘대열 정비’

큰누나	큰누나/NNG
만난	만나/VV+ㄴ/ETM
이건희,	이건희/NNP+,/SP
소송전	소송전/NNG
‘대열	‘/SS+대열/NNG
정비’	정비/NNG+’/SS


# id : NWRW1800000036.17.2.1
[한겨레] 귀국하자마자 M&A;전문가 등 변호인단 발표

[한겨레]	[/SS+한겨레/NNP+]/SS
귀국하자마자	귀국/NNG+하/XSV+자마자/EC
M&A;전문가	M/SL+&/SW+A/SL+;/SP+전문가/NNG
등	등/NNB
변호인단	변호인단/NNG
발표	발표/NNG


# id : NWRW1800000036.17.3.1
삼성그룹내 변호사들 ‘비공개’ 지원사격할 듯

삼성그룹내	삼성그룹/NNP+내/NNB
변호사들	변호사/NNG+들/XSN
‘비공개’	‘/SS+비/XPN+공개/NNG+’/SS
지원사격할	지원/NNG+사격/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000036.17.4.1
이맹희는 ‘2008년 삼성 특검’ 자료 증거 신청

이맹희는	이맹희/NNP+는/JX
‘2008년	‘/SS+2008/SN+년/NNB
삼성	삼성/NNP
특검’	특검/NNG+’/SS
자료	자료/NNG
증거	증거/NNG
신청	신청/NNG


# id : NWRW1800000036.17.5.1
지난 16일 오후 이건희 삼성전자 회장이 서울 김포공항 입국장에 나타났다.

지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
오후	오후/NNG
이건희	이건희/NNP
삼성전자	삼성전자/NNP
회장이	회장/NNG+이/JKS
서울	서울/NNP
김포공항	김포공항/NNP
입국장에	입국장/NNG+에/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.5.2
“열흘을 넘기지 않을 것”이라던 삼성 쪽의 설명대로 이 회장은 아흐레 동안의 ‘미국 하와이 요양여행’을 마치고 이날 귀국했다.

“열흘을	“/SS+열흘/NNG+을/JKO
넘기지	넘기/VV+지/EC
않을	않/VX+을/ETM
것”이라던	것/NNB+”/SS+이/VCP+라던/ETM
삼성	삼성/NNP
쪽의	쪽/NNB+의/JKG
설명대로	설명/NNG+대로/JX
이	이/NNP
회장은	회장/NNG+은/JX
아흐레	아흐레/NNG
동안의	동안/NNG+의/JKG
‘미국	‘/SS+미국/NNP
하와이	하와이/NNP
요양여행’을	요양/NNG+여행/NNG+’/SS+을/JKO
마치고	마치/VV+고/EC
이날	이날/NNG
귀국했다.	귀국/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.17.6.1
이 회장은 하와이에서 큰누나인 이인희 한솔그룹 고문을 만난 것으로 알려졌다.

이	이/NNP
회장은	회장/NNG+은/JX
하와이에서	하와이/NNP+에서/JKB
큰누나인	큰누나/NNG+이/VCP+ㄴ/ETM
이인희	이인희/NNP
한솔그룹	한솔그룹/NNP
고문을	고문/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.17.6.2
이병철 전 삼성 회장(창업자)의 장남이자 이 회장의 큰형인 이맹희 전 제일비료 회장과 누나인 이숙희(구자학 아워홈 회장 부인)씨가 걸어온 유산소송과 하와이 방문이 무관치 않다는 해석을 뒷받침한다.

이병철	이병철/NNP
전	전/MMD
삼성	삼성/NNP
회장(창업자)의	회장/NNG+(/SS+창업자/NNG+)/SS+의/JKG
장남이자	장남/NNG+이/VCP+자/EC
이	이/NNP
회장의	회장/NNG+의/JKG
큰형인	큰형/NNG+이/VCP+ㄴ/ETM
이맹희	이맹희/NNP
제일비료	제일비료/NNP
회장과	회장/NNG+과/JC
누나인	누나/NNG+이/VCP+ㄴ/ETM
