# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.243
metadata : {}


# id : NWRW1800000037.243.1.1
‘광’내고 다듬은 ‘종’횡무진 패스

‘광’내고	‘/SS+광/NNG+’/SS+내/VV+고/EC
다듬은	다듬/VV+은/ETM
‘종’횡무진	‘종’횡무진/NNG
패스	패스/NNG


# id : NWRW1800000037.243.2.1
U-20 월드컵팀 세계수준 이끈 이광종 감독 27일밤 나이지리아와 최종 3차전 李감독, 15세 이하 팀부터 전담 조련… 공격-수비라인 간격 세밀하게 유지… 상대 강한 압박도 끄떡없이 견뎌

U-20	U/SL+-/SO+20/SN
월드컵팀	월드컵/NNG+팀/NNG
세계수준	세계/NNG+수준/NNG
이끈	이끌/VV+ㄴ/ETM
이광종	이광종/NNP
감독	감독/NNG
27일밤	27/SN+일/NNB+밤/NNG
나이지리아와	나이지리아/NNP+와/JKB
최종	최종/NNG
3차전	3/SN+차전/NNB
李감독,	李/SH+감독/NNG+,/SP
15세	15/SN+세/NNB
이하	이하/NNG
팀부터	팀/NNG+부터/JX
전담	전담/NNG
조련…	조련/NNG+…/SE
공격-수비라인	공격/NNG+-/SO+수비/NNG+라인/NNG
간격	간격/NNG
세밀하게	세밀하/VA+게/EC
유지…	유지/NNG+…/SE
상대	상대/NNG
강한	강하/VA+ㄴ/ETM
압박도	압박/NNG+도/JX
끄떡없이	끄떡없이/MAG
견뎌	견디/VV+어/EF


# id : NWRW1800000037.243.3.1
최근 한국 축구의 화두는 홍명보 월드컵 대표팀 감독(44)이다.

최근	최근/NNG
한국	한국/NNP
축구의	축구/NNG+의/JKG
화두는	화두/NNG+는/JX
홍명보	홍명보/NNP
월드컵	월드컵/NNG
대표팀	대표/NNG+팀/NNG
감독(44)이다.	감독/NNG+(/SS+44/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.243.3.2
월드컵을 4회 연속 출전했고 외국의 명장 밑에서 코치를 거쳐 2009년 이집트 20세 이하 청소년 월드컵, 2010년 광저우 아시아경기, 2012년 런던 올림픽 사령탑에 이어 24일 대표팀까지 맡았기 때문이다.

월드컵을	월드컵/NNG+을/JKO
4회	4/SN+회/NNB
연속	연속/NNG
출전했고	출전/NNG+하/XSV+았/EP+고/EC
외국의	외국/NNG+의/JKG
명장	명장/NNG
밑에서	밑/NNG+에서/JKB
코치를	코치/NNG+를/JKO
거쳐	거치/VV+어/EC
2009년	2009/SN+년/NNB
이집트	이집트/NNP
20세	20/SN+세/NNB
이하	이하/NNG
청소년	청소년/NNG
월드컵,	월드컵/NNG+,/SP
2010년	2010/SN+년/NNB
광저우	광저우/NNP
아시아경기,	아시아/NNP+경기/NNG+,/SP
2012년	2012/SN+년/NNB
런던	런던/NNP
올림픽	올림픽/NNG
사령탑에	사령탑/NNG+에/JKB
이어	잇/VV+어/EC
24일	24/SN+일/NNB
대표팀까지	대표/NNG+팀/NNG+까지/JX
맡았기	맡/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.243.3.3
홍 감독은 2009년부터 짜임새 있는 조직력과 팀워크로 ‘홍명보표 축구’를 선보이며 사상 첫 올림픽 동메달을 획득했다.

홍	홍/NNP
감독은	감독/NNG+은/JX
2009년부터	2009/SN+년/NNB+부터/JX
짜임새	짜임새/NNG
있는	있/VA+는/ETM
조직력과	조직력/NNG+과/JC
팀워크로	팀워크/NNG+로/JKB
‘홍명보표	‘/SS+홍명보/NNP+표/NNG
축구’를	축구/NNG+’/SS+를/JKO
선보이며	선보이/VV+며/EC
사상	사상/NNG
첫	첫/MMN
올림픽	올림픽/NNG
동메달을	동메달/NNG+을/JKO
획득했다.	획득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.243.4.1
터키에서 열리는 20세 이하 청소년 월드컵에 나간 이광종 감독(49)에게서도 ‘홍명보의 향기’가 난다.

터키에서	터키/NNP+에서/JKB
열리는	열리/VV+는/ETM
20세	20/SN+세/NNB
이하	이하/NNG
청소년	청소년/NNG
월드컵에	월드컵/NNG+에/JKB
나간	나가/VV+ㄴ/ETM
이광종	이광종/NNP
감독(49)에게서도	감독/NNG+(/SS+49/SN+)/SS+에게서/JKB+도/JX
‘홍명보의	‘/SS+홍명보/NNP+의/JKG
향기’가	향기/NNG+’/SS+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.243.4.2
2000년부터 대한축구협회 전임지도자로 15세 이하, 17세 이하를 지도한 뒤 2011년부터 20세 이하 대표팀을 맡아 지도하고 있다.

2000년부터	2000/SN+년/NNB+부터/JX
대한축구협회	대한축구협회/NNP
전임지도자로	전임/NNG+지도자/NNG+로/JKB
15세	15/SN+세/NNB
이하,	이하/NNG+,/SP
17세	17/SN+세/NNB
이하를	이하/NNG+를/JKO
지도한	지도/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2011년부터	2011/SN+년/NNB+부터/JX
20세	20/SN+세/NNB
이하	이하/NNG
대표팀을	대표/NNG+팀/NNG+을/JKO
맡아	맡/VV+아/EC
지도하고	지도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.243.4.3
홍 감독과 비슷하게 축구협회 차원에서 계속 키우고 있는 지도자다.

홍	홍/NNP
감독과	감독/NNG+과/JKB
비슷하게	비슷하/VA+게/EC
축구협회	축구협회/NNP
차원에서	차원/NNG+에서/JKB
계속	계속/MAG
키우고	키우/VV+고/EC
있는	있/VX+는/ETM
지도자다.	지도자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.243.5.1
이 감독은 각급 대표 중 현대 세계축구의 흐름에 가장 근접한 축구를 구사한다는 평가를 받는다.

이	이/NNP
감독은	감독/NNG+은/JX
각급	각급/NNG
대표	대표/NNG
중	중/NNB
현대	현대/NNP
세계축구의	세계/NNG+축구/NNG+의/JKG
흐름에	흐름/NNG+에/JKB
가장	가장/MAG
근접한	근접/NNG+하/XSV+ㄴ/ETM
축구를	축구/NNG+를/JKO
구사한다는	구사/NNG+하/XSV+ㄴ다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000037.243.5.2
한준희 KBS 해설위원은 “수비와 미드필드, 공격 라인의 간격이 가장 세밀하게 유지되고 있다.

한준희	한준희/NNP
KBS	KBS/SL
해설위원은	해설/NNG+위원/NNG+은/JX
“수비와	“/SS+수비/NNG+와/JC
미드필드,	미드필드/NNG+,/SP
공격	공격/NNG
라인의	라인/NNG+의/JKG
간격이	간격/NNG+이/JKS
가장	가장/MAG
세밀하게	세밀하/VA+게/EC
유지되고	유지/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.243.5.3
성인 대표팀보다도 좋다.

성인	성인/NNG
대표팀보다도	대표/NNG+팀/NNG+보다/JKB+도/JX
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000037.243.5.4
수비할 때나 공격할 때 이 간격이 유지돼 상대의 강한 압박에도 잘 견디고 강호들도 무너뜨릴 수 있다”고 말했다.

수비할	수비/NNG+하/XSV+ㄹ/ETM
때나	때/NNG+나/JX
공격할	공격/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이	이/MMD
간격이	간격/NNG+이/JKS
유지돼	유지/NNG+되/XSV+어/EC
상대의	상대/NNG+의/JKG
강한	강하/VA+ㄴ/ETM
압박에도	압박/NNG+에/JKB+도/JX
잘	잘/MAG
견디고	견디/VV+고/EC
강호들도	강호/NNG+들/XSN+도/JX
무너뜨릴	무너뜨리/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.243.5.5
한국은 이번 대회 B조에서 쿠바를 2-1로 꺾었고 강호 포르투갈과는 2-2로 비겼다.

한국은	한국/NNP+은/JX
이번	이번/NNG
대회	대회/NNG
