# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.97
metadata : {}


# id : NWRW1800000033.97.1.1
[LH 3주년]풍부한 경험으로 남수단 신수도건설 계약

[LH	[/SS+LH/SL
3주년]풍부한	3/SN+주년/NNB+]/SS+풍부하/VA+ㄴ/ETM
경험으로	경험/NNG+으로/JKB
남수단	남수단/NNP
신수도건설	신/XPN+수도/NNG+건설/NNG
계약	계약/NNG


# id : NWRW1800000033.97.2.1
국내 건설경기 침체는 경기 사이클의 문제가 아니라 구조적인 문제라는 지적이 많다.

국내	국내/NNG
건설경기	건설/NNG+경기/NNG
침체는	침체/NNG+는/JX
경기	경기/NNG
사이클의	사이클/NNG+의/JKG
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
구조적인	구조/NNG+적/XSN+이/VCP+ㄴ/ETM
문제라는	문제/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.97.2.2
국내 경제가 더는 고도 성장을 할 수 없는 규모로 커지면서 2000년대까지 지속됐던 활발한 건설 경기를 기대하기 어렵다는 것이다.

국내	국내/NNG
경제가	경제/NNG+가/JKS
더는	더/MAG+는/JX
고도	고도/NNG
성장을	성장/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
규모로	규모/NNG+로/JKB
커지면서	커지/VV+면서/EC
2000년대까지	2000/SN+년대/NNB+까지/JX
지속됐던	지속/NNG+되/XSV+었/EP+던/ETM
활발한	활발하/VA+ㄴ/ETM
건설	건설/NNG
경기를	경기/NNG+를/JKO
기대하기	기대/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.97.2.3
이 같은 상황에 봉착한 국내 건설사들이 새로운 활로로 기대하고 있는 것이 해외도시개발 사업이다.

이	이/NP
같은	같/VA+은/ETM
상황에	상황/NNG+에/JKB
봉착한	봉착/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
건설사들이	건설사/NNG+들/XSN+이/JKS
새로운	새롭/VA+ㄴ/ETM
활로로	활로/NNG+로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
해외도시개발	해외/NNG+도시/NNG+개발/NNG
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.97.2.4
그리고 이런 움직임의 중심에 LH가 자리잡고 있다.

그리고	그리고/MAJ
이런	이런/MMD
움직임의	움직임/NNG+의/JKG
중심에	중심/NNG+에/JKB
LH가	LH/SL+가/JKS
자리잡고	자리/NNG+잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.97.3.1
LH는 지난해까지 국내에서 619.5km²의 토지를 개발하고, 236만 채의 주택을 공급했으며 78개의 산업·물류·연구단지를 조성했다.

LH는	LH/SL+는/JX
지난해까지	지난해/NNG+까지/JX
국내에서	국내/NNG+에서/JKB
619.5km²의	619/SN+./SP+5/SN+km²/SW+의/JKG
토지를	토지/NNG+를/JKO
개발하고,	개발/NNG+하/XSV+고/EC+,/SP
236만	236/SN+만/NR
채의	채/NNB+의/JKG
주택을	주택/NNG+을/JKO
공급했으며	공급/NNG+하/XSV+았/EP+으며/EC
78개의	78/SN+개/NNB+의/JKG
산업·물류·연구단지를	산업/NNG+·/SP+물류/NNG+·/SP+연구/NNG+단지/NNG+를/JKO
조성했다.	조성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.97.3.2
여기에 공기업으로서 확보한 공신력은 민간기업이 흉내 내기 어려운 경험이자 노하우다.

여기에	여기/NP+에/JKB
공기업으로서	공기업/NNG+으로서/JKB
확보한	확보/NNG+하/XSV+ㄴ/ETM
공신력은	공신력/NNG+은/JX
민간기업이	민간/NNG+기업/NNG+이/JKS
흉내	흉내/NNG
내기	내/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
경험이자	경험/NNG+이/VCP+자/EC
노하우다.	노하우/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.97.4.1
LH는 이 같은 특장점을 최대한 활용해 해외진출에 어려움을 겪는 민간기업들을 적극 지원하고 있다.

LH는	LH/SL+는/JX
이	이/NP
같은	같/VA+은/ETM
특장점을	특장점/NNG+을/JKO
최대한	최대한/MAG
활용해	활용/NNG+하/XSV+아/EC
해외진출에	해외/NNG+진출/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
민간기업들을	민간/NNG+기업/NNG+들/XSN+을/JKO
적극	적극/NNG
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.97.4.2
컨소시엄을 구성해 해외사업을 공동 수행하고, 외국 정부와 협의·기술지원 등을 수행하는 코디네이터 역할도 하고 있다.

컨소시엄을	컨소시엄/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
해외사업을	해외/NNG+사업/NNG+을/JKO
공동	공동/NNG
수행하고,	수행/NNG+하/XSV+고/EC+,/SP
외국	외국/NNG
정부와	정부/NNG+와/JKB
협의·기술지원	협의/NNG+·/SP+기술/NNG+지원/NNG
등을	등/NNB+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
코디네이터	코디네이터/NNG
역할도	역할/NNG+도/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.97.5.1
최근 들어서 이 같은 노력을 가속화하고 있다.

최근	최근/MAG
들어서	들/VV+어서/EC
이	이/NP
같은	같/VA+은/ETM
노력을	노력/NNG+을/JKO
가속화하고	가속/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.97.5.2
20일에는 경기 성남시 분당신도시에 위치한 본사 회의실에서 29개 엔지니어링 업체와 ‘해외도시개발 기획제안 협력을 위한 업무협약’ 체결식을 가졌다.

20일에는	20/SN+일/NNB+에/JKB+는/JX
경기	경기/NNP
성남시	성남시/NNP
분당신도시에	분당신도시/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
본사	본사/NNG
회의실에서	회의실/NNG+에서/JKB
29개	29/SN+개/NNB
엔지니어링	엔지니어링/NNG
업체와	업체/NNG+와/JC
‘해외도시개발	‘/SS+해외/NNG+도시/NNG+개발/NNG
기획제안	기획/NNG+제안/NNG
협력을	협력/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
업무협약’	업무/NNG+협약/NNG+’/SS
체결식을	체결식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.97.5.3
이를 통해 관련 기업들과 기획·제안형 해외도시개발사업을 위한 시장조사 및 사업 발굴 등을 공동으로 추진한다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
관련	관련/NNG
기업들과	기업/NNG+들/XSN+과/JC
기획·제안형	기획/NNG+·/SP+제안/NNG+형/XSN
해외도시개발사업을	해외/NNG+도시/NNG+개발/NNG+사업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시장조사	시장/NNG+조사/NNG
및	및/MAG
