# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.48
metadata : {}


# id : NWRW1800000030.48.1.1
獨·佛 "유로존 財政동맹 맺자"

獨·佛	獨/SH+·/SP+佛/SH
"유로존	"/SS+유로존/NNG
財政동맹	財政/SH+동맹/NNG
맺자"	맺/VV+자/EF+"/SS


# id : NWRW1800000030.48.2.1
•독자적 국채발행 못하게 추진

•독자적	•/SW+독자/NNG+적/XSN
국채발행	국채/NNG+발행/NNG
못하게	못/MAG+하/XSA+게/EC
추진	추진/NNG


# id : NWRW1800000030.48.3.1
독일과 프랑스가 최근 유럽을 강타한 재정위기 타개를 위해 유로존 국가들의 재정통합을 추진하기로 했다.

독일과	독일/NNP+과/JC
프랑스가	프랑스/NNP+가/JKS
최근	최근/MAG
유럽을	유럽/NNP+을/JKO
강타한	강타/NNG+하/XSV+ㄴ/ETM
재정위기	재정/NNG+위기/NNG
타개를	타개/NNG+를/JKO
위해	위하/VV+아/EC
유로존	유로존/NNG
국가들의	국가/NNG+들/XSN+의/JKG
재정통합을	재정/NNG+통합/NNG+을/JKO
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.48.4.1
앙겔라 메르켈 독일 총리와 니콜라 사르코지 프랑스 대통령은 24일(현지시각) 프랑스 스트라스부르에서 이탈리아의 마리오 몬티 신임 총리와 미니 정상회담을 가진 뒤 기자회견을 열고 이같이 밝혔다.

앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
독일	독일/NNP
총리와	총리/NNG+와/JKB
니콜라	니콜라/NNP
사르코지	사르코지/NNP
프랑스	프랑스/NNP
대통령은	대통령/NNG+은/JX
24일(현지시각)	24/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
스트라스부르에서	스트라스부르/NNP+에서/JKB
이탈리아의	이탈리아/NNP+의/JKG
마리오	마리오/NNP
몬티	몬티/NNP
신임	신임/NNG
미니	미니/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.48.4.2
양국 정상은 유로화를 사용하는 17개국의 재정통합을 강제하기 위해 며칠 내에 현 유럽연합(EU) 조약에 대한 개정안을 제출한다는 계획이다.

양국	양국/NNG
정상은	정상/NNG+은/JX
유로화를	유로화/NNG+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
17개국의	17/SN+개국/NNB+의/JKG
재정통합을	재정/NNG+통합/NNG+을/JKO
강제하기	강제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
며칠	며칠/NNG
내에	내/NNB+에/JKB
현	현/MMD
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
조약에	조약/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개정안을	개정안/NNG+을/JKO
제출한다는	제출/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.48.4.3
메르켈 총리는 "유로존은 재정동맹으로 나아가야 한다"고 말했다.

메르켈	메르켈/NNP
총리는	총리/NNG+는/JX
"유로존은	"/SS+유로존/NNG+은/JX
재정동맹으로	재정/NNG+동맹/NNG+으로/JKB
나아가야	나아가/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.48.5.1
아직 구체적으로 어떤 부분이 개정될지에 대해선 알려지지 않았다.

아직	아직/MAG
구체적으로	구체/NNG+적/XSN+으로/JKB
어떤	어떤/MMD
부분이	부분/NNG+이/JKS
개정될지에	개정/NNG+되/XSV+ㄹ지/EF+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
알려지지	알려지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.48.5.2
하지만 유로존에서 가장 큰 영향력을 행사하는 독일은 그동안 국가부채와 재정적자 규모, 기타 재정정책에 대해 기준을 정해놓고 이를 준수하지 않는 국가에 대해선 강력한 제재를 가하는 방안을 주장해왔다고 영국의 파이낸셜타임스는 전했다.

하지만	하지만/MAJ
유로존에서	유로존/NNG+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
독일은	독일/NNP+은/JX
그동안	그동안/NNG
국가부채와	국가/NNG+부채/NNG+와/JC
재정적자	재정/NNG+적자/NNG
규모,	규모/NNG+,/SP
기타	기타/NNG
재정정책에	재정/NNG+정책/NNG+에/JKB
대해	대하/VV+아/EC
기준을	기준/NNG+을/JKO
정해놓고	정하/VV+아/EC+놓/VX+고/EC
이를	이/NP+를/JKO
준수하지	준수/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
국가에	국가/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
제재를	제재/NNG+를/JKO
가하는	가하/VV+는/ETM
방안을	방안/NNG+을/JKO
주장해왔다고	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다고/EC
영국의	영국/NNP+의/JKG
파이낸셜타임스는	파이낸셜타임스/NNP+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.48.6.1
유로존 17개국은 유로화라는 단일통화를 사용한다.

유로존	유로존/NNG
17개국은	17/SN+개국/NNB+은/JX
유로화라는	유로화/NNG+이/VCP+라는/ETM
단일통화를	단일/NNG+통화/NNG+를/JKO
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.48.6.2
하지만 세금을 걷거나 국채를 발행하는 일은 각국 정부가 독자적으로 수행하다 보니 그리스처럼 무리하게 채권을 발행해 국가부도 위기에 몰리는 국가가 생겨났다.

하지만	하지만/MAJ
세금을	세금/NNG+을/JKO
걷거나	걷/VV+거나/EC
국채를	국채/NNG+를/JKO
발행하는	발행/NNG+하/XSV+는/ETM
일은	일/NNG+은/JX
각국	각국/NNG
정부가	정부/NNG+가/JKS
독자적으로	독자/NNG+적/XSN+으로/JKB
수행하다	수행/NNG+하/XSV+다/EC
보니	보/VX+니/EC
그리스처럼	그리스/NNP+처럼/JKB
무리하게	무리/NNG+하/XSA+게/EC
채권을	채권/NNG+을/JKO
발행해	발행/NNG+하/XSV+아/EC
국가부도	국가/NNG+부도/NNG
위기에	위기/NNG+에/JKB
몰리는	몰리/VV+는/ETM
국가가	국가/NNG+가/JKS
생겨났다.	생겨나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.48.6.3
따라서 앞으로는 정부의 부채 규모 등에 대한 기준을 마련해 함부로 돈을 쓰지 못하게 하자는 것이 이번 EU조약 개정의 취지다.

따라서	따라서/MAJ
앞으로는	앞/NNG+으로/JKB+는/JX
정부의	정부/NNG+의/JKG
부채	부채/NNG
규모	규모/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
기준을	기준/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
함부로	함부로/MAG
돈을	돈/NNG+을/JKO
쓰지	쓰/VV+지/EC
못하게	못하/VX+게/EC
하자는	하/VX+자는/ETM
것이	것/NNB+이/JKS
이번	이번/NNG
EU조약	EU/SL+조약/NNG
개정의	개정/NNG+의/JKG
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.48.7.1
유로존 재정통합을 위해 EU조약을 개정하려면 유로화를 사용하는 17개국 외에도 영국 등 유로화를 사용하지 않는 나머지 10개국의 동의를 얻어야 한다.

유로존	유로존/NNG
재정통합을	재정/NNG+통합/NNG+을/JKO
위해	위하/VV+아/EC
EU조약을	EU/SL+조약/NNG+을/JKO
개정하려면	개정/NNG+하/XSV+려면/EC
유로화를	유로화/NNG+를/JKO
