# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.233
metadata : {}


# id : NWRW1800000049.233.1.1
천지개벽 세계수영, 박태환만 몰랐다

천지개벽	천지개벽/NNG
세계수영,	세계/NNG+수영/NNG+,/SP
박태환만	박태환/NNP+만/JX
몰랐다	모르/VV+았/EP+다/EF


# id : NWRW1800000049.233.2.1
朴없는 2년간 세계 수준 급격 향상, 파워 수영으로 초반부터 속도 대결 “내 시대와 달라… 기록 보기 두려웠다” 자유형 200m도 29위로 예선 탈락

朴없는	朴/SH+없/VA+는/ETM
2년간	2/SN+년/NNB+간/XSN
세계	세계/NNG
수준	수준/NNG
급격	급격/XR
향상,	향상/NNG+,/SP
파워	파워/NNG
수영으로	수영/NNG+으로/JKB
초반부터	초반/NNG+부터/JX
속도	속도/NNG
대결	대결/NNG
“내	“/SS+나/NP+의/JKG
시대와	시대/NNG+와/JKB
달라…	다르/VA+아/EC+…/SE
기록	기록/NNG
보기	보/VV+기/ETN
두려웠다”	두렵/VA+었/EP+다/EF+”/SS
자유형	자유/NNG+형/XSN
200m도	200/SN+m/SW+도/JX
29위로	29/SN+위/NNB+로/JKB
예선	예선/NNG
탈락	탈락/NNG


# id : NWRW1800000049.233.3.1
“내 시대와는 변화가 크게 있더라.

“내	“/SS+나/NP+의/JKG
시대와는	시대/NNG+와/JKB+는/JX
변화가	변화/NNG+가/JKS
크게	크/VA+게/EC
있더라.	있/VA+더라/EF+./SF


# id : NWRW1800000049.233.3.2
예선부터 치고 나가는 모습이 2012∼2013년보다 더 강해졌다.”

예선부터	예선/NNG+부터/JX
치고	치/VV+고/EC
나가는	나가/VX+는/ETM
모습이	모습/NNG+이/JKS
2012∼2013년보다	2012/SN+∼/SO+2013/SN+년/NNB+보다/JKB
더	더/MAG
강해졌다.”	강하/VA+아/EC+지/VX+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000049.233.4.1
‘마린보이’ 박태환(27·사진)이 8일 리우데자네이루 올림픽 남자 자유형 200m에서 1분48초06으로 예선 6조 최하위를 기록하며 준결선 진출에 실패한 뒤 세계 수영계의 빠른 변화에 놀란 모습을 보였다.

‘마린보이’	‘/SS+마린보이/NNG+’/SS
박태환(27·사진)이	박태환/NNP+(/SS+27/SN+·/SP+사진/NNG+)/SS+이/JKS
8일	8/SN+일/NNB
리우데자네이루	리우데자네이루/NNP
올림픽	올림픽/NNG
남자	남자/NNG
자유형	자유/NNG+형/XSN
200m에서	200/SN+m/SW+에서/JKB
1분48초06으로	1/SN+분/NNB+48/SN+초/NNB+06/SN+으로/JKB
예선	예선/NNG
6조	6/SN+조/NNG
최하위를	최/XPN+하위/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
준결선	준/XPN+결선/NNG
진출에	진출/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
세계	세계/NNG
수영계의	수영/NNG+계/XSN+의/JKG
빠른	빠르/VA+ㄴ/ETM
변화에	변화/NNG+에/JKB
놀란	놀라/VV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.233.5.1
박태환의 말은 과장이 아니다.

박태환의	박태환/NNP+의/JKG
말은	말/NNG+은/JX
과장이	과장/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.233.5.2
박태환이 리우 올림픽에서 4년 전 런던 올림픽 당시의 기록에 근접했더라도 결선 진출을 장담하기는 어렵기 때문이다.

박태환이	박태환/NNP+이/JKS
리우	리우/NNP
올림픽에서	올림픽/NNG+에서/JKB
4년	4/SN+년/NNB
전	전/NNG
런던	런던/NNP
올림픽	올림픽/NNG
당시의	당시/NNG+의/JKG
기록에	기록/NNG+에/JKB
근접했더라도	근접/NNG+하/XSV+았/EP+더라도/EC
결선	결선/NNG
진출을	진출/NNG+을/JKO
장담하기는	장담/NNG+하/XSV+기/ETN+는/JX
어렵기	어렵/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.233.5.3
박태환은 런던 올림픽 자유형 200m 예선에서 1분46초79를 기록하며 41명 중 5위로 준결선에 진출했고, 준결선에서도 1분46초02로 16명 중 3위로 결승에 올랐다.

박태환은	박태환/NNP+은/JX
런던	런던/NNP
