# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.59
metadata : {}


# id : NWRW1800000029.59.1.1
도요타 하이브리드 기술이 포드 트럭에… 하이브리드車 공동개발 합의

도요타	도요타/NNP
하이브리드	하이브리드/NNG
기술이	기술/NNG+이/JKS
포드	포드/NNP
트럭에…	트럭/NNG+에/JKB+…/SE
하이브리드車	하이브리드/NNG+車/SH
공동개발	공동/NNG+개발/NNG
합의	합의/NNG


# id : NWRW1800000029.59.2.1
일본의 도요타와 미국의 포드가 하이브리드 자동차 공동 개발에 나선다.

일본의	일본/NNP+의/JKG
도요타와	도요타/NNP+와/JC
미국의	미국/NNP+의/JKG
포드가	포드/NNP+가/JKS
하이브리드	하이브리드/NNG
자동차	자동차/NNG
공동	공동/NNG
개발에	개발/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.59.2.2
이에 따라 하이브리드, 수소연료차 등 친환경자동차 기술 개발을 위한 글로벌 자동차 브랜드들의 경쟁이 한층 치열해지게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
하이브리드,	하이브리드/NNG+,/SP
수소연료차	수소/NNG+연료/NNG+차/NNG
등	등/NNB
친환경자동차	친/XPN+환경/NNG+자동차/NNG
기술	기술/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
글로벌	글로벌/NNG
자동차	자동차/NNG
브랜드들의	브랜드/NNG+들/XSN+의/JKG
경쟁이	경쟁/NNG+이/JKS
한층	한층/MAG
치열해지게	치열/NNG+하/XSA+아/EC+지/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.59.3.1
22일(현지 시간) 도요타와 포드는 미국 포드 본사에서 하이브리드 기술을 적용한 소형 트럭과 스포츠유틸리티차량(SUV)을 공동 개발하기 위한 양해각서(MOU)를 체결했다고 밝혔다.

22일(현지	22/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
도요타와	도요타/NNP+와/JC
포드는	포드/NNP+는/JX
미국	미국/NNP
포드	포드/NNP
본사에서	본사/NNG+에서/JKB
하이브리드	하이브리드/NNG
기술을	기술/NNG+을/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
소형	소형/NNG
트럭과	트럭/NNG+과/JC
스포츠유틸리티차량(SUV)을	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS+을/JKO
공동	공동/NNG
개발하기	개발/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결했다고	체결/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.59.3.2
양사는 내년 정식 합의서를 체결한 뒤 본격적인 공동 연구를 시작할 계획이다.

양사는	양/MMN+사/NNG+는/JX
내년	내년/NNG
정식	정식/NNG
합의서를	합의서/NNG+를/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
공동	공동/NNG
연구를	연구/NNG+를/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.59.4.1
이번 MOU는 도요타와 포드의 이해관계가 부합한 결과라는 것이 자동차 업계의 분석이다.

이번	이번/NNG
MOU는	MOU/SL+는/JX
도요타와	도요타/NNP+와/JC
포드의	포드/NNP+의/JKG
이해관계가	이해관계/NNG+가/JKS
부합한	부합/NNG+하/XSV+ㄴ/ETM
결과라는	결과/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
자동차	자동차/NNG
업계의	업계/NNG+의/JKG
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.59.4.2
1997년 세계 최초로 양산형 하이브리드 모델인 ‘프리우스’를 선보인 도요타는 하이브리드 분야에서 높은 기술력을 갖고 있고 포드는 픽업트럭과 SUV에서 경쟁력을 보유하고 있다.

1997년	1997/SN+년/NNB
세계	세계/NNG
최초로	최초/NNG+로/JKB
양산형	양산/NNG+형/XSN
하이브리드	하이브리드/NNG
모델인	모델/NNG+이/VCP+ㄴ/ETM
‘프리우스’를	‘/SS+프리우스/NNP+’/SS+를/JKO
선보인	선보이/VV+ㄴ/ETM
도요타는	도요타/NNP+는/JX
분야에서	분야/NNG+에서/JKB
높은	높/VA+은/ETM
기술력을	기술력/NNG+을/JKO
갖고	갖/VV+고/EC
있고	있/VX+고/EC
포드는	포드/NNP+는/JX
픽업트럭과	픽업트럭/NNG+과/JC
SUV에서	SUV/SL+에서/JKB
경쟁력을	경쟁력/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.59.4.3
따라서 양사의 공동 연구를 통해 시너지를 최대화할 수 있다는 장점이 있다.

따라서	따라서/MAJ
양사의	양/MMN+사/NNG+의/JKG
공동	공동/NNG
연구를	연구/NNG+를/JKO
통해	통하/VV+아/EC
시너지를	시너지/NNG+를/JKO
최대화할	최대/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
장점이	장점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.59.4.4
또 개발에 많은 비용이 들 것으로 예상되는 후륜구동 방식의 하이브리드 기술을 공동 개발함으로써 개발비를 분산해 부담할 수 있다는 것도 이번 MOU의 한 배경이다.

또	또/MAG
개발에	개발/NNG+에/JKB
많은	많/VA+은/ETM
비용이	비용/NNG+이/JKS
들	들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
후륜구동	후륜/NNG+구동/NNG
방식의	방식/NNG+의/JKG
하이브리드	하이브리드/NNG
기술을	기술/NNG+을/JKO
공동	공동/NNG
개발함으로써	개발/NNG+하/XSV+ㅁ/ETN+으로써/JKB
개발비를	개발비/NNG+를/JKO
분산해	분산/NNG+하/XSV+아/EC
부담할	부담/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것도	것/NNB+도/JX
이번	이번/NNG
MOU의	MOU/SL+의/JKG
한	한/MMN
배경이다.	배경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.59.5.1
포드의 앨런 멀럴리 사장은 “이번 협업이야말로 에너지의 자급이나 지속 가능성 등 오늘날 세계적으로 당면한 과제에 대응하기 위해서 필요하다”고 밝혔고, 도요타의 도요다 아키오 사장 역시 “이번 제휴는 확실히 ‘더 좋은 자동차’를 만들기 위한 제휴”라고 설명했다.

포드의	포드/NNP+의/JKG
앨런	앨런/NNP
멀럴리	멀럴리/NNP
사장은	사장/NNG+은/JX
“이번	“/SS+이번/NNG
협업이야말로	협업/NNG+이야말로/JX
에너지의	에너지/NNG+의/JKG
자급이나	자급/NNG+이나/JC
지속	지속/NNG
가능성	가능/NNG+성/XSN
등	등/NNB
오늘날	오늘날/NNG
세계적으로	세계/NNG+적/XSN+으로/JKB
당면한	당면/NNG+하/XSV+ㄴ/ETM
과제에	과제/NNG+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해서	위하/VV+아서/EC
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔고,	밝히/VV+었/EP+고/EC+,/SP
