# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.19
metadata : {}


# id : NWRW1800000041.19.1.1
“벤츠 新車 반응 좋아… 2014년 한국시장에서 3만대 판매할 것”

“벤츠	“/SS+벤츠/NNP
新車	新車/SH
반응	반응/NNG
좋아…	좋/VA+아/EF+…/SE
2014년	2014/SN+년/NNB
한국시장에서	한국/NNP+시장/NNG+에서/JKB
3만대	3/SN+만/NR+대/NNB
판매할	판매/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000041.19.2.1
브리타 제에거 한국법인 대표

브리타	브리타/NNP
제에거	제에거/NNP
한국법인	한국/NNP+법인/NNG
대표	대표/NNG


# id : NWRW1800000041.19.3.1
“올해 한국 법인 설립 이래 최대 규모인 3만 대를 판매할 것입니다.”

“올해	“/SS+올해/NNG
한국	한국/NNP
법인	법인/NNG
설립	설립/NNG
이래	이래/NNB
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
3만	3/SN+만/NR
대를	대/NNB+를/JKO
판매할	판매/NNG+하/XSV+ㄹ/ETM
것입니다.”	것/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000041.19.4.1
브리타 제에거 메르세데스벤츠코리아 대표이사 사장(사진)은 17일 서울 광진구 워커힐로 쉐라톤워커힐호텔에서 기자들과 만나 “신차를 내놓으면서 메르세데스벤츠에 관심이 없던 새로운 고객들도 눈을 돌리기 시작했다”며 이같이 밝혔다.

브리타	브리타/NNP
제에거	제에거/NNP
메르세데스벤츠코리아	메르세데스벤츠코리아/NNP
대표이사	대표/NNG+이사/NNG
사장(사진)은	사장/NNG+(/SS+사진/NNG+)/SS+은/JX
17일	17/SN+일/NNB
서울	서울/NNP
광진구	광진구/NNP
워커힐로	워커힐로/NNP
쉐라톤워커힐호텔에서	쉐라톤워커힐호텔/NNP+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“신차를	“/SS+신차/NNG+를/JKO
내놓으면서	내놓/VV+으면서/EC
메르세데스벤츠에	메르세데스벤츠/NNP+에/JKB
