# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.312
metadata : {}


# id : NWRW1800000046.312.1.1
[연말정산 보완 대책] 전문가들은 "미봉책"

[연말정산	[/SS+연말/NNG+정산/NNG
보완	보완/NNG
대책]	대책/NNG+]/SS
전문가들은	전문가/NNG+들/XSN+은/JX
"미봉책"	"/SS+미봉책/NNG+"/SS


# id : NWRW1800000046.312.2.1
"결국 무상복지 줄이든지 稅부담 늘릴 수밖에 없어"

"결국	"/SS+결국/NNG
무상복지	무상/NNG+복지/NNG
줄이든지	줄이/VV+든지/EC
稅부담	稅/SH+부담/NNG
늘릴	늘리/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없어"	없/VA+어/EF+"/SS


# id : NWRW1800000046.312.3.1
정부와 여당이 21일 연말정산 소급 적용을 결정한 것은 '13월의 세금 폭탄'이라는 여론의 반발에 밀린 것이지만, 한꺼번에 과다하게 세 부담이 늘어나는 것을 바로잡겠다는 뜻이다.

정부와	정부/NNG+와/JC
여당이	여당/NNG+이/JKS
21일	21/SN+일/NNB
연말정산	연말/NNG+정산/NNG
소급	소급/NNG
적용을	적용/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
'13월의	'/SS+13/SN+월/NNB+의/JKG
세금	세금/NNG
폭탄'이라는	폭탄/NNG+'/SS+이/VCP+라는/ETM
여론의	여론/NNG+의/JKG
반발에	반발/NNG+에/JKB
밀린	밀리/VV+ㄴ/ETM
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
한꺼번에	한꺼번에/MAG
과다하게	과다/NNG+하/XSA+게/EC
세	세/NNG
부담이	부담/NNG+이/JKS
늘어나는	늘어나/VV+는/ETM
것을	것/NNB+을/JKO
바로잡겠다는	바로잡/VV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.312.3.2
하지만 전문가들은 "정부와 정치권의 혼선으로 인해 나쁜 선례를 만들게 됐다"고 지적했다.

하지만	하지만/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
"정부와	"/SS+정부/NNG+와/JC
정치권의	정치/NNG+권/XSN+의/JKG
혼선으로	혼선/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
나쁜	나쁘/VA+ㄴ/ETM
선례를	선례/NNG+를/JKO
만들게	만들/VV+게/EC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.312.4.1
홍기용 한국세무학회장(인천대 교수)은 "법리적으로 납세자에게 유리하면 소급 적용이 가능하지만 납세자에게 나쁜 신호를 주고 법적 안정성을 깨뜨릴 수 있다"며 "소급 결정이 바람직하지는 않다"고 말했다.

홍기용	홍기용/NNP
한국세무학회장(인천대	한국세무학회장/NNG+(/SS+인천대/NNP
교수)은	교수/NNG+)/SS+은/JX
"법리적으로	"/SS+법리/NNG+적/XSN+으로/JKB
납세자에게	납세자/NNG+에게/JKB
유리하면	유리/NNG+하/XSA+면/EC
소급	소급/NNG
적용이	적용/NNG+이/JKS
가능하지만	가능/NNG+하/XSA+지만/EC
나쁜	나쁘/VA+ㄴ/ETM
신호를	신호/NNG+를/JKO
주고	주/VV+고/EC
법적	법/NNG+적/XSN
안정성을	안정/NNG+성/XSN+을/JKO
깨뜨릴	깨뜨리/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"소급	"/SS+소급/NNG
결정이	결정/NNG+이/JKS
바람직하지는	바람직하/VA+지/EC+는/JX
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.312.4.2
한 법조계 관계자는 "앞으로 세금을 줄여 달라는 요구가 빗발칠 수 있다"며 "이번 결정이 두고두고 정부에 부담이 될 것"이라고 말했다.

한	한/MMN
법조계	법조/NNG+계/XSN
관계자는	관계자/NNG+는/JX
"앞으로	"/SS+앞/NNG+으로/JKB
세금을	세금/NNG+을/JKO
줄여	줄이/VV+어/EC
달라는	달/VX+라는/ETM
요구가	요구/NNG+가/JKS
빗발칠	빗발치/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"이번	"/SS+이번/NNG
결정이	결정/NNG+이/JKS
두고두고	두고두고/MAG
정부에	정부/NNG+에/JKB
부담이	부담/NNG+이/JKC
