# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.216
metadata : {}


# id : NWRW1800000038.216.1.1
"쪽방촌 기적에 감동, 저도 돕고싶어요" 요셉의원에 신규 후원자 신청 줄 이어

"쪽방촌	"/SS+쪽방촌/NNG
기적에	기적/NNG+에/JKB
감동,	감동/NNG+,/SP
저도	저/NP+도/JX
돕고싶어요"	돕/VV+고/EC+싶/VX+어요/EF+"/SS
요셉의원에	요셉의원/NNP+에/JKB
신규	신규/NNG
후원자	후원자/NNG
신청	신청/NNG
줄	줄/NNG
이어	잇/VV+어/EF


# id : NWRW1800000038.216.2.1
25일 오후 2시 우진국(73)씨가 서울 영등포역 앞 요셉의원을 찾았다.

25일	25/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
우진국(73)씨가	우진국/NNP+(/SS+73/SN+)/SS+씨/NNB+가/JKS
서울	서울/NNP
영등포역	영등포역/NNP
앞	앞/NNG
요셉의원을	요셉의원/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.216.2.2
우씨는 "그동안은 자식들이 주는 용돈이 남으면 손자들 주는 재미가 있었는데 요셉의원 이야기를 보고 생각이 바뀌었다"며 "이곳을 후원하면 할아버지가 좋은 일 한다고 손자들도 섭섭해하지 않을 것"이라고 말했다.

우씨는	우/NNP+씨/NNB+는/JX
"그동안은	"/SS+그동안/NNG+은/JX
자식들이	자식/NNG+들/XSN+이/JKS
주는	주/VV+는/ETM
용돈이	용돈/NNG+이/JKS
남으면	남/VV+으면/EC
손자들	손자/NNG+들/XSN
재미가	재미/NNG+가/JKS
있었는데	있/VA+었/EP+는데/EC
요셉의원	요셉의원/NNP
이야기를	이야기/NNG+를/JKO
보고	보/VV+고/EC
생각이	생각/NNG+이/JKS
바뀌었다"며	바뀌/VV+었/EP+다/EF+"/SS+며/EC
"이곳을	"/SS+이곳/NP+을/JKO
후원하면	후원/NNG+하/XSV+면/EC
할아버지가	할아버지/NNG+가/JKS
좋은	좋/VA+은/ETM
일	일/NNG
한다고	하/VV+ㄴ다고/EC
손자들도	손자/NNG+들/XSN+도/JX
섭섭해하지	섭섭하/VA+아/EC+하/VX+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.216.2.3
우씨는 후원금으로 3만원을 내고 영수증을 챙겨갔다.

우씨는	우/NNP+씨/NNB+는/JX
후원금으로	후원금/NNG+으로/JKB
3만원을	3/SN+만/NR+원/NNB+을/JKO
내고	내/VV+고/EC
영수증을	영수증/NNG+을/JKO
챙겨갔다.	챙기/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.216.2.4
