# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.426
metadata : {}


# id : NWRW1800000028.426.1.1
눈부신 백설에 눈 다칠라…보호안경 쓰세요

눈부신	눈부시/VA+ㄴ/ETM
백설에	백설/NNG+에/JKB
눈	눈/NNG
다칠라…보호안경	다치/VV+ㄹ라/EF+…/SE+보호안경/NNG
쓰세요	쓰/VV+시/EP+어요/EF


# id : NWRW1800000028.426.2.1
겨울철에 빼놓을 수 없는 스포츠를 꼽으라면 눈 위에서 즐기는 스키일 것이다.

겨울철에	겨울철/NNG+에/JKB
빼놓을	빼놓/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
스포츠를	스포츠/NNG+를/JKO
꼽으라면	꼽/VV+으라면/EC
눈	눈/NNG
위에서	위/NNG+에서/JKB
즐기는	즐기/VV+는/ETM
스키일	스키/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.426.2.2
하지만 준비 운동을 챙기거나 자신의 능력에 맞는 코스를 선택하는 등 스키장에서의 기본 안전 수칙을 지키지 않는다면 어느 다른 스포츠보다 부 상 위험이 큰 것도 사실이다.

하지만	하지만/MAJ
준비	준비/NNG
운동을	운동/NNG+을/JKO
챙기거나	챙기/VV+거나/EC
자신의	자신/NNG+의/JKG
능력에	능력/NNG+에/JKB
맞는	맞/VV+는/ETM
코스를	코스/NNG+를/JKO
선택하는	선택/NNG+하/XSV+는/ETM
등	등/NNB
스키장에서의	스키장/NNG+에서/JKB+의/JKG
기본	기본/NNG
안전	안전/NNG
수칙을	수칙/NNG+을/JKO
지키지	지키/VV+지/EC
않는다면	않/VX+는다면/EC
어느	어느/MMD
다른	다른/MMD
스포츠보다	스포츠/NNG+보다/JKB
부	부/NA
상	상/NA
위험이	위험/NNG+이/JKS
큰	크/VA+ㄴ/ETM
것도	것/NNB+도/JX
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.426.2.3
가장 흔한 것이 관절, 근육 등 근골격계의 부상이지만 눈에 반사된 햇볕이 눈 건강을 해치거나 스키나 스노보드를 타면서 눈 쪽에 외상을 입을 수 있음에도 주의가 필요하다.

가장	가장/MAG
흔한	흔하/VA+ㄴ/ETM
것이	것/NNB+이/JKS
관절,	관절/NNG+,/SP
근육	근육/NNG
등	등/NNB
근골격계의	근골격/NNG+계/XSN+의/JKG
부상이지만	부상/NNG+이/VCP+지만/EC
눈에	눈/NNG+에/JKB
반사된	반사/NNG+되/XSV+ㄴ/ETM
햇볕이	햇볕/NNG+이/JKS
눈	눈/NNG
건강을	건강/NNG+을/JKO
해치거나	해치/VV+거나/EC
스키나	스키/NNG+나/JC
스노보드를	스노보드/NNG+를/JKO
타면서	타/VV+면서/EC
쪽에	쪽/NNB+에/JKB
외상을	외상/NNG+을/JKO
입을	입/VV+을/ETM
수	수/NNB
있음에도	있/VA+음/ETN+에/JKB+도/JX
주의가	주의/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.426.2.4
이 때문에 보호안경의 착용을 권하는 전문의들이 많은데, 이들의 도움말로 스키장에서 눈 건강을 지키는 방법에 대해 알아본다.

이	이/MMD
때문에	때문/NNB+에/JKB
보호안경의	보호안경/NNG+의/JKG
착용을	착용/NNG+을/JKO
권하는	권/NNG+하/XSV+는/ETM
전문의들이	전문의/NNG+들/XSN+이/JKS
많은데,	많/VA+은데/EC+,/SP
이들의	이/NP+들/XSN+의/JKG
도움말로	도움말/NNG+로/JKB
스키장에서	스키장/NNG+에서/JKB
