# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.113
metadata : {}


# id : NWRW1800000048.113.1.1
FIFA 전 집행위원 “프랑스·남아공때 돈받았다”

FIFA	FIFA/SL
전	전/MMD
집행위원	집행/NNG+위원/NNG
“프랑스·남아공때	“/SS+프랑스/NNP+·/SP+남아공/NNP+때/NNG
돈받았다”	돈/NNG+받/XSV+았/EP+다/EF+”/SS


# id : NWRW1800000048.113.2.1
미국 검찰, 2013년 재판 증언록 공개

미국	미국/NNP
검찰,	검찰/NNG+,/SP
2013년	2013/SN+년/NNB
재판	재판/NNG
증언록	증언록/NNG
공개	공개/NNG


# id : NWRW1800000048.113.3.1
러시아·카타르 월드컵 겨냥할 듯

러시아·카타르	러시아/NNP+·/SP+카타르/NNP
월드컵	월드컵/NNG
겨냥할	겨냥/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000048.113.4.1
제프 블라터 회장의 사퇴를 불러온 부패 추문에 휩싸여 있는 국제축구연맹(FIFA·피파)의 전직 고위 간부가 1998년 프랑스월드컵과 2010년 남아프리카공화국월드컵 개최지 선정과 관련해 피파 집행위원들이 뇌물을 받았다고 증언한 내용이 공개됐다.

제프	제프/NNP
블라터	블라터/NNP
회장의	회장/NNG+의/JKG
사퇴를	사퇴/NNG+를/JKO
불러온	불러오/VV+ㄴ/ETM
부패	부패/NNG
추문에	추문/NNG+에/JKB
휩싸여	휩싸이/VV+어/EC
있는	있/VX+는/ETM
국제축구연맹(FIFA·피파)의	국제축구연맹/NNP+(/SS+FIFA/SL+·/SP+피파/NNP+)/SS+의/JKG
전직	전직/NNG
고위	고위/NNG
간부가	간부/NNG+가/JKS
1998년	1998/SN+년/NNB
프랑스월드컵과	프랑스/NNP+월드컵/NNG+과/JC
2010년	2010/SN+년/NNB
남아프리카공화국월드컵	남아프리카공화국/NNP+월드컵/NNG
개최지	개최지/NNG
선정과	선정/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
피파	피파/NNP
집행위원들이	집행/NNG+위원/NNG+들/XSN+이/JKS
뇌물을	뇌물/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
증언한	증언/NNG+하/XSV+ㄴ/ETM
내용이	내용/NNG+이/JKS
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.113.5.1
미국 검찰은 미국 출신인 척 블레이저(70) 전 피파 집행위원이 2013년 11월 뉴욕 동부지법에서 열린 비공개 재판에서 증언한 내용을 담은 녹취록을 3일 공개했다.

미국	미국/NNP
검찰은	검찰/NNG+은/JX
출신인	출신/NNG+이/VCP+ㄴ/ETM
척	척/NNP
블레이저(70)	블레이저/NNP+(/SS+70/SN+)/SS
전	전/MMD
피파	피파/NNP
집행위원이	집행/NNG+위원/NNG+이/JKS
2013년	2013/SN+년/NNB
11월	11/SN+월/NNB
뉴욕	뉴욕/NNP
동부지법에서	동부/NNG+지법/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
비공개	비/XPN+공개/NNG
재판에서	재판/NNG+에서/JKB
증언한	증언/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
녹취록을	녹취록/NNG+을/JKO
3일	3/SN+일/NNB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.113.5.2
블레이저는 1997~2013년 피파 집행위원이었고 1990~2011년 북중미카리브해축구연맹(CONCAF) 사무총장이었다.

블레이저는	블레이저/NNP+는/JX
1997~2013년	1997/SN+~/SO+2013/SN+년/NNB
피파	피파/NNP
집행위원이었고	집행/NNG+위원/NNG+이/VCP+었/EP+고/EC
1990~2011년	1990/SN+~/SO+2011/SN+년/NNB
북중미카리브해축구연맹(CONCAF)	북중미카리브해축구연맹/NNP+(/SS+CONCAF/SL+)/SS
사무총장이었다.	사무총장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.113.5.3
블레이저는 뇌물 수수와 탈세 혐의 등으로 징역 20년 이상 형량을 받을 위기에 처하자 미국 사법당국 수사에 협조해 왔다.

블레이저는	블레이저/NNP+는/JX
뇌물	뇌물/NNG
수수와	수수/NNG+와/JC
탈세	탈세/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
징역	징역/NNG
20년	20/SN+년/NNB
이상	이상/NNG
형량을	형량/NNG+을/JKO
받을	받/VV+을/ETM
위기에	위기/NNG+에/JKB
처하자	처하/VV+자/EC
미국	미국/NNP
사법당국	사법/NNG+당국/NNG
수사에	수사/NNG+에/JKB
협조해	협조/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.113.6.1
블레이저는 2013년 재판에서 “2004년께부터 2011년까지, 나와 피파 집행위원들은 2010년 월드컵 개최국으로 남아공을 선정하는 것과 관련해 뇌물을 받는 데 동의했다”고 말했다.

블레이저는	블레이저/NNP+는/JX
2013년	2013/SN+년/NNB
재판에서	재판/NNG+에서/JKB
“2004년께부터	“/SS+2004/SN+년/NNB+께/XSN+부터/JX
2011년까지,	2011/SN+년/NNB+까지/JX+,/SP
나와	나/NP+와/JC
피파	피파/NNP
집행위원들은	집행/NNG+위원/NNG+들/XSN+은/JX
2010년	2010/SN+년/NNB
월드컵	월드컵/NNG
개최국으로	개최국/NNG+으로/JKB
남아공을	남아공/NNP+을/JKO
선정하는	선정/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
뇌물을	뇌물/NNG+을/JKO
받는	받/VV+는/ETM
데	데/NNB
동의했다”고	동의/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.113.7.1
미국 검찰은 지난주 피파 전·현직 간부들을 기소하며 공소장에서 모로코 월드컵 개최위원회가 2010년 월드컵 개최권을 따내기 위해 블레이저를 포함한 피파 간부들에게 100만달러를 뇌물로 제시했고, 이후 남아공이 피파에 1000만달러를 뇌물로 줘 남아공이 결국 2010년 월드컵 개최권을 따냈다고 밝혔다.

미국	미국/NNP
검찰은	검찰/NNG+은/JX
지난주	지난주/NNG
피파	피파/NNP
전·현직	전·현직/NNG
간부들을	간부/NNG+들/XSN+을/JKO
기소하며	기소/NNG+하/XSV+며/EC
공소장에서	공소장/NNG+에서/JKB
모로코	모로코/NNP
월드컵	월드컵/NNG
개최위원회가	개최/NNG+위원회/NNG+가/JKS
2010년	2010/SN+년/NNB
개최권을	개최/NNG+권/XSN+을/JKO
따내기	따내/VV+기/ETN
위해	위하/VV+아/EC
블레이저를	블레이저/NNP+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
간부들에게	간부/NNG+들/XSN+에게/JKB
100만달러를	100/SN+만/NR+달러/NNB+를/JKO
뇌물로	뇌물/NNG+로/JKB
제시했고,	제시/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
남아공이	남아공/NNP+이/JKS
피파에	피파/NNP+에/JKB
1000만달러를	1000/SN+만/NR+달러/NNB+를/JKO
줘	주/VV+어/EC
결국	결국/MAG
따냈다고	따내/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.113.7.2
하지만 남아공 축구협회 회장인 대니 조단은 최근 “돈을 준 것은 맞지만 뇌물이 아니라 발전기금이었다”고 반박했다.

하지만	하지만/MAJ
남아공	남아공/NNP
축구협회	축구협회/NNP
회장인	회장/NNG+이/VCP+ㄴ/ETM
대니	대니/NNP
조단은	조단/NNP+은/JX
최근	최근/MAG
“돈을	“/SS+돈/NNG+을/JKO
준	주/VV+ㄴ/ETM
것은	것/NNB+은/JX
맞지만	맞/VV+지만/EC
뇌물이	뇌물/NNG+이/JKC
아니라	아니/VCN+라/EC
발전기금이었다”고	발전/NNG+기금/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.113.8.1
블레이저는 또 비공개 재판에서 “1992년께 나와 다른 사람들은 1998년 월드컵 개최지 선정과 관련해 뇌물을 받았다”고도 증언했다.

블레이저는	블레이저/NNP+는/JX
또	또/MAG
비공개	비/XPN+공개/NNG
재판에서	재판/NNG+에서/JKB
“1992년께	“/SS+1992/SN+년/NNB+께/XSN
나와	나/NP+와/JC
다른	다른/MMD
사람들은	사람/NNG+들/XSN+은/JX
1998년	1998/SN+년/NNB
월드컵	월드컵/NNG
개최지	개최지/NNG
선정과	선정/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
뇌물을	뇌물/NNG+을/JKO
받았다”고도	받/VV+았/EP+다/EF+”/SS+고/JKQ+도/JX
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.113.8.2
미국 수사당국의 다른 기록에 따르면, 모로코가 월드컵을 유치하기 위해 블레이저 등에게 뇌물을 줬으나 프랑스가 개최지로 선정됐다고 <뉴욕 타임스>는 전했다.

미국	미국/NNP
수사당국의	수사/NNG+당국/NNG+의/JKG
다른	다른/MMD
기록에	기록/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
모로코가	모로코/NNP+가/JKS
월드컵을	월드컵/NNG+을/JKO
유치하기	유치/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
블레이저	블레이저/NNP
등에게	등/NNB+에게/JKB
뇌물을	뇌물/NNG+을/JKO
줬으나	주/VV+었/EP+으나/EC
프랑스가	프랑스/NNP+가/JKS
개최지로	개최지/NNG+로/JKB
선정됐다고	선정/NNG+되/XSV+었/EP+다고/EC
<뉴욕	</SS+뉴욕/NNP
