# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.273
metadata : {}


# id : NWRW1800000054.273.1.1
못말리는 롯데, 4위 '점프'

못말리는	못/MAG+말리/VV+는/ETM
롯데,	롯데/NNP+,/SP
4위	4/SN+위/NNB
'점프'	'/SS+점프/NNG+'/SS


# id : NWRW1800000054.273.2.1
'린동원' 린드블럼 호투… KIA, 시즌 첫 4연패

'린동원'	'/SS+린동원/NNP+'/SS
린드블럼	린드블럼/NNP
호투…	호투/NNG+…/SE
KIA,	KIA/SL+,/SP
시즌	시즌/NNG
첫	첫/MMN
4연패	4/SN+연패/NNG


# id : NWRW1800000054.273.3.1
'가을 야구'를 향한 롯데의 기세가 거침없다.

'가을	'/SS+가을/NNG
야구'를	야구/NNG+'/SS+를/JKO
향한	향하/VV+ㄴ/ETM
롯데의	롯데/NNP+의/JKG
기세가	기세/NNG+가/JKS
거침없다.	거침없/VA+다/EF+./SF


# id : NWRW1800000054.273.3.2
롯데는 22일 열린 KIA와의 광주 경기에서 단 한 번의 리드도 허용하지 않으며 7대3 완승을 거뒀다.

롯데는	롯데/NNP+는/JX
22일	22/SN+일/NNB
열린	열리/VV+ㄴ/ETM
KIA와의	KIA/SL+와/JKB+의/JKG
광주	광주/NNP
경기에서	경기/NNG+에서/JKB
단	단/MMA
한	한/MMN
번의	번/NNB+의/JKG
리드도	리드/NNG+도/JX
허용하지	허용/NNG+하/XSV+지/EC
않으며	않/VX+으며/EC
7대3	7/SN+대/NNB+3/SN
완승을	완승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.273.3.3
롯데는 4위로 한 계단 올라섰다.

롯데는	롯데/NNP+는/JX
4위로	4/SN+위/NNB+로/JKB
한	한/MMN
계단	계단/NNG
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.273.4.1
리그 선두 팀을 꺾은 일등공신은 '돌아온 린동원' 조쉬 린드블럼(30)이었다.

리그	리그/NNG
선두	선두/NNG
팀을	팀/NNG+을/JKO
꺾은	꺾/VV+은/ETM
일등공신은	일등/NNG+공신/NNG+은/JX
'돌아온	'/SS+돌아오/VV+ㄴ/ETM
린동원'	린동원/NNP+'/SS
조쉬	조쉬/NNP
린드블럼(30)이었다.	린드블럼/NNP+(/SS+30/SN+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.273.4.2
그는 이번 시즌 팀 타율 1위(0.303)를 달리고 있는 KIA의 강타선을 상대로 6회까지 볼넷 2개만 내줬을 뿐, 안타와 득점을 허용하지 않았다.

그는	그/NP+는/JX
이번	이번/NNG
시즌	시즌/NNG
팀	팀/NNG
타율	타율/NNG
1위(0.303)를	1/SN+위/NNB+(/SS+0/SN+./SP+303/SN+)/SS+를/JKO
달리고	달리/VV+고/EC
있는	있/VX+는/ETM
KIA의	KIA/SL+의/JKG
강타선을	강타선/NNG+을/JKO
상대로	상대/NNG+로/JKB
6회까지	6/SN+회/NNB+까지/JX
볼넷	볼넷/NNG
2개만	2/SN+개/NNB+만/JX
내줬을	내주/VV+었/EP+을/ETM
뿐,	뿐/NNB+,/SP
안타와	안타/NNG+와/JC
득점을	득점/NNG+을/JKO
허용하지	허용/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.273.4.3
그의 '노히트 노런' 행진은 7회 이명기에게 중전 안타를 맞으면서 끝났다.

그의	그/NP+의/JKG
'노히트	'/SS+노히트/NNG
노런'	노런/NNG+'/SS
행진은	행진/NNG+은/JX
7회	7/SN+회/NNB
이명기에게	이명기/NNP+에게/JKB
중전	중전/NNG
안타를	안타/NNG+를/JKO
맞으면서	맞/VV+으면서/EC
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.273.4.4
린드블럼은 8회까지 공 104개를 던지며 1실점으로 막아 시즌 2승째를 올렸다.

린드블럼은	린드블럼/NNP+은/JX
8회까지	8/SN+회/NNB+까지/JX
공	공/NNG
104개를	104/SN+개/NNB+를/JKO
던지며	던지/VV+며/EC
1실점으로	1/SN+실점/NNG+으로/JKB
막아	막/VV+아/EC
시즌	시즌/NNG
2승째를	2/SN+승/NNB+째/XSN+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.273.5.1
타선에선 주장 이대호와 강민호가 각각 홈런, 타점 2개를 뽑아내며 린드블럼의 어깨를 가볍게 했다.

타선에선	타선/NNG+에서/JKB+ㄴ/JX
주장	주장/NNG
이대호와	이대호/NNP+와/JC
강민호가	강민호/NNP+가/JKS
각각	각각/MAG
홈런,	홈런/NNG+,/SP
타점	타점/NNG
2개를	2/SN+개/NNB+를/JKO
뽑아내며	뽑아내/VV+며/EC
린드블럼의	린드블럼/NNP+의/JKG
어깨를	어깨/NNG+를/JKO
가볍게	가볍/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.273.5.2
KIA가 막판 맹렬한 추격으로 3―7로 따라붙었지만, 롯데 마무리 손승락이 9회 1사 1·3루에서 등판해 타자 2명을 삼진과 내야땅볼로 가볍게 요리하며 뒷문을 잠갔다.

KIA가	KIA/SL+가/JKS
막판	막판/NNG
맹렬한	맹렬하/VA+ㄴ/ETM
추격으로	추격/NNG+으로/JKB
3―7로	3/SN+―/SS+7/SN+로/JKB
따라붙었지만,	따라붙/VV+었/EP+지만/EC+,/SP
롯데	롯데/NNP
마무리	마무리/NNG
손승락이	손승락/NNP+이/JKS
9회	9/SN+회/NNB
1사	1/SN+사/NNG
1·3루에서	1/SN+·/SP+3루/NNG+에서/JKB
등판해	등판/NNG+하/XSV+아/EC
타자	타자/NNG
2명을	2/SN+명/NNB+을/JKO
삼진과	삼진/NNG+과/JC
내야땅볼로	내야/NNG+땅볼/NNG+로/JKB
가볍게	가볍/VA+게/EC
요리하며	요리/NNG+하/XSV+며/EC
뒷문을	뒷문/NNG+을/JKO
잠갔다.	잠그/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.273.5.3
KIA는 이번 시즌 첫 4연패에 빠졌다.

KIA는	KIA/SL+는/JX
이번	이번/NNG
시즌	시즌/NNG
첫	첫/MMN
4연패에	4/SN+연패/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.273.5.4
이전까진 3연패가 최다 연속 패배였다.

이전까진	이전/NNG+까지/JX+ㄴ/JX
3연패가	3/SN+연패/NNG+가/JKS
최다	최다/NNG
연속	연속/NNG
패배였다.	패배/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.273.6.1
지난달 28일부터 같은 날 치른 18경기 승·패가 정확히 일치했던 넥센과 LG의 운명은 이날 엇갈렸다.

지난달	지난달/NNG
28일부터	28/SN+일/NNB+부터/JX
같은	같/VA+은/ETM
날	날/NNG
치른	치르/VV+ㄴ/ETM
18경기	18/SN+경기/NNG
승·패가	승/NNG+·/SP+패/NNG+가/JKS
정확히	정확히/MAG
일치했던	일치/NNG+하/XSV+았/EP+던/ETM
넥센과	넥센/NNP+과/JC
LG의	LG/SL+의/JKG
운명은	운명/NNG+은/JX
이날	이날/NNG
엇갈렸다.	엇갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.273.6.2
넥센은 삼성과의 고척 홈경기에서 역전과 재역전을 거듭한 끝에 11대5로 이겼다.

넥센은	넥센/NNP+은/JX
삼성과의	삼성/NNP+과/JKB+의/JKG
고척	고척/NNP
홈경기에서	홈경기/NNG+에서/JKB
역전과	역전/NNG+과/JC
재역전을	재/XPN+역전/NNG+을/JKO
거듭한	거듭/MAG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
11대5로	11/SN+대/NNB+5/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.273.6.3
반면 NC를 잠실 홈으로 불러들인 LG는 8회까지 3―2로 앞서다 9회와 연장 10회 1점씩 내주며 3대4로 역전패했다.

반면	반면/NNG
NC를	NC/SL+를/JKO
잠실	잠실/NNP
홈으로	홈/NNG+으로/JKB
불러들인	불러들이/VV+ㄴ/ETM
LG는	LG/SL+는/JX
8회까지	8/SN+회/NNB+까지/JX
3―2로	3/SN+―/SS+2/SN+로/JKB
앞서다	앞서/VV+다/EC
9회와	9/SN+회/NNB+와/JC
연장	연장/NNG
10회	10/SN+회/NNB
1점씩	1/SN+점/NNB+씩/XSN
내주며	내주/VV+며/EC
3대4로	3/SN+대/NNB+4/SN+로/JKB
역전패했다.	역전패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.273.7.1
문학에선 두산이 홈팀 SK에 10대6 역전승을 거뒀다.

문학에선	문학/NNP+에서/JKB+ㄴ/JX
두산이	두산/NNP+이/JKS
홈팀	홈팀/NNG
SK에	SK/SL+에/JKB
10대6	10/SN+대/NNB+6/SN
역전승을	역전승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.273.7.2
6회까지 2―6으로 끌려가던 두산은 7회 3점을 만회한 데 이어, 9회 박건우와 에반스가 각각 2점포를 터뜨리며 순식간에 경기를 뒤집었다.

6회까지	6/SN+회/NNB+까지/JX
2―6으로	2/SN+―/SS+6/SN+으로/JKB
끌려가던	끌려가/VV+던/ETM
두산은	두산/NNP+은/JX
7회	7/SN+회/NNB
3점을	3/SN+점/NNB+을/JKO
만회한	만회/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
9회	9/SN+회/NNB
박건우와	박건우/NNP+와/JC
에반스가	에반스/NNP+가/JKS
각각	각각/MAG
2점포를	2/SN+점/NNB+포/NNG+를/JKO
터뜨리며	터뜨리/VV+며/EC
순식간에	순식/NNG+간/XSN+에/JKB
경기를	경기/NNG+를/JKO
뒤집었다.	뒤집/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.273.7.3
한화는 6이닝 2실점 한 선발 알렉시 오간도의 호투에 힘입어 KT를 3대2로 눌렀다.

한화는	한화/NNP+는/JX
6이닝	6/SN+이닝/NNG
2실점	2/SN+실점/NNG
한	하/VV+ㄴ/ETM
선발	선발/NNG
알렉시	알렉시/NNP
오간도의	오간도/NNP+의/JKG
호투에	호투/NNG+에/JKB
힘입어	힘입/VV+어/EC
