# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.442
metadata : {}


# id : NWRW1800000048.442.1.1
새누리 벌써부터 여론조사 논란

새누리	새누리/NNP
벌써부터	벌써/MAG+부터/JX
여론조사	여론/NNG+조사/NNG
논란	논란/NNG


# id : NWRW1800000048.442.2.1
이천, “결과 못믿겠다” 가처분 소송

이천,	이천/NNP+,/SP
“결과	“/SS+결과/NNG
못믿겠다”	못/MAG+믿/VV+겠/EP+다/EF+”/SS
가처분	가/XPN+처분/NNG
소송	소송/NNG


# id : NWRW1800000048.442.3.1
대구, 유승민계 겨냥 자객설도 나와

대구,	대구/NNP+,/SP
유승민계	유승민/NNP+계/XSN
겨냥	겨냥/NNG
자객설도	자객설/NNG+도/JX
나와	나오/VV+아/EF


# id : NWRW1800000048.442.4.1
새누리당이 결선투표제 도입을 결정하는 등 여론조사에 기반한 총선 공천룰 논의를 본격화한 가운데, 일부 지역에서는 벌써부터 여론조사 결과를 두고 소송전이 벌어지는 등 내홍을 겪고 있다.

새누리당이	새누리당/NNP+이/JKS
결선투표제	결선/NNG+투표/NNG+제/XSN
도입을	도입/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
등	등/NNB
여론조사에	여론/NNG+조사/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
총선	총선/NNG
공천룰	공천/NNG+룰/NNG
논의를	논의/NNG+를/JKO
본격화한	본격/NNG+화/XSN+하/XSV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
일부	일부/NNG
지역에서는	지역/NNG+에서/JKB+는/JX
벌써부터	벌써/MAG+부터/JX
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
두고	두/VV+고/EC
소송전이	소송전/NNG+이/JKS
벌어지는	벌어지/VV+는/ETM
내홍을	내홍/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.442.5.1
경기도 이천시 당협위원장에 공모했다 떨어진 전·현직 새누리당 의원 등 7명은 지난달 25일 전화번호 무작위 선정(RDD) 여부와 여론조사기관 선정 절차 등의 공개를 요구하며, 서울남부지법에 가처분신청과 본안소송을 함께 냈다.

경기도	경기도/NNP
이천시	이천시/NNP
당협위원장에	당협/NNG+위원장/NNG+에/JKB
공모했다	공모/NNG+하/XSV+았/EP+다/EC
떨어진	떨어지/VV+ㄴ/ETM
전·현직	전·현직/NNG
새누리당	새누리당/NNP
의원	의원/NNG
등	등/NNB
7명은	7/SN+명/NNB+은/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
전화번호	전화번호/NNG
무작위	무/XPN+작위/NNG
선정(RDD)	선정/NNG+(/SS+RDD/SL+)/SS
여부와	여부/NNG+와/JC
여론조사기관	여론/NNG+조사/NNG+기관/NNG
선정	선정/NNG
절차	절차/NNG
등의	등/NNB+의/JKG
공개를	공개/NNG+를/JKO
요구하며,	요구/NNG+하/XSV+며/EC+,/SP
서울남부지법에	서울남부지법/NNP+에/JKB
가처분신청과	가/XPN+처분/NNG+신청/NNG+과/JC
본안소송을	본안/NNG+소송/NNG+을/JKO
함께	함께/MAG
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.442.5.2
당을 상대로 한 소송이라 분쟁당사자는 김무성 대표다.

당을	당/NNG+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
소송이라	소송/NNG+이/VCP+라/EC
분쟁당사자는	분쟁/NNG+당사자/NNG+는/JX
김무성	김무성/NNP
대표다.	대표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.442.6.1
이천시 당협위원장은 지난달 19일 송석준 전 서울지방국토관리청장이 선정됐다.

이천시	이천시/NNP
당협위원장은	당협/NNG+위원장/NNG+은/JX
지난달	지난달/NNG
19일	19/SN+일/NNB
송석준	송석준/NNP
전	전/MMD
서울지방국토관리청장이	서울지방국토관리청장/NNG+이/JKS
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.442.6.2
18대 국회에서 이 지역 의원이었던 이범관 변호사는 7일 “공직에서 사퇴한 지 사흘밖에 안 된 정치 신인이 1년 가까이 지역에서 활동해온 전·현직 의원 등을 제치고 여론조사에서 1위를 차지하는 것은 말이 안 된다”고 주장했다.

18대	18/SN+대/NNB
국회에서	국회/NNG+에서/JKB
이	이/MMD
지역	지역/NNG
의원이었던	의원/NNG+이/VCP+었/EP+던/ETM
이범관	이범관/NNP
변호사는	변호사/NNG+는/JX
7일	7/SN+일/NNB
“공직에서	“/SS+공직/NNG+에서/JKB
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
지	지/NNB
사흘밖에	사흘/NNG+밖에/JX
안	안/MAG
된	되/VV+ㄴ/ETM
정치	정치/NNG
신인이	신인/NNG+이/JKS
1년	1/SN+년/NNB
가까이	가까이/MAG
지역에서	지역/NNG+에서/JKB
활동해온	활동/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
전·현직	전·현직/NNG
의원	의원/NNG
등을	등/NNB+을/JKO
제치고	제치/VV+고/EC
여론조사에서	여론/NNG+조사/NNG+에서/JKB
1위를	1/SN+위/NNB+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
말이	말/NNG+이/JKC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.442.6.3
당협위원장 선정은 당 조직강화특위 평가(40%)와 여론조사(60%)를 합쳐 이뤄진다.

당협위원장	당협/NNG+위원장/NNG
선정은	선정/NNG+은/JX
당	당/NNG
조직강화특위	조직/NNG+강화/NNG+특위/NNG
평가(40%)와	평가/NNG+(/SS+40/SN+%/SW+)/SS+와/JC
여론조사(60%)를	여론/NNG+조사/NNG+(/SS+60/SN+%/SW+)/SS+를/JKO
합쳐	합치/VV+어/EC
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.442.6.4
지역 여론조사는 지난달 13~15일 진행됐는데, 송 전 청장은 여론조사 시작 사흘 전인 지난달 10일 공직에서 퇴임했다.

지역	지역/NNG
여론조사는	여론/NNG+조사/NNG+는/JX
지난달	지난달/NNG
13~15일	13/SN+~/SO+15/SN+일/NNB
진행됐는데,	진행/NNG+되/XSV+었/EP+는데/EC+,/SP
송	송/NNP
전	전/MMD
청장은	청장/NNG+은/JX
여론조사	여론/NNG+조사/NNG
시작	시작/NNG
사흘	사흘/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
10일	10/SN+일/NNB
공직에서	공직/NNG+에서/JKB
퇴임했다.	퇴임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.442.6.5
이 변호사는 “여론조사가 공천제도의 기본으로 자리잡았는데, 오픈프라이머리를 내세우던 당이 ‘복면 공천’을 하고 있다”고 주장했다.

이	이/NNP
변호사는	변호사/NNG+는/JX
“여론조사가	“/SS+여론/NNG+조사/NNG+가/JKS
공천제도의	공천/NNG+제도/NNG+의/JKG
기본으로	기본/NNG+으로/JKB
자리잡았는데,	자리/NNG+잡/VV+았/EP+는데/EC+,/SP
오픈프라이머리를	오픈프라이머리/NNG+를/JKO
내세우던	내세우/VV+던/ETM
당이	당/NNG+이/JKS
‘복면	‘/SS+복면/NNG
공천’을	공천/NNG+’/SS+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.442.7.1
이에 대해 새누리당 조직국은 “여론조사 문항 등을 미리 알렸다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
새누리당	새누리당/NNP
조직국은	조직국/NNG+은/JX
“여론조사	“/SS+여론/NNG+조사/NNG
문항	문항/NNG
등을	등/NNB+을/JKO
미리	미리/MAG
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.442.7.2
선정 결과에 대해 이의제기를 하지 않는다는 서약서도 썼는데도 소송까지 낸 것은 납득하기 어렵다”고 했다.

선정	선정/NNG
결과에	결과/NNG+에/JKB
대해	대하/VV+아/EC
이의제기를	이의/NNG+제기/NNG+를/JKO
하지	하/VV+지/EC
않는다는	않/VX+는다는/ETM
서약서도	서약서/NNG+도/JX
썼는데도	쓰/VV+었/EP+는데/EC+도/JX
소송까지	소송/NNG+까지/JX
낸	내/VV+ㄴ/ETM
것은	것/NNB+은/JX
납득하기	납득/NNG+하/XSV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.442.8.1
청와대발 물갈이설이 덮친 대구에서는 최근 ‘유승민계 의원들’을 겨냥한 지역 언론사의 여론조사로 지역정가가 들썩인다.

청와대발	청와대/NNP+발/XSN
물갈이설이	물갈이설/NNG+이/JKS
덮친	덮치/VV+ㄴ/ETM
대구에서는	대구/NNP+에서/JKB+는/JX
최근	최근/MAG
‘유승민계	‘/SS+유승민/NNP+계/XSN
의원들’을	의원/NNG+들/XSN+’/SS+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
지역	지역/NNG
언론사의	언론사/NNG+의/JKG
여론조사로	여론/NNG+조사/NNG+로/JKB
지역정가가	지역/NNG+정가/NNG+가/JKS
들썩인다.	들썩이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.442.8.2
아직 공식 출마 선언도 하지 않은 정종섭 행정자치부 장관과 류성걸 의원(대구동갑)을 맞붙이는 등 유승민 의원과 가까운 의원들의 지역구를 뽑아서 몇 주째 진행되는 여론조사를 두고 ‘여론 자객’이 떴다는 말까지 나온다.

아직	아직/MAG
공식	공식/NNG
출마	출마/NNG
선언도	선언/NNG+도/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
정종섭	정종섭/NNP
행정자치부	행정/NNG+자치부/NNG
장관과	장관/NNG+과/JC
류성걸	류성걸/NNP
의원(대구동갑)을	의원/NNG+(/SS+대구동갑/NNP+)/SS+을/JKO
맞붙이는	맞붙이/VV+는/ETM
등	등/NNB
유승민	유승민/NNP
의원과	의원/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
의원들의	의원/NNG+들/XSN+의/JKG
지역구를	지역구/NNG+를/JKO
뽑아서	뽑/VV+아서/EC
몇	몇/NR
주째	주/NNB+째/XSN
진행되는	진행/NNG+되/XSV+는/ETM
여론조사를	여론/NNG+조사/NNG+를/JKO
두고	두/VV+고/EC
‘여론	‘/SS+여론/NNG
자객’이	자객/NNG+’/SS+이/JKS
떴다는	뜨/VV+었/EP+다는/ETM
말까지	말/NNG+까지/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.442.8.3
대구지역의 한 의원은 “납득하기 어려운 조사 결과가 계속 이어지면 물갈이론으로 굳어질 수도 있다”며 우려했다.

대구지역의	대구/NNP+지역/NNG+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
“납득하기	“/SS+납득/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
계속	계속/MAG
이어지면	이어지/VV+면/EC
물갈이론으로	물갈이/NNG+론/XSN+으로/JKB
굳어질	굳어지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


